TimeUS,gpSA,gpHA,gpVA
 140956331, 0.381, 1.588, 2.026
 141156333, 0.33, 1.585, 2.024
 141356311, 0.393, 1.583, 2.023
 141556332, 0.392, 1.581, 2.022
 141756317, 0.357, 1.579, 2.021
 141956375, 0.336, 1.577, 2.02
 142156432, 0.404, 1.576, 2.019
 142356303, 0.409, 1.575, 2.018
 142556327, 0.388, 1.574, 2.018
 142756292, 0.415, 1.574, 2.02
 142956334, 0.399, 1.573, 2.02
 143156308, 0.353, 1.572, 2.019
 143356314, 0.399, 1.571, 2.019
 143556592, 0.286, 1.57, 2.018
 143756328, 0.403, 1.568, 2.017
 143956485, 0.391, 1.567, 2.016
 144156310, 0.402, 1.566, 2.018
 144356319, 0.399, 1.565, 2.019
 144556350, 0.363, 1.564, 2.017
 144775858, 0.399, 1.563, 2.017
 144956344, 0.372, 1.562, 2.016
 145156341, 0.388, 1.56, 2.015
 145356317, 0.389, 1.559, 2.014
 145556387, 0.334, 1.557, 2.013
 145756507, 0.395, 1.556, 2.012
 145956353, 0.346, 1.554, 2.011
 146156321, 0.374, 1.552, 2.01
 146335872, 0.384, 1.551, 2.009
 146556344, 0.367, 1.55, 2.008
 146756334, 0.286, 1.548, 2.008
 146956343, 0.323, 1.547, 2.007
 147156367, 0.312, 1.546, 2.006
 147356366, 0.307, 1.546, 2.006
 147556538, 0.378, 1.544, 2.005
 147756647, 0.367, 1.543, 2.004
 147956382, 0.383, 1.542, 2.004
 148156346, 0.393, 1.542, 2.003
 148356419, 0.315, 1.542, 2.006
 148556347, 0.382, 1.542, 2.006
 148756366, 0.402, 1.543, 2.009
 148935929, 0.326, 1.542, 2.011
 149156343, 0.333, 1.541, 2.014
 149356472, 0.359, 1.541, 2.019
 149556359, 0.353, 1.54, 2.023
 149756331, 0.389, 1.539, 2.028
 149956375, 0.409, 1.541, 2.036
 150156342, 0.382, 1.54, 2.04
 150356332, 0.462, 1.543, 2.05
 150556359, 0.417, 1.544, 2.055
 150756343, 0.344, 1.541, 2.06
 150956361, 0.4, 1.54, 2.064
 151156466, 0.407, 1.54, 2.068
 151356351, 0.335, 1.537, 2.064
 151535941, 0.348, 1.534, 2.069
 151756338, 0.388, 1.531, 2.075
 151956680, 0.325, 1.528, 2.078
 152175933, 0.273, 1.519, 2.072
 152356333, 0.291, 1.512, 2.07
 152556452, 0.243, 1.503, 2.066
 152756335, 0.308, 1.493, 2.068
 152956489, 0.27, 1.484, 2.064
 153156374, 0.304, 1.478, 2.064
 153356332, 0.379, 1.475, 2.067
 153556346, 0.282, 1.469, 2.066
 153756459, 0.32, 1.463, 2.065
 153956429, 0.317, 1.457, 2.065
 154136069, 0.337, 1.453, 2.065
 154356482, 0.29, 1.448, 2.064
 154556443, 0.297, 1.442, 2.062
 154756585, 0.391, 1.44, 2.064
 154956490, 0.335, 1.438, 2.065
 155156451, 0.341, 1.434, 2.065
 155356447, 0.474, 1.436, 2.073
 155556514, 0.357, 1.436, 2.075
 155756420, 0.367, 1.436, 2.077
 155956474, 0.363, 1.435, 2.077
 156156774, 0.362, 1.432, 2.077
 156356415, 0.491, 1.433, 2.084
 156556614, 0.413, 1.435, 2.091
 156756832, 0.406, 1.436, 2.098
 156957183, 0.439, 1.437, 2.105
 157157290, 0.458, 1.44, 2.114
 157357203, 0.367, 1.439, 2.113
 157557310, 0.4, 1.437, 2.115
 157757146, 0.457, 1.438, 2.123
 157957175, 0.498, 1.442, 2.132
 158157156, 0.461, 1.444, 2.139
 158357374, 0.441, 1.446, 2.144
 158557562, 0.459, 1.445, 2.149
 158757543, 0.449, 1.447, 2.158
 158957567, 0.396, 1.451, 2.167
 159157549, 0.396, 1.453, 2.174
 159337541, 0.411, 1.455, 2.181
 159557562, 0.374, 1.457, 2.187
 159757547, 0.392, 1.459, 2.192
 159957918, 0.384, 1.46, 2.198
 160138595, 0.473, 1.462, 2.204
 160358747, 0.415, 1.463, 2.211
 160558598, 0.389, 1.465, 2.216
 160758589, 0.345, 1.466, 2.22
 160958607, 0.406, 1.465, 2.221
 161158586, 0.385, 1.461, 2.218
 161358594, 0.312, 1.459, 2.219
 161558609, 0.362, 1.457, 2.22
 161758594, 0.333, 1.455, 2.223
 161958746, 0.316, 1.453, 2.223
 162158917, 0.305, 1.45, 2.222
 162358906, 0.271, 1.447, 2.221
 162558937, 0.259, 1.444, 2.22
 162758910, 0.34, 1.442, 2.221
