TimeUS,gpSA,gpHA,gpVA
 117657785, 0.215, 1.438, 2.013
 117857638, 0.277, 1.435, 2.01
 118057615, 0.247, 1.429, 2.003
 118257635, 0.258, 1.416, 1.991
 118417598, 0.251, 1.404, 1.972
 118617654, 0.226, 1.394, 1.953
 118817598, 0.313, 1.389, 1.951
 119017645, 0.238, 1.383, 1.947
 119217606, 0.241, 1.377, 1.943
 119417771, 0.3, 1.377, 1.945
 119617678, 0.261, 1.377, 1.943
 119818038, 0.366, 1.38, 1.948
 120018220, 0.331, 1.383, 1.953
 120258029, 0.262, 1.383, 1.949
 120418033, 0.283, 1.383, 1.947
 120621120, 0.185, 1.377, 1.925
 120821092, 0.311, 1.378, 1.929
 121021115, 0.337, 1.382, 1.936
 121221109, 0.287, 1.384, 1.938
 121421316, 0.334, 1.385, 1.942
 121621616, 0.293, 1.387, 1.946
 121821574, 0.358, 1.391, 1.955
 122021598, 0.365, 1.395, 1.962
 122221568, 0.296, 1.396, 1.968
 122424448, 0.407, 1.403, 1.98
 122624113, 0.204, 1.398, 1.951
 122824428, 0.335, 1.4, 1.956
 123024416, 0.314, 1.403, 1.963
 123225002, 0.382, 1.41, 1.974
 123406422, 0.44, 1.42, 1.988
 123625112, 0.284, 1.422, 1.977
 123807873, 0.411, 1.429, 1.987
 124007748, 0.297, 1.434, 1.989
 124207718, 0.308, 1.435, 1.992
 124428242, 0.411, 1.441, 2
 124628124, 0.35, 1.447, 2.007
 124828110, 0.384, 1.454, 2.019
 125028231, 0.31, 1.459, 2.025
 125227763, 0.318, 1.462, 2.029
 125427883, 0.407, 1.468, 2.038
 125628074, 0.342, 1.472, 2.037
 125828836, 0.402, 1.477, 2.037
 126011688, 0.324, 1.478, 2.027
 126212069, 0.362, 1.483, 2.03
 126412593, 0.381, 1.489, 2.034
 126612582, 0.339, 1.495, 2.039
 126812567, 0.438, 1.503, 2.045
 127013033, 0.259, 1.499, 2.014
 127213031, 0.269, 1.494, 1.994
 127413070, 0.386, 1.497, 1.997
 127613270, 0.327, 1.498, 1.985
 127813030, 0.371, 1.5, 1.976
 128013008, 0.339, 1.5, 1.966
 128213138, 0.349, 1.499, 1.954
 128413033, 0.489, 1.505, 1.963
 128613056, 0.291, 1.502, 1.951
 128813353, 0.381, 1.5, 1.951
 129013356, 0.682, 1.51, 1.967
 129213508, 0.573, 1.527, 1.986
 129413490, 0.45, 1.536, 1.996
 129616340, 0.423, 1.54, 2.002
 129816082, 0.529, 1.548, 2.015
 130016076, 0.5, 1.557, 2.03
 130216072, 0.403, 1.563, 2.047
 130416108, 0.581, 1.573, 2.067
 130616230, 0.391, 1.572, 2.072
 130816108, 0.517, 1.576, 2.088
 131016090, 0.465, 1.579, 2.098
 131216736, 0.373, 1.57, 2.095
 131416990, 0.478, 1.571, 2.104
 131616702, 0.415, 1.572, 2.111
 131816712, 0.439, 1.575, 2.119
 131996976, 0.589, 1.583, 2.132
 132217118, 0.457, 1.587, 2.137
 132417218, 0.452, 1.589, 2.143
 132617161, 0.524, 1.593, 2.154
 132817136, 0.486, 1.598, 2.162
 133017100, 0.386, 1.596, 2.162
 133217277, 0.433, 1.595, 2.17
 133417116, 0.424, 1.599, 2.181
 133617167, 0.379, 1.597, 2.182
 133817153, 0.534, 1.6, 2.191
 134017111, 0.403, 1.602, 2.192
 134217116, 0.431, 1.603, 2.194
 134417143, 0.495, 1.607, 2.204
 134617177, 0.467, 1.611, 2.213
 134817510, 0.376, 1.605, 2.211
 135037855, 0.353, 1.603, 2.21
 135238020, 0.408, 1.602, 2.21
 135417563, 0.485, 1.606, 2.219
 135617648, 0.394, 1.604, 2.221
 135817574, 0.525, 1.607, 2.233
 136017883, 0.561, 1.616, 2.247
 136217875, 0.405, 1.617, 2.252
 136417871, 0.444, 1.617, 2.258
 136618067, 0.308, 1.608, 2.238
 136818035, 0.477, 1.61, 2.247
 137017850, 0.415, 1.612, 2.255
 137217851, 0.364, 1.608, 2.253
 137417854, 0.487, 1.61, 2.261
 137617887, 0.444, 1.608, 2.267
 137817845, 0.433, 1.608, 2.267
 138017859, 0.451, 1.611, 2.271
 138217837, 0.465, 1.615, 2.276
 138417847, 0.563, 1.621, 2.288
 138618121, 0.412, 1.622, 2.293
 138817863, 0.5, 1.625, 2.304
 139017889, 0.455, 1.628, 2.312
 139217896, 0.366, 1.625, 2.304
 139417875, 0.26, 1.609, 2.282
 139617902, 0.348, 1.601, 2.261
 139818059, 0.567, 1.604, 2.27
 140017847, 0.314, 1.594, 2.249
 140217849, 0.324, 1.585, 2.239
 140418043, 0.411, 1.584, 2.235
 140617897, 0.351, 1.579, 2.231
 140818376, 0.538, 1.582, 2.239
 141018134, 0.377, 1.583, 2.237
 141218108, 0.299, 1.573, 2.225
 141418257, 0.498, 1.574, 2.232
 141618565, 0.281, 1.564, 2.2
 141818584, 0.431, 1.563, 2.201
 142018526, 0.404, 1.564, 2.204
 142218720, 0.377, 1.561, 2.205
 142418561, 0.434, 1.561, 2.208
 142618550, 0.357, 1.557, 2.205
 142818561, 0.39, 1.555, 2.206
 143018554, 0.43, 1.557, 2.211
 143218561, 0.326, 1.548, 2.202
 143418560, 0.406, 1.549, 2.206
 143618573, 0.479, 1.552, 2.216
 143818566, 0.541, 1.558, 2.225
 144018746, 0.393, 1.562, 2.225
 144218563, 0.453, 1.565, 2.228
 144418567, 0.313, 1.559, 2.222
 144638572, 0.275, 1.544, 2.207
 144838566, 0.354, 1.539, 2.206
 145019053, 0.307, 1.532, 2.201
 145298851, 0.378, 1.823, 2.324
 145441407, 0.404, 1.821, 2.329
 145641437, 0.315, 1.816, 2.325
 145821871, 0.368, 1.809, 2.327
 146044433, 0.394, 1.803, 2.331
 146244289, 0.28, 1.774, 2.323
 146444281, 0.36, 1.762, 2.325
 146644419, 0.321, 1.748, 2.319
 146824281, 0.319, 1.736, 2.319
 147024270, 0.321, 1.725, 2.316
 147264288, 0.345, 1.715, 2.32
 147424289, 0.351, 1.708, 2.325
 147624313, 0.299, 1.697, 2.319
 147824292, 0.452, 1.693, 2.325
 148024426, 0.356, 1.684, 2.32
 148227759, 0.362, 1.673, 2.317
 148427152, 0.39, 1.667, 2.314
 148627178, 0.356, 1.657, 2.306
 148829654, 0.471, 1.655, 2.311
 149029624, 0.393, 1.65, 2.312
 149229627, 0.374, 1.643, 2.312
 149429761, 0.491, 1.643, 2.318
 149629640, 0.367, 1.637, 2.312
 149829611, 0.625, 1.64, 2.326
 150029644, 0.354, 1.624, 2.257
 150209633, 0.396, 1.607, 2.202
 150429920, 0.508, 1.605, 2.196
 150629901, 0.423, 1.602, 2.186
 150829907, 0.457, 1.6, 2.189
 151029996, 0.393, 1.598, 2.181
 151229906, 0.412, 1.591, 2.182
 151429902, 0.36, 1.582, 2.181
 151629921, 0.433, 1.581, 2.189
 151829911, 0.473, 1.582, 2.199
 152030173, 0.611, 1.591, 2.217
 152230305, 0.445, 1.59, 2.22
 152433242, 0.497, 1.589, 2.225
 152633481, 0.37, 1.577, 2.208
 152812899, 0.381, 1.569, 2.209
 153033454, 0.439, 1.568, 2.219
 153233483, 0.38, 1.565, 2.219
 153433429, 0.459, 1.564, 2.23
 153633472, 0.408, 1.561, 2.228
 153833437, 0.429, 1.562, 2.239
 154033606, 0.365, 1.558, 2.24
 154233428, 0.362, 1.552, 2.239
 154433421, 0.364, 1.545, 2.226
 154633456, 0.434, 1.544, 2.227
 154833455, 0.407, 1.543, 2.222
 155033486, 0.432, 1.544, 2.23
 155253460, 0.343, 1.542, 2.23
 155433805, 0.491, 1.544, 2.245
 155633835, 0.329, 1.537, 2.241
 155834050, 0.377, 1.532, 2.247
 156033833, 0.328, 1.521, 2.239
 156234124, 0.275, 1.504, 2.205
 156434125, 0.384, 1.499, 2.207
 156634133, 0.31, 1.485, 2.186
 156834329, 0.492, 1.485, 2.193
 157034141, 0.44, 1.483, 2.187
 157234123, 0.39, 1.474, 2.177
 157434122, 0.444, 1.473, 2.183
 157634356, 0.376, 1.467, 2.175
 157834123, 0.372, 1.456, 2.171
 158034128, 0.441, 1.457, 2.178
 158234101, 0.296, 1.444, 2.165
 158434129, 0.381, 1.437, 2.162
 158634141, 0.295, 1.423, 2.146
 158834137, 0.319, 1.41, 2.135
 159034139, 0.37, 1.403, 2.125
 159234141, 0.312, 1.393, 2.114
 159434348, 0.395, 1.392, 2.12
 159634597, 0.333, 1.385, 2.118
 159834546, 0.422, 1.385, 2.125
 160034751, 0.352, 1.381, 2.129
 160234584, 0.323, 1.377, 2.126
 160434593, 0.491, 1.381, 2.138
 160634894, 0.348, 1.379, 2.142
 160834880, 0.327, 1.372, 2.135
 161035085, 0.356, 1.37, 2.142
 161235065, 0.296, 1.362, 2.136
 161434887, 0.361, 1.357, 2.14
 161634892, 0.335, 1.351, 2.142
 161834859, 0.428, 1.354, 2.152
 162034884, 0.212, 1.324, 2.102
 162234867, 0.266, 1.311, 2.093
 162434881, 0.288, 1.302, 2.087
 162634886, 0.288, 1.293, 2.074
 162834890, 0.361, 1.293, 2.068
 163035088, 0.29, 1.286, 2.039
 163234873, 0.291, 1.282, 2.034
 163434869, 0.396, 1.285, 2.04
 163634854, 0.282, 1.282, 2.019
 163834868, 0.368, 1.284, 2.026
 164054867, 0.234, 1.268, 1.989
 164238373, 0.302, 1.262, 1.992
 164437919, 0.337, 1.261, 1.997
 164637912, 0.383, 1.262, 2.004
 164837871, 0.403, 1.265, 2.012
 165038049, 0.381, 1.268, 2.022
 165237869, 0.369, 1.27, 2.03
 165437874, 0.42, 1.274, 2.041
 165637881, 0.331, 1.27, 2.043
 165817857, 0.332, 1.268, 2.053
 166017850, 0.337, 1.268, 2.066
 166237855, 0.412, 1.271, 2.079
 166437853, 0.327, 1.271, 2.093
 166637877, 0.343, 1.271, 2.106
 166838052, 0.413, 1.275, 2.122
 167037852, 0.367, 1.275, 2.137
 167237862, 0.391, 1.277, 2.15
 167438081, 0.348, 1.278, 2.16
 167637892, 0.34, 1.279, 2.172
 167837891, 0.43, 1.284, 2.187
 168037849, 0.366, 1.287, 2.197
 168237903, 0.401, 1.291, 2.209
 168417884, 0.396, 1.296, 2.225
 168638075, 0.333, 1.296, 2.232
 168837857, 0.376, 1.298, 2.244
 169037873, 0.35, 1.296, 2.246
 169237845, 0.357, 1.296, 2.248
