TimeUS,gpSA,gpHA,gpVA
 177922809, 0.36, 1.396, 2.115
 178122881, 0.349, 1.394, 2.115
 178323275, 0.274, 1.391, 2.115
 178524274, 0.274, 1.388, 2.11
 178724216, 0.289, 1.386, 2.105
 178924264, 0.369, 1.386, 2.105
 179124276, 0.36, 1.386, 2.103
 179324207, 0.357, 1.385, 2.101
 179524264, 0.366, 1.384, 2.101
 179724218, 0.349, 1.383, 2.097
 179924196, 0.385, 1.384, 2.098
 180124493, 0.375, 1.384, 2.098
 180324250, 0.356, 1.383, 2.096
 180524208, 0.409, 1.383, 2.098
 180724480, 0.39, 1.384, 2.099
 180924228, 0.416, 1.386, 2.102
 181124293, 0.431, 1.39, 2.106
 181324260, 0.426, 1.392, 2.109
 181524226, 0.426, 1.394, 2.112
 181724347, 0.406, 1.396, 2.116
 181924499, 0.35, 1.396, 2.119
 182124235, 0.255, 1.393, 2.121
 182324210, 0.293, 1.389, 2.122
 182524246, 0.32, 1.387, 2.126
 182703661, 0.337, 1.386, 2.128
 182924232, 0.289, 1.384, 2.124
 183123659, 0.314, 1.383, 2.119
 183323735, 0.293, 1.381, 2.111
 183524021, 0.333, 1.379, 2.109
 183724278, 0.273, 1.376, 2.105
 183924022, 0.271, 1.373, 2.101
 184124039, 0.257, 1.368, 2.097
 184324443, 0.309, 1.366, 2.098
 184524437, 0.253, 1.362, 2.095
 184724670, 0.254, 1.356, 2.092
 184924803, 0.242, 1.35, 2.086
 185125011, 0.287, 1.347, 2.084
 185324941, 0.283, 1.345, 2.08
 185525149, 0.351, 1.343, 2.079
 185724943, 0.335, 1.341, 2.078
 185925187, 0.48, 1.344, 2.085
 186124946, 0.276, 1.345, 2.086
 186324936, 0.313, 1.344, 2.089
 186524952, 0.201, 1.339, 2.077
 186724934, 0.18, 1.331, 2.062
 186925311, 0.309, 1.326, 2.058
 187125342, 0.239, 1.322, 2.054
 187325549, 0.295, 1.32, 2.054
 187525323, 0.259, 1.314, 2.045
 187725732, 0.222, 1.308, 2.039
