Threshold,ACCOF,GPSOF,ACCGPS
1,0.21678321678321677,1.0,0.9090909090909091
2,0.144,0.999,0.892
3,0.1031031031031031,0.997997997997998,0.8878878878878879
4,0.08517034068136273,0.996993987975952,0.8847695390781564
5,0.07422266800401203,0.995987963891675,0.8816449348044132
6,0.06526104417670683,0.9949799196787149,0.8785140562248996
7,0.06030150753768844,0.9939698492462311,0.8753768844221106
8,0.05533199195171026,0.9929577464788732,0.8722334004024145
9,0.050352467270896276,0.9919436052366566,0.8690835850956697
10,0.047379032258064516,0.9909274193548387,0.8659274193548387
11,0.04137235116044399,0.9899091826437941,0.8627648839556004
12,0.04040404040404041,0.9888888888888889,0.8595959595959596
13,0.03741152679474216,0.9878665318503539,0.8564206268958544
14,0.03643724696356275,0.9868421052631579,0.8532388663967612
15,0.03343465045592705,0.9858156028368794,0.8500506585612969
16,0.032454361054766734,0.9847870182555781,0.8468559837728195
17,0.029441624365482234,0.983756345177665,0.8436548223350254
18,0.028455284552845527,0.9827235772357723,0.8404471544715447
19,0.0254323499491353,0.9816887080366226,0.8372329603255341
20,0.024439918533604887,0.9806517311608961,0.8340122199592668
21,0.021406727828746176,0.9796126401630989,0.8307849133537207
22,0.019387755102040816,0.9785714285714285,0.8275510204081633
23,0.017364657814096015,0.9775280898876404,0.8243105209397344
24,0.015337423312883436,0.976482617586912,0.8210633946830266
25,0.014329580348004094,0.9754350051177073,0.8178096212896623
26,0.01331967213114754,0.9743852459016393,0.8145491803278688
27,0.012307692307692308,0.9733333333333334,0.8112820512820513
28,0.011293634496919919,0.9722792607802875,0.8080082135523614
29,0.010277492291880781,0.9712230215827338,0.8047276464542652
