Threshold,ACCOF,GPSOF,ACCGPS
1,0.32286995515695066,1.0,0.4514200298953662
2,0.20209580838323354,0.9985029940119761,0.36227544910179643
3,0.1409295352323838,0.9970014992503748,0.3328335832083958
4,0.1066066066066066,0.9954954954954955,0.31681681681681684
5,0.08571428571428572,0.9939849624060151,0.3037593984962406
6,0.07228915662650602,0.9924698795180723,0.2891566265060241
7,0.06334841628959276,0.9909502262443439,0.27450980392156865
8,0.05740181268882175,0.9894259818731118,0.2598187311178248
9,0.046898638426626324,0.9878971255673222,0.24508320726172467
10,0.04090909090909091,0.9863636363636363,0.23030303030303031
11,0.03338391502276176,0.9848254931714719,0.21547799696509864
12,0.030395136778115502,0.9832826747720365,0.2006079027355623
13,0.0273972602739726,0.9817351598173516,0.1856925418569254
14,0.025914634146341462,0.9801829268292683,0.17073170731707318
15,0.024427480916030534,0.9786259541984733,0.15877862595419848
16,0.022935779816513763,0.9770642201834863,0.14831804281345565
17,0.021439509954058193,0.9754977029096478,0.13782542113323124
18,0.019938650306748466,0.9739263803680982,0.12883435582822086
19,0.018433179723502304,0.9723502304147466,0.11981566820276497
20,0.016923076923076923,0.9707692307692307,0.11076923076923077
21,0.015408320493066256,0.9691833590138675,0.10323574730354391
22,0.012345679012345678,0.9675925925925926,0.09722222222222222
23,0.012364760432766615,0.9659969088098919,0.09119010819165378
24,0.010835913312693499,0.9643962848297214,0.08513931888544891
25,0.010852713178294573,0.9627906976744186,0.07906976744186046
26,0.009316770186335404,0.9611801242236024,0.07298136645962733
27,0.00933125972006221,0.9595645412130638,0.06687402799377916
28,0.00778816199376947,0.9579439252336449,0.06074766355140187
29,0.0078003120124804995,0.9563182527301092,0.0530421216848674
