TimeUS,gprLat,gprLng,gprAlt,gprN,gprE,gprD
 90783672, -353629386, 1491650856, 21888, 0, 0, 0
 90786171, -353629386, 1491650856, 21888, 0, 0, 0
 90788670, -353629386, 1491650856, 21888, 0, 0, 0
 90791169, -353629386, 1491650856, 21888, 0, 0, 0
 90793668, -353629386, 1491650856, 21888, 0, 0, 0
 90796167, -353629386, 1491650856, 21888, 0, 0, 0
 90798666, -353629386, 1491650856, 21888, 0, 0, 0
 90801165, -353629386, 1491650856, 21888, 0, 0, 0
 90803664, -353629386, 1491650856, 21888, 0, 0, 0
 90806163, -353629386, 1491650856, 21888, 0, 0, 0
 90808662, -353629386, 1491650856, 21888, 0, 0, 0
 90811161, -353629386, 1491650856, 21888, 0, 0, 0
 90813660, -353629386, 1491650856, 21888, 0, 0, 0
 90816159, -353629386, 1491650856, 21888, 0, 0, 0
 90818658, -353629386, 1491650856, 21888, 0, 0, 0
 90821157, -353629386, 1491650856, 21888, 0, 0, 0
 90823656, -353629386, 1491650856, 21888, 0, 0, 0
 90826155, -353629386, 1491650856, 21888, 0, 0, 0
 90828654, -353629386, 1491650856, 21888, 0, 0, 0
 90831153, -353629376, 1491650849, 21888, 0, 0, 0
 90833652, -353629376, 1491650849, 21888, 0, 0, 0
 90836151, -353629376, 1491650849, 21888, 0, 0, 0
 90838650, -353629376, 1491650849, 21888, 0, 0, 0
 90841149, -353629376, 1491650849, 21888, 0, 0, 0
 90843648, -353629376, 1491650849, 21888, 0, 0, 0
 90846147, -353629376, 1491650849, 21888, 0, 0, 0
 90848646, -353629376, 1491650849, 21888, 0, 0, 0
 90851145, -353629376, 1491650849, 21888, 0, 0, 0
 90853644, -353629376, 1491650849, 21888, 0, 0, 0
 90856143, -353629376, 1491650849, 21888, 0, 0, 0
 90858642, -353629376, 1491650849, 21888, 0, 0, 0
 90861141, -353629376, 1491650849, 21888, 0, 0, 0
 90863640, -353629376, 1491650849, 21888, 0, 0, 0
 90866139, -353629376, 1491650849, 21888, 0, 0, 0
 90868638, -353629376, 1491650849, 21888, 0, 0, 0
 90871137, -353629376, 1491650849, 21888, 0, 0, 0
 90873636, -353629376, 1491650849, 21888, 0, 0, 0
 90876135, -353629376, 1491650849, 21888, 0, 0, 0
 90878634, -353629376, 1491650849, 21888, 0, 0, 0
 90881133, -353629376, 1491650849, 21888, 0, 0, 0
 90883632, -353629376, 1491650849, 21888, 0, 0, 0
 90886131, -353629376, 1491650849, 21888, 0, 0, 0
 90888630, -353629376, 1491650849, 21888, 0, 0, 0
 90891129, -353629376, 1491650849, 21888, 0, 0, 0
 90893628, -353629376, 1491650849, 21888, 0, 0, 0
 90896127, -353629376, 1491650849, 21888, 0, 0, 0
 90898626, -353629376, 1491650849, 21888, 0, 0, 0
 90901125, -353629376, 1491650849, 21888, 0, 0, 0
 90903624, -353629376, 1491650849, 21888, 0, 0, 0
 90906123, -353629376, 1491650849, 21888, 0, 0, 0
 90908622, -353629376, 1491650849, 21888, 0, 0, 0
 90911121, -353629376, 1491650849, 21888, 0, 0, 0
 90913620, -353629376, 1491650849, 21888, 0, 0, 0
 90916119, -353629376, 1491650849, 21888, 0, 0, 0
 90918618, -353629376, 1491650849, 21888, 0, 0, 0
 90921117, -353629376, 1491650849, 21888, 0, 0, 0
 90923616, -353629376, 1491650849, 21888, 0, 0, 0
 90926115, -353629376, 1491650849, 21888, 0, 0, 0
 90928614, -353629376, 1491650849, 21888, 0, 0, 0
 90931113, -353629376, 1491650849, 21888, 0, 0, 0
 90933612, -353629376, 1491650849, 21888, 0, 0, 0
 90936111, -353629376, 1491650849, 21888, 0, 0, 0
 90938610, -353629376, 1491650849, 21888, 0, 0, 0
 90941109, -353629376, 1491650849, 21888, 0, 0, 0
 90943608, -353629376, 1491650849, 21888, 0, 0, 0
 90946107, -353629376, 1491650849, 21888, 0, 0, 0
 90948606, -353629376, 1491650849, 21888, 0, 0, 0
 90951105, -353629376, 1491650849, 21888, 0, 0, 0
 90953604, -353629376, 1491650849, 21888, 0, 0, 0
 90956103, -353629376, 1491650849, 21888, 0, 0, 0
 90958602, -353629376, 1491650849, 21888, 0, 0, 0
 90961101, -353629376, 1491650849, 21888, 0, 0, 0
 90963600, -353629376, 1491650849, 21888, 0, 0, 0
 90966099, -353629376, 1491650849, 21888, 0, 0, 0
 90968598, -353629376, 1491650849, 21888, 0, 0, 0
 90971097, -353629376, 1491650849, 21888, 0, 0, 0
