TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
233277817,-0.333953,-0.3052939,0,-0.02865906,-0.01775799,4.12E-08,-0.2339088,-0.2122739
233377478,-0.3339515,-0.3043094,6.97E-05,-0.02957242,-0.008711976,0.002671477,-0.2760778,-0.2640346
233477591,-0.3339133,-0.3027548,0.00094219,-0.03021628,0.000362018,0.01730876,-0.2622242,-0.2717943
233577508,-0.3336944,-0.3017841,0.003906436,-0.02800389,0.00310021,0.04359059,-0.2053397,-0.2545267
233677482,-0.3330458,-0.3006541,0.009647937,-0.02274382,0.02489969,0.07221404,-0.1736868,-0.2198502
233777593,-0.3316915,-0.2997399,0.01820385,-0.01374782,0.02202466,0.1007692,-0.1543357,-0.1771902
233877408,-0.3293616,-0.2987403,0.02953909,-0.001082189,-0.01436747,0.129223,-0.05384234,-0.1273889
233977456,-0.3257977,-0.2981461,0.04360081,0.01594925,-0.005920867,0.1575335,0.005199604,-0.07543987
234077519,-0.3207482,-0.297415,0.06034777,0.03701447,0.03244608,0.1857022,0.04856759,-0.01362596
234177516,-0.3139639,-0.2952539,0.07975401,0.06104404,0.03956418,0.21375,0.08779102,0.03186368
234277523,-0.3051933,-0.2917182,0.10181,0.08833501,0.04505274,0.2417077,0.1133773,0.08127376
234377607,-0.2941838,-0.285777,0.1265133,0.1181065,0.06290739,0.2696006,0.1846083,0.1228965
234477463,-0.2806747,-0.2750223,0.1538778,0.1482254,0.10085,0.2974606,0.2227676,0.1503191
234577488,-0.2643982,-0.2614711,0.1839251,0.180998,0.1372542,0.3253151,0.2097885,0.1704555
234677445,-0.2450871,-0.2449629,0.2166692,0.216545,0.1802608,0.353177,0.26685,0.1737023
234777564,-0.222473,-0.2256505,0.2521218,0.2552992,0.1881655,0.3810535,0.3040556,0.1695091
234877505,-0.1962829,-0.2026534,0.290298,0.2966685,0.2480666,0.4089523,0.2944008,0.1914145
234977485,-0.1662382,-0.1754645,0.3312162,0.3404426,0.2726886,0.4368812,0.3435167,0.2661466
235077492,-0.1320627,-0.1471037,0.3748876,0.3899286,0.3550253,0.4648418,0.3652942,0.3806134
235177514,-0.09347902,-0.1120937,0.4213222,0.4399369,0.4028257,0.4928345,0.3660158,0.4638344
235277623,-0.05020607,-0.06951649,0.4705319,0.4898423,0.4568852,0.5208609,0.3516716,0.4881213
235377532,-0.001963768,-0.02114209,0.5225245,0.5417028,0.5285305,0.5488281,0.3945655,0.4805396
235477466,0.05152386,0.03377923,0.5771322,0.5948768,0.6040715,0.5717244,0.4005464,0.4602625
235577547,0.1104816,0.09514742,0.6334276,0.6487618,0.6304913,0.5817936,0.4445274,0.44303
