TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
116988641,-51.90336,-52.3109,10,10.40755,10.20158,0,1.500014,1.515528
117088576,-50.90334,-51.29934,10,10.39601,10.18462,0,1.557602,1.518621
117188591,-49.90331,-50.28913,10,10.38583,10.18294,0,1.56149,1.52947
117288613,-48.9033,-49.277,10,10.3737,10.21292,0,1.483986,1.526696
117388807,-47.90347,-48.26235,10,10.35888,10.21539,0,1.439611,1.491302
117488716,-46.90363,-47.24645,10,10.34282,10.23475,0,1.393809,1.446854
117588625,-45.9038,-46.22972,10,10.32592,10.23995,0,1.382945,1.425323
117688758,-44.90397,-45.21091,10,10.30694,10.20764,0,1.386911,1.399218
117788691,-43.90414,-44.19126,10,10.28712,10.20796,0,1.405501,1.383725
117888704,-42.9043,-43.16909,10,10.26479,10.20989,0,1.340679,1.373147
117988701,-41.90447,-42.15136,10,10.24689,10.19611,0,1.387978,1.375156
118088658,-40.90464,-41.1193,10,10.21467,10.17755,0,1.335187,1.376207
118188524,-39.90481,-40.09842,10,10.19361,10.15568,0,1.335383,1.358949
118288583,-38.90498,-39.08084,10,10.17587,10.12892,0,1.390826,1.354875
118388651,-37.90514,-38.07131,10,10.16617,10.14149,0,1.430634,1.380536
118488752,-36.90531,-37.05277,10,10.14746,10.07469,0,1.481774,1.403735
118588614,-35.90548,-36.03568,10,10.1302,10.08573,0,1.432923,1.424445
118688593,-34.90564,-35.01912,10,10.11347,10.07158,0,1.43547,1.445139
118788924,-33.90582,-34.00228,10,10.09647,10.04181,0,1.395383,1.422132
118889555,-32.90598,-32.99205,10,10.08607,10.0341,0,1.481706,1.424242
118988923,-31.90615,-31.9859,10,10.07975,10.00439,0,1.560425,1.478482
119089582,-30.90632,-30.98769,10,10.08137,9.999087,0,1.586784,1.519279
119188910,-29.90648,-29.99467,10,10.08819,9.998745,0,1.659681,1.569945
119289620,-28.90665,-29.00457,10,10.09792,10.00883,0,1.643914,1.600727
119388863,-27.90683,-28.01497,10,10.10815,10.00939,-0.000140499,1.64619,1.612395
119489769,-26.907,-27.02291,9.999476,10.11539,9.956926,-0.01633487,1.732794,1.644821
119588898,-25.90739,-26.02825,9.995139,10.116,10.00252,-0.07861878,1.543345,1.638748
119689558,-24.90859,-25.03221,9.982585,10.1062,9.987676,-0.1748432,1.471146,1.586452
119789028,-23.91154,-24.03642,9.960105,10.08498,9.967824,-0.2748264,1.339505,1.497592
119889478,-22.91724,-23.03581,9.927629,10.0462,9.980377,-0.3748097,1.127061,1.371421
119988940,-21.92668,-22.04627,9.885156,10.00475,9.941546,-0.4747928,1.021167,1.221755
120089555,-20.94087,-21.0465,9.832685,9.938315,9.914207,-0.5747761,0.815557,1.051406
120188879,-19.96081,-20.04212,9.77022,9.851533,9.857378,-0.6747593,0.6840256,0.8910875
120289460,-18.98749,-19.05743,9.697757,9.767698,9.769627,-0.7747425,0.5633423,0.7508274
120388958,-18.02192,-18.08734,9.615297,9.680722,9.724638,-0.8747257,0.4234103,0.6332526
120489632,-17.06509,-17.11477,9.52284,9.572527,9.631919,-0.9747089,0.2838718,0.4926509
120588959,-16.118,-16.1558,9.420388,9.458187,9.536999,-1.074692,0.1144752,0.3459472
120689558,-15.18166,-15.20567,9.307939,9.331948,9.434071,-1.174675,-0.06995338,0.1842044
120789043,-14.25706,-14.26596,9.185493,9.194388,9.346183,-1.274659,-0.2247426,0.02367789
120889600,-13.3452,-13.33564,9.05305,9.043487,9.211384,-1.374642,-0.4218663,-0.1470013
120988913,-12.44709,-12.41671,8.91061,8.880227,9.099926,-1.474625,-0.5896921,-0.3315117
121089511,-11.56372,-11.51271,8.758174,8.70716,8.910489,-1.574608,-0.7607179,-0.5112003
121189017,-10.69608,-10.62407,8.595741,8.523729,8.776109,-1.674592,-0.9668281,-0.7069389
121289573,-9.845185,-9.748793,8.423312,8.32692,8.623594,-1.774575,-1.139686,-0.8877466
121388904,-9.012031,-8.900742,8.240886,8.129597,8.456471,-1.874558,-1.322034,-1.072269
121489641,-8.197617,-8.06708,8.048464,7.917926,8.24675,-1.974541,-1.496593,-1.256175
121589022,-7.402939,-7.252234,7.846044,7.695339,8.065184,-2.074524,-1.700015,-1.438642
121689513,-6.629004,-6.453974,7.633628,7.458599,7.85906,-2.174508,-1.945595,-1.638954
121788910,-5.876807,-5.677577,7.411216,7.211986,7.641654,-2.274491,-2.134381,-1.830565
121889538,-5.147353,-4.925188,7.178807,6.956641,7.435278,-2.374341,-2.409924,-2.044698
121988983,-4.441621,-4.197406,6.936918,6.692704,7.218927,-2.458277,-2.645272,-2.278504
122089523,-3.7604,-3.48935,6.688826,6.417776,6.974425,-2.496179,-2.765419,-2.497941
122189022,-3.104131,-2.811692,6.438942,6.146504,6.720165,-2.5,-2.817919,-2.643061
122289464,-2.472842,-2.160604,6.188984,5.876747,6.484478,-2.5,-2.826812,-2.732602
122388855,-1.866543,-1.536687,5.939026,5.60917,6.201193,-2.5,-2.827967,-2.775349
122489534,-1.285234,-0.9396539,5.689068,5.343487,5.919716,-2.5,-2.873436,-2.81904
122588951,-0.728916,-0.3688928,5.43911,5.079087,5.661695,-2.5,-2.937371,-2.857839
122689441,-0.1975879,0.1757485,5.189152,4.815816,5.381893,-2.5,-2.951451,-2.892328
122788868,0.3087305,0.6963556,4.939194,4.551569,5.111768,-2.5,-2.948728,-2.904212
122889500,0.7900781,1.183957,4.689236,4.295357,4.841061,-2.5,-3.008188,-2.930442
122988821,1.246426,1.64869,4.439278,4.037014,4.563712,-2.5,-2.973315,-2.947268
123089541,1.677783,2.080352,4.18932,3.786751,4.286361,-2.5,-2.972648,-2.946657
123188805,2.08415,2.48911,3.939362,3.534402,4.012014,-2.5,-2.973592,-2.950873
123289514,2.465527,2.869832,3.689404,3.285099,3.746557,-2.5,-2.974596,-2.962932
123388742,2.821904,3.226069,3.439446,3.035281,3.477532,-2.49987,-3.010139,-2.961555
123489611,3.153301,3.555797,3.190001,2.787505,3.233071,-2.483912,-3.060944,-2.998021
123588965,3.459922,3.86292,2.944338,2.54134,2.937602,-2.421953,-2.925596,-2.983798
123689676,3.742353,4.144712,2.70687,2.304512,2.688658,-2.325828,-2.791997,-2.900835
123788975,4.001533,4.399484,2.479325,2.081375,2.437863,-2.225845,-2.674366,-2.784145
123888612,4.238457,4.626693,2.261776,1.873541,2.191119,-2.125862,-2.451033,-2.647366
123988677,4.45415,4.828142,2.054224,1.680233,1.950246,-2.025879,-2.303123,-2.485766
124088601,4.64958,5.004474,1.856669,1.501775,1.731806,-1.925895,-2.182407,-2.364663
124188680,4.825752,5.158324,1.66911,1.336537,1.520025,-1.825912,-2.025831,-2.263412
124288638,4.983682,5.29682,1.491547,1.178409,1.328746,-1.725929,-1.924817,-2.158317
124388641,5.124346,5.418588,1.323982,1.02974,1.194971,-1.625946,-1.841194,-2.046623
124488639,5.24876,5.524293,1.166413,0.8908795,1.037925,-1.525962,-1.725437,-1.930073
124588674,5.35792,5.613886,1.018841,0.7628744,0.8589499,-1.425979,-1.575461,-1.797785
124688715,5.452822,5.687392,0.8812649,0.6466953,0.7317301,-1.325996,-1.449058,-1.66284
124788592,5.534472,5.748254,0.753686,0.5399048,0.624123,-1.226013,-1.360153,-1.534014
124888620,5.603867,5.798326,0.6361036,0.4416443,0.4834047,-1.12603,-1.222093,-1.432107
