TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
20614334,0,0,0.005068955,0.005068955,0.005068955,0,2.79E-05,2.83E-05
20714334,0,0,0.005047514,0.005047514,0.005047514,0,2.79E-05,2.84E-05
20814404,0,0,0.004995347,0.004995347,0.004995347,0,2.80E-05,2.84E-05
241969944,0.8684704,0.8391477,-0.00011385,0.02920889,0.02477106,-0.005289481,-0.2434153,-0.2340189
242069979,0.8683845,0.8421779,-0.002299721,0.02390687,0.005703154,-0.0467686,-0.2374574,-0.2317139
242169943,0.8678017,0.844485,-0.01086726,0.01244931,0.01351554,-0.1313102,-0.3759514,-0.2696751
242269942,0.8659339,0.8458206,-0.02859368,-0.008480387,-0.003105782,-0.2281293,-0.5197609,-0.3455299
242369934,0.8618781,0.8450171,-0.05568904,-0.038828,-0.0310509,-0.3244269,-0.6281761,-0.4529871
242470076,0.8547471,0.8405229,-0.09202256,-0.07779831,-0.04775913,-0.4202435,-0.753413,-0.5574005
242570014,0.8436771,0.8316646,-0.1374709,-0.1254584,-0.09597993,-0.5156124,-0.8191575,-0.6573642
242670000,0.8277916,0.8164257,-0.1920273,-0.1806614,-0.1588555,-0.6107324,-0.8941836,-0.7559332
242769966,0.8062128,0.7954917,-0.2556936,-0.2449725,-0.2288199,-0.7057067,-1.024376,-0.8574184
242869924,0.7780544,0.7657439,-0.3284907,-0.3161803,-0.3149417,-0.8006127,-1.076944,-0.9569257
242969966,0.7424222,0.7279897,-0.4104482,-0.3960156,-0.3465897,-0.8955048,-1.203577,-1.052899
243069962,0.6984092,0.6796311,-0.5016103,-0.4828323,-0.444949,-0.9904308,-1.299348,-1.141378
243169938,0.645091,0.6222385,-0.6020367,-0.5791841,-0.5614051,-1.085436,-1.363009,-1.229059
243269896,0.581537,0.5546385,-0.7117785,-0.6848801,-0.670162,-1.180543,-1.491374,-1.319521
243370048,0.5068119,0.4773331,-0.8308788,-0.8013999,-0.7582774,-1.275763,-1.625027,-1.415966
243469925,0.4199794,0.3867711,-0.9593702,-0.9261618,-0.8866749,-1.371095,-1.735129,-1.51086
243569936,0.3200983,0.2842073,-1.097283,-1.061392,-1.020682,-1.466539,-1.813031,-1.613034
243669962,0.2062243,0.165996,-1.244645,-1.204417,-1.194986,-1.56209,-1.854744,-1.707851
243770026,0.0774102,0.03251847,-1.401479,-1.356588,-1.317196,-1.657744,-1.989842,-1.805065
243869882,-0.06729569,-0.1172304,-1.567811,-1.517876,-1.480477,-1.753499,-2.038384,-1.899655
243969952,-0.2288453,-0.2831101,-1.743658,-1.689393,-1.646853,-1.849347,-2.158168,-1.993753
244069972,-0.4081986,-0.4682948,-1.929045,-1.868948,-1.817912,-1.945289,-2.26175,-2.084306
244169936,-0.606315,-0.6717495,-2.123989,-2.058555,-2.056897,-2.041318,-2.31552,-2.187699
244270028,-0.8241569,-0.8972297,-2.32851,-2.255437,-2.251629,-2.137433,-2.421491,-2.279206
244370030,-1.06269,-1.141093,-2.542624,-2.464222,-2.446976,-2.233629,-2.551703,-2.387186
244469933,-1.322882,-1.408083,-2.766349,-2.681147,-2.672585,-2.329851,-2.671353,-2.504534
244570119,-1.605694,-1.693241,-2.99931,-2.911764,-2.893217,-2.413218,-2.820755,-2.643193
244670088,-1.911943,-2.000186,-3.238685,-3.150442,-3.08994,-2.454128,-2.90402,-2.7802
244769970,-2.242073,-2.329833,-3.480266,-3.392505,-3.335433,-2.459556,-2.930172,-2.887096
244869908,-2.596205,-2.686479,-3.722132,-3.631858,-3.56556,-2.459556,-2.90194,-2.932938
244969893,-2.974382,-3.066403,-3.96416,-3.872139,-3.807499,-2.459556,-2.904969,-2.954367
245069914,-3.376637,-3.473826,-4.20634,-4.109151,-4.030773,-2.459556,-2.923033,-2.943511
245169993,-3.803006,-3.903064,-4.448669,-4.348612,-4.262293,-2.459556,-3.008046,-2.94794
245269928,-4.253524,-4.35506,-4.691141,-4.589605,-4.480871,-2.459556,-3.087165,-2.96758
245369927,-4.72822,-4.825738,-4.93375,-4.836232,-4.695648,-2.459556,-3.177274,-3.019623
245469909,-5.227121,-5.316286,-5.176488,-5.087324,-4.919997,-2.459556,-3.260725,-3.08725
245569945,-5.750257,-5.83102,-5.419354,-5.338591,-5.145937,-2.459556,-3.327851,-3.185075
245669959,-6.297654,-6.368487,-5.662342,-5.591509,-5.378007,-2.459556,-3.400361,-3.278377
245770105,-6.869336,-6.927839,-5.905445,-5.846942,-5.597135,-2.459556,-3.492682,-3.370319
245870090,-7.465326,-7.513849,-6.14866,-6.100137,-5.830916,-2.459556,-3.50801,-3.434087
245970067,-8.085644,-8.119466,-6.391981,-6.358159,-6.058672,-2.459556,-3.613245,-3.497682
246070125,-8.730309,-8.749534,-6.635189,-6.615964,-6.304356,-2.451,-3.669063,-3.546442
246169831,-9.399222,-9.397458,-6.87587,-6.877635,-6.5261,-2.402507,-3.717657,-3.611147
