TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
96626255,-0.05230585,-0.02427993,2.13E-06,-0.02802378,-0.01614311,0.000200227,-0.385644,-0.3946054
96726326,-0.05229877,-0.02214591,0.000245735,-0.02990711,-0.04624713,0.006692048,-0.3690221,-0.4000268
96826389,-0.05221798,-0.01825147,0.001735555,-0.03223095,-0.04931317,0.02613058,-0.33578,-0.3917346
96926298,-0.05190048,-0.01656608,0.005427369,-0.02990703,-0.05903745,0.0526837,-0.2768118,-0.3700405
97026267,-0.05115333,-0.01682899,0.01140792,-0.02291643,-0.0261768,0.07889577,-0.2672914,-0.3155569
97126336,-0.04981438,-0.01845018,0.01945017,-0.01191404,-0.02902483,0.1042233,-0.1903498,-0.2569038
97226320,-0.04774681,-0.02022145,0.02938714,0.001861777,-0.0376838,0.1288143,-0.1280146,-0.1973837
97326396,-0.04480407,-0.02181569,0.04119246,0.01820409,-0.007134573,0.1529746,-0.08189278,-0.1443968
97426338,-0.0408268,-0.02274309,0.05489515,0.03681144,-0.02599561,0.1769281,-0.04706385,-0.1017713
97526439,-0.03564359,-0.02294851,0.07054494,0.05784985,-0.01896109,0.2008201,0.01705301,-0.06126544
97626340,-0.02906574,-0.0192685,0.08821493,0.07841769,0.03097605,0.2247643,-0.03270172,-0.04237315
97726360,-0.02088548,-0.01460706,0.1079944,0.101716,0.03010205,0.2488489,0.000919399,-0.01716114
97826329,-0.01089318,-0.006833015,0.1299451,0.125885,0.07481621,0.273102,0.01744682,0.008104125
97926401,0.001125307,0.003250898,0.1541176,0.151992,0.1079145,0.2975314,0.03240175,0.02670836
98026320,0.01538739,0.0183847,0.1805524,0.1775551,0.1127867,0.3221333,0.05794149,0.0201054
98126254,0.03211501,0.03609161,0.2092862,0.2053096,0.1680139,0.3469014,0.05371246,-0.01936287
98326370,0.07387925,0.08907161,0.2737858,0.2585935,0.2503168,0.3969098,-0.04014229,-0.1253604
98526516,0.1282918,0.1564469,0.3478723,0.3197172,0.3730815,0.4475074,-0.02187466,-0.00851976
98626351,0.1608463,0.1973327,0.388584,0.3520977,0.4054593,0.473013,-0.006023788,0.09596114
98726333,0.1972971,0.2425188,0.4317776,0.3865559,0.4615793,0.4986491,-0.0565823,0.1594903
98826323,0.2378974,0.2909039,0.4774786,0.4244721,0.4940021,0.5244108,-0.06245033,0.1411164
99026369,0.3325735,0.4077429,0.5764679,0.5012986,0.6272757,0.5748319,-0.1326101,0.03055676
99126389,0.3871529,0.4751848,0.6293245,0.5412925,0.671201,0.5907012,-0.0756604,-0.03316508
99226326,0.4468214,0.5506949,0.6833152,0.5794417,0.7183254,0.5954479,-0.1190239,-0.07587218
99326369,0.5116717,0.6290573,0.7376679,0.6202822,0.7731904,0.5951113,-0.1047232,-0.1030328
99426336,0.5817458,0.7125921,0.7919496,0.6611034,0.7720475,0.5880584,-0.08818535,-0.1159246
99526447,0.6570256,0.7978593,0.8452378,0.7044041,0.8496222,0.5691938,-0.1158708,-0.09757015
99626346,0.737395,0.8911409,0.8965694,0.7428235,0.8613118,0.5431632,-0.1909388,-0.1144138
99726375,0.8226752,0.986069,0.9456121,0.7822183,0.9241532,0.5164721,-0.2356224,-0.1307897
99826333,0.91267,1.08417,0.9923271,0.8208275,0.985729,0.4896969,-0.2691775,-0.1608876
99926304,1.007178,1.184723,1.036685,0.8591407,0.9873671,0.4628408,-0.2415528,-0.1845565
100026409,1.105991,1.289291,1.07866,0.8953604,1.015563,0.4359071,-0.2452925,-0.211039
100126256,1.208897,1.394503,1.118225,0.9326186,1.030867,0.4088988,-0.2307384,-0.2024641
100226324,1.315677,1.497275,1.155354,0.973756,1.02074,0.3818189,-0.1657402,-0.1895075
100326370,1.426108,1.6019,1.190025,1.014233,1.044959,0.3546702,-0.1830794,-0.1708675
100426336,1.539964,1.708766,1.222215,1.053414,1.071636,0.3274554,-0.1679935,-0.1536831
100526511,1.657013,1.8168,1.251903,1.092116,1.1074,0.3001768,-0.1910792,-0.1497954
100626411,1.777019,1.924439,1.279068,1.131647,1.125831,0.2728374,-0.1515998,-0.1518529
100726383,1.899739,2.034559,1.30369,1.16887,1.149708,0.2454402,-0.165438,-0.1474621
100826326,2.024915,2.144325,1.325748,1.206338,1.131686,0.2179906,-0.1132783,-0.1425401
100926396,2.152285,2.256827,1.345224,1.240682,1.16849,0.1904943,-0.1351604,-0.1274072
101026320,2.281585,2.372507,1.362102,1.27118,1.203757,0.162956,-0.1478097,-0.115815
101126285,2.412552,2.49003,1.376367,1.29889,1.212417,0.1353799,-0.1569566,-0.1219168
101226353,2.544924,2.608973,1.388009,1.32396,1.203834,0.107769,-0.1529002,-0.1381045
101326264,2.678432,2.730124,1.397015,1.345324,1.238287,0.08012776,-0.1871497,-0.1548839
101426319,2.812805,2.857918,1.403376,1.358263,1.281844,0.05246009,-0.2721495,-0.1806476
101526519,2.947775,2.986895,1.407095,1.367975,1.278697,0.02544766,-0.2989713,-0.2250747
101626350,3.083096,3.119075,1.408528,1.37255,1.288715,0.006464912,-0.3597816,-0.2771956
101726294,3.218599,3.252243,1.40876,1.375116,1.312375,0.000216084,-0.4005571,-0.3217448
101826467,3.354221,3.382883,1.408757,1.380095,1.313035,-0.000379257,-0.3389898,-0.3418062
101926338,3.489939,3.514514,1.408463,1.383887,1.315954,-0.00771757,-0.3457276,-0.3411093
102026366,3.625675,3.644347,1.406841,1.388168,1.325237,-0.02793928,-0.3144237,-0.3182317
102126340,3.76125,3.774515,1.402837,1.389573,1.330935,-0.05534111,-0.3634219,-0.3147241
102226393,3.896435,3.910974,1.396148,1.381609,1.316742,-0.08319,-0.3845873,-0.3382048
102326329,4.030993,4.0457,1.386756,1.37205,1.34217,-0.111086,-0.4662626,-0.3738782
102426375,4.164662,4.180382,1.374346,1.358627,1.305544,-0.1500385,-0.5101591,-0.4249423
102526501,4.297055,4.313544,1.356314,1.339825,1.311142,-0.230017,-0.6038463,-0.489217
102626339,4.427416,4.438518,1.328458,1.317356,1.291523,-0.3477686,-0.7301326,-0.5702926
102726458,4.554648,4.562349,1.288589,1.280888,1.225423,-0.472942,-0.8519972,-0.6850597
102826274,4.677553,4.680112,1.236492,1.233932,1.226192,-0.5982591,-0.981506,-0.7933822
102926390,4.794924,4.79444,1.172127,1.172611,1.162808,-0.7237143,-1.140727,-0.9267438
103026292,4.905545,4.899193,1.095458,1.101811,1.08545,-0.8493018,-1.207077,-1.055526
103126296,5.008195,4.997637,1.006451,1.01701,1.008945,-0.9750169,-1.354575,-1.185144
103226290,5.101647,5.083394,0.9050726,0.9233261,0.9370772,-1.100855,-1.481099,-1.305125
103326319,5.18467,5.161688,0.7912907,0.8142729,0.8309191,-1.22681,-1.681487,-1.449498
103426346,5.256025,5.230245,0.6650769,0.6908563,0.7100461,-1.352877,-1.930127,-1.620655
103526356,5.314471,5.290127,0.5264019,0.5507458,0.6281124,-1.479054,-2.121117,-1.815457
103626372,5.35876,5.337847,0.3752397,0.3961534,0.4694924,-1.605335,-2.258921,-2.00561
103726393,5.387643,5.369338,0.2115655,0.2298705,0.3117863,-1.731716,-2.398552,-2.180071
103826317,5.399864,5.375641,0.03535423,0.05957786,0.1145715,-1.858193,-2.391624,-2.291133
103926350,5.394166,5.366004,-0.1534141,-0.1252518,-0.08803108,-1.984684,-2.494502,-2.373032
104026338,5.369293,5.332055,-0.3545904,-0.3173522,-0.2641961,-2.106207,-2.685915,-2.504579
104126339,5.324038,5.282295,-0.5672434,-0.5255015,-0.4531617,-2.21476,-2.845052,-2.645359
104226406,5.257305,5.212102,-0.7901884,-0.7449864,-0.645921,-2.314116,-2.986024,-2.789817
104326423,5.168087,5.124155,-1.022839,-0.9789069,-0.8503798,-2.407966,-3.150007,-2.925051
104426385,5.055443,5.00759,-1.264273,-1.21642,-1.117778,-2.48893,-3.183922,-3.047553
104726257,4.569037,4.523706,-2.032524,-1.987193,-1.865786,-2.700737,-3.464934,-3.332898
104826486,4.35499,4.307654,-2.302757,-2.255422,-2.15198,-2.77103,-3.448749,-3.408144
