TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
104324451,0.06381525,0.09690607,1.93E-05,-0.03307152,-0.01953448,0.000985459,-0.2809446,-0.2788369
104424596,0.06383269,0.09425764,0.000483532,-0.02994142,0.00768149,0.0102826,-0.3127351,-0.2903996
104524546,0.06396241,0.09211191,0.002453066,-0.02569644,-0.009284003,0.03054223,-0.2703624,-0.2862378
104624465,0.06439973,0.09072064,0.006699156,-0.01962176,0.000596408,0.05447042,-0.2553719,-0.2790871
104724478,0.06538066,0.08835637,0.01333728,-0.009638426,0.01839976,0.07842028,-0.2166502,-0.2534239
104824529,0.06714164,0.08728562,0.022356,0.002212033,0.01153394,0.1023418,-0.1678983,-0.2217206
104924531,0.06991429,0.08739904,0.03373414,0.0162494,0.02031498,0.126211,-0.1464742,-0.1772611
105024520,0.07391886,0.08842098,0.04742797,0.03292586,-0.001741333,0.1499829,-0.06302132,-0.1376088
105124673,0.07936905,0.09141186,0.06339917,0.05135636,0.07706027,0.1736445,-0.06425854,-0.1029258
105224570,0.08647401,0.09639091,0.0816168,0.07169989,0.08521027,0.1971979,-0.06159586,-0.07683471
105324564,0.095435,0.1031393,0.1020458,0.09434149,0.05702949,0.2206398,0.01342022,-0.05064321
105424515,0.1064477,0.1110311,0.1246537,0.1200703,0.1182978,0.2439702,0.03864229,-0.01521835
105524563,0.1197027,0.122814,0.1494096,0.1462982,0.131249,0.2671908,0.05800457,0.00201457
105624448,0.1354006,0.1374889,0.1763095,0.1742212,0.1180841,0.2903246,0.105659,-0.01167195
105724559,0.1537503,0.1585872,0.205363,0.2005262,0.1904189,0.3133981,0.01345707,-0.0517807
105824495,0.1749627,0.1832362,0.2365795,0.228306,0.2392053,0.3364304,-0.01898048,-0.1038005
105924511,0.1992467,0.2126536,0.2699639,0.256557,0.3043242,0.3594328,-0.02048794,-0.09023933
106024688,0.226809,0.2452169,0.3055168,0.2871089,0.3361347,0.3824109,-0.008455086,0.003426507
106124503,0.2578539,0.2794828,0.3432357,0.3216068,0.3772631,0.4053675,0.03273361,0.1310533
106224509,0.2925996,0.317907,0.3831348,0.3578273,0.4309397,0.4283139,-0.02101059,0.2126366
106324525,0.3312796,0.3647465,0.4252409,0.3917741,0.4407805,0.451266,-0.02279377,0.2106041
106424592,0.3741344,0.4161105,0.4695696,0.4275934,0.5056019,0.4734716,-0.04308964,0.1585189
106524575,0.4213926,0.4790636,0.5158014,0.4581304,0.5636893,0.4884791,-0.07932682,0.0822914
106624521,0.4732231,0.5439991,0.5630301,0.4922542,0.5964764,0.4930421,-0.04558311,0.01105658
106724576,0.5296964,0.6184133,0.6104861,0.5217693,0.6263387,0.4927009,-0.08294845,-0.05041892
106824486,0.5908249,0.6930767,0.6577336,0.5554819,0.6671686,0.4859038,-0.07670257,-0.07404096
106924574,0.6565594,0.7672218,0.7038719,0.5932095,0.7131962,0.4683886,-0.04919983,-0.06662612
107024555,0.7267563,0.8429213,0.748051,0.6318861,0.7331884,0.4454485,-0.07094879,-0.06125931
107124512,0.801219,0.9264069,0.7900476,0.6648598,0.7771441,0.4222424,-0.1278846,-0.07323676
107224478,0.8797422,1.011124,0.8298479,0.6984665,0.7899156,0.3990064,-0.1391661,-0.09802587
107324495,0.962119,1.097535,0.8674413,0.7320254,0.8255466,0.3757413,-0.1629468,-0.09882511
107424404,1.048139,1.184562,0.9028178,0.7663948,0.8608047,0.3524484,-0.1295644,-0.09076075
107524517,1.137591,1.277815,0.9359679,0.7957435,0.8680291,0.3291289,-0.1751213,-0.1048587
107624547,1.23026,1.370981,0.9668819,0.8261608,0.9085445,0.3057837,-0.1905293,-0.1253367
107724489,1.325931,1.467401,0.9955519,0.8540824,0.9300274,0.2824139,-0.1987853,-0.1556364
107824541,1.424387,1.563947,1.021969,0.8824092,0.9375341,0.2590205,-0.1764545,-0.1679533
107924470,1.525409,1.664817,1.046126,0.9067179,0.9372817,0.2356043,-0.2007668,-0.186461
108024564,1.628776,1.765457,1.068015,0.931334,0.9715664,0.2121663,-0.2636516,-0.1936653
108124660,1.734263,1.867863,1.087628,0.9540284,0.9913585,0.1887079,-0.2122432,-0.2103235
108224615,1.841641,1.969997,1.104959,0.9766024,0.9607912,0.1652313,-0.208618,-0.2213119
108324587,1.950669,2.069834,1.119999,1.000834,0.993777,0.1417406,-0.201019,-0.2086266
108424485,2.061116,2.170217,1.132743,1.023642,1.006378,0.1182378,-0.2136466,-0.2048109
108524565,2.172755,2.270265,1.143187,1.045676,1.014063,0.09472343,-0.1957425,-0.2165767
108624421,2.285349,2.370857,1.151328,1.06582,1.053946,0.07119971,-0.2288796,-0.2188595
108724587,2.398658,2.470494,1.157161,1.085325,1.000223,0.04767004,-0.1720252,-0.2147861
108824550,2.512449,2.570897,1.160689,1.102241,1.052597,0.02439499,-0.2059155,-0.1965524
108924484,2.626501,2.670994,1.16214,1.117647,1.055439,0.006835781,-0.2083996,-0.1956344
109024502,2.740635,2.772688,1.162407,1.130353,1.04582,0.000345026,-0.2031676,-0.2042395
109124488,2.854795,2.880642,1.16241,1.136562,1.095238,-0.000183579,-0.2785241,-0.216974
109224511,2.968948,2.989277,1.162204,1.141875,1.081908,-0.005628298,-0.2450268,-0.2300965
109324491,3.083038,3.099166,1.16093,1.144802,1.098282,-0.0221119,-0.2667096,-0.2504376
109424552,3.196913,3.210199,1.15764,1.144354,1.09117,-0.04520002,-0.3191665,-0.2681087
