Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.05543237250554324,0.0
2,0.03333333333333333,0.0
3,0.022271714922048998,0.0
4,0.015625,0.0
5,0.008948545861297539,0.0
6,0.002242152466367713,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
