Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.9836065573770492,0.07049180327868852
2,0.9819376026272578,0.05582922824302135
3,0.9802631578947368,0.04276315789473684
4,0.9785831960461285,0.03130148270181219
5,0.976897689768977,0.02145214521452145
6,0.9752066115702479,0.01652892561983471
7,0.9735099337748344,0.011589403973509934
8,0.9718076285240465,0.006633499170812604
9,0.9700996677740864,0.0016611295681063123
10,0.9683860232945092,0.0
11,0.9666666666666667,0.0
12,0.9649415692821369,0.0
13,0.9632107023411371,0.0
14,0.9614740368509213,0.0
15,0.959731543624161,0.0
16,0.957983193277311,0.0
17,0.9562289562289562,0.0
18,0.954468802698145,0.0
19,0.9527027027027027,0.0
20,0.9509306260575296,0.0
21,0.9491525423728814,0.0
22,0.9473684210526315,0.0
23,0.9455782312925171,0.0
24,0.9437819420783645,0.0
25,0.9419795221843004,0.0
26,0.9401709401709402,0.0
27,0.9383561643835616,0.0
28,0.9365351629502573,0.0
29,0.9347079037800687,0.0
30,0.9328743545611016,0.0
