TimeUS,gpSA,gpHA,gpVA
 234201026, 0.396, 1.162, 1.991
 234401738, 0.393, 1.166, 1.998
 234622028, 0.411, 1.17, 2.005
 234781949, 0.369, 1.173, 2.011
 235001939, 0.416, 1.177, 2.016
 235201923, 0.379, 1.181, 2.022
 235402530, 0.374, 1.184, 2.016
 235605663, 0.378, 1.188, 2.015
 235805508, 0.365, 1.191, 2.015
 235985898, 0.381, 1.195, 2.014
 236189593, 0.369, 1.198, 2.013
 236410828, 0.398, 1.201, 2.012
 236610835, 0.421, 1.204, 2.015
 236790845, 0.399, 1.205, 2.018
 236991665, 0.348, 1.204, 2.024
 237191680, 0.321, 1.204, 2.028
 237391772, 0.308, 1.203, 2.033
 237591667, 0.33, 1.202, 2.038
 237791719, 0.4, 1.202, 2.044
 237991807, 0.395, 1.201, 2.051
 238215275, 0.56, 1.207, 2.065
 238415285, 0.384, 1.2, 2.07
 238595255, 0.41, 1.199, 2.08
 238815409, 0.32, 1.194, 2.063
 238955246, 0.198, 1.187, 2.025
 239155254, 0.38, 1.185, 2.024
 239355271, 0.357, 1.185, 2.023
 239555235, 0.408, 1.187, 2.029
 239755400, 0.346, 1.188, 2.032
 239936114, 0.385, 1.188, 2.035
 240156143, 0.398, 1.187, 2.037
 240358970, 0.339, 1.185, 2.034
 240559886, 0.357, 1.186, 2.037
 240798677, 0.374, 1.188, 2.041
 240938994, 0.359, 1.19, 2.044
 241160144, 0.346, 1.191, 2.047
 241344591, 0.272, 1.186, 2.046
 241543782, 0.345, 1.184, 2.048
 241763484, 0.368, 1.18, 2.051
 241944910, 0.271, 1.176, 2.053
 242145911, 0.461, 1.178, 2.056
 242346569, 0.431, 1.181, 2.058
 242546535, 0.43, 1.185, 2.06
 242746552, 0.33, 1.187, 2.062
 242946555, 0.312, 1.186, 2.065
 243146710, 0.446, 1.185, 2.067
 243347776, 0.399, 1.184, 2.068
 243548351, 0.325, 1.182, 2.07
 243752088, 0.373, 1.183, 2.072
 243951918, 0.35, 1.183, 2.074
 244152728, 0.392, 1.183, 2.074
 244351943, 0.413, 1.183, 2.074
 244551932, 0.419, 1.183, 2.075
 244753011, 0.308, 1.183, 2.075
 244953760, 0.311, 1.182, 2.077
 245153908, 0.335, 1.18, 2.078
 245354121, 0.3, 1.176, 2.066
 245554108, 0.346, 1.175, 2.057
 245754134, 0.442, 1.177, 2.059
 245955021, 0.335, 1.179, 2.065
 246135721, 0.371, 1.184, 2.073
 246359213, 0.353, 1.187, 2.066
 246559144, 0.369, 1.19, 2.058
 246739371, 0.358, 1.191, 2.051
 246959373, 0.339, 1.19, 2.051
 247140085, 0.337, 1.188, 2.053
 247341059, 0.389, 1.183, 2.059
 247544998, 0.401, 1.18, 2.066
 247744695, 0.336, 1.178, 2.072
 247944467, 0.418, 1.175, 2.077
 248146941, 0.431, 1.174, 2.082
 248346981, 0.357, 1.17, 2.081
 248547735, 0.333, 1.167, 2.085
 248747727, 0.417, 1.165, 2.091
 248948086, 0.466, 1.163, 2.1
 249148103, 0.473, 1.161, 2.108
 249348098, 0.434, 1.16, 2.113
 249548619, 0.443, 1.16, 2.118
 249751974, 0.357, 1.161, 2.111
 249952798, 0.352, 1.161, 2.102
 250152789, 0.343, 1.163, 2.095
 250334516, 0.313, 1.165, 2.088
 250552794, 0.428, 1.169, 2.094
 250752816, 0.437, 1.173, 2.098
 250956614, 0.325, 1.176, 2.099
 251156755, 0.524, 1.18, 2.107
 251356624, 0.524, 1.186, 2.114
 251556365, 0.37, 1.191, 2.122
 251756851, 0.417, 1.196, 2.13
 251956739, 0.468, 1.2, 2.137
 252156870, 0.44, 1.205, 2.148
 252357347, 0.531, 1.211, 2.16
 252557316, 0.456, 1.216, 2.171
 252757351, 0.371, 1.22, 2.182
 252937774, 0.383, 1.224, 2.188
 253157771, 0.425, 1.228, 2.198
 253357858, 0.403, 1.231, 2.205
 253558619, 0.481, 1.234, 2.212
 253762736, 0.349, 1.237, 2.218
 253942626, 0.412, 1.239, 2.22
 254142768, 0.411, 1.241, 2.226
 254343223, 0.341, 1.243, 2.225
 254547455, 0.407, 1.246, 2.232
 254748894, 0.41, 1.25, 2.24
 254949267, 0.363, 1.254, 2.249
 255149284, 0.421, 1.258, 2.258
 255369661, 0.406, 1.257, 2.256
 255549294, 0.348, 1.258, 2.26
 255749294, 0.424, 1.262, 2.268
 255950072, 0.501, 1.265, 2.276
 256150991, 0.479, 1.269, 2.287
 256355251, 0.438, 1.273, 2.295
 256555272, 0.409, 1.277, 2.3
 256755775, 0.372, 1.279, 2.287
 256954771, 0.404, 1.279, 2.271
 257154733, 0.399, 1.28, 2.257
 257355660, 0.404, 1.281, 2.244
 257556128, 0.501, 1.284, 2.249
 257756094, 0.392, 1.285, 2.252
 257956084, 0.347, 1.285, 2.255
 258136495, 0.381, 1.286, 2.252
 258356627, 0.288, 1.264, 2.193
 258576480, 0.295, 1.255, 2.176
 258757138, 0.211, 1.24, 2.129
 258957806, 0.251, 1.226, 2.087
 259157826, 0.252, 1.214, 2.059
 259360308, 0.295, 1.202, 2.033
 259544513, 0.34, 1.192, 2.011
 259746101, 0.285, 1.181, 2.005
 259946211, 0.308, 1.168, 1.996
 260146125, 0.368, 1.166, 1.998
 260346351, 0.403, 1.165, 2.002
 260546126, 0.333, 1.165, 2.005
 260746122, 0.412, 1.166, 2.007
 260946489, 0.331, 1.168, 2.008
 261147522, 0.385, 1.172, 2.013
 261347302, 0.418, 1.178, 2.016
 261547269, 0.306, 1.177, 1.986
 261751855, 0.304, 1.176, 1.976
 261951813, 0.31, 1.176, 1.967
 262153316, 0.362, 1.178, 1.968
 262354032, 0.357, 1.18, 1.969
 262554025, 0.398, 1.183, 1.972
 262754059, 0.365, 1.187, 1.974
 262954327, 0.439, 1.189, 1.975
 263154326, 0.476, 1.19, 1.981
 263334334, 0.415, 1.187, 1.98
 263555386, 0.453, 1.187, 1.983
 263757796, 0.414, 1.188, 1.984
 263957986, 0.424, 1.187, 1.986
 264157973, 0.451, 1.188, 1.994
 264358025, 0.401, 1.192, 2.004
 264559115, 0.365, 1.195, 2.008
 264739133, 0.412, 1.199, 2.014
 264959996, 0.398, 1.202, 2.009
 265141755, 0.459, 1.205, 2.015
 265341903, 0.449, 1.208, 2.022
 265540946, 0.415, 1.213, 2.032
 265741094, 0.409, 1.218, 2.042
 265940933, 0.431, 1.223, 2.051
 266140942, 0.392, 1.228, 2.06
 266361614, 0.344, 1.231, 2.067
 266541627, 0.376, 1.234, 2.072
 266762737, 0.411, 1.234, 2.078
 266946916, 0.342, 1.233, 2.082
 267149720, 0.414, 1.233, 2.087
 267349735, 0.409, 1.232, 2.089
 267550623, 0.35, 1.23, 2.09
 267750653, 0.31, 1.227, 2.093
 267950637, 0.295, 1.224, 2.095
 268150707, 0.42, 1.223, 2.1
 268350637, 0.356, 1.222, 2.103
 268550612, 0.381, 1.223, 2.109
 268751898, 0.369, 1.225, 2.112
 268951692, 0.365, 1.226, 2.104
 269151716, 0.401, 1.228, 2.102
 269351705, 0.325, 1.228, 2.097
 269551723, 0.385, 1.229, 2.1
 269751760, 0.45, 1.229, 2.107
 269952614, 0.349, 1.227, 2.112
 270152354, 0.353, 1.226, 2.117
 270352487, 0.314, 1.223, 2.121
 270572376, 0.343, 1.222, 2.124
 270752495, 0.347, 1.222, 2.122
 270952461, 0.372, 1.222, 2.118
 271133088, 0.332, 1.221, 2.114
 271353085, 0.328, 1.22, 2.111
 271553090, 0.343, 1.22, 2.107
 271753301, 0.34, 1.22, 2.103
