TimeUS,gpSA,gpHA,gpVA
 222311188, 0.345, 1.222, 1.614
 222511163, 0.3, 1.223, 1.615
 222711166, 0.371, 1.224, 1.616
 222911145, 0.337, 1.225, 1.617
 223111168, 0.353, 1.224, 1.616
 223311185, 0.342, 1.224, 1.616
 223511424, 0.341, 1.224, 1.615
 223711176, 0.321, 1.224, 1.616
 223911177, 0.273, 1.224, 1.616
 224111140, 0.326, 1.224, 1.616
 224291647, 0.293, 1.223, 1.616
 224511137, 0.278, 1.223, 1.616
 224711178, 0.322, 1.222, 1.616
 224911187, 0.345, 1.222, 1.615
 225111178, 0.301, 1.221, 1.614
 225311427, 0.343, 1.221, 1.614
 225531200, 0.345, 1.22, 1.614
 225711166, 0.33, 1.219, 1.613
 225911183, 0.351, 1.219, 1.613
 226111184, 0.337, 1.219, 1.613
 226311179, 0.338, 1.218, 1.614
 226511171, 0.363, 1.218, 1.614
 226711189, 0.352, 1.218, 1.614
 226891588, 0.362, 1.218, 1.614
 227111418, 0.333, 1.218, 1.615
 227311207, 0.358, 1.218, 1.615
 227511184, 0.358, 1.218, 1.615
 227711177, 0.306, 1.218, 1.615
 227911173, 0.358, 1.218, 1.615
 228111184, 0.32, 1.218, 1.615
 228311194, 0.336, 1.217, 1.614
 228511164, 0.275, 1.217, 1.614
 228711186, 0.309, 1.216, 1.614
 228911400, 0.277, 1.216, 1.614
 229111188, 0.362, 1.216, 1.613
 229311238, 0.336, 1.216, 1.613
 229491642, 0.334, 1.215, 1.613
 229711462, 0.351, 1.215, 1.613
 229911191, 0.327, 1.214, 1.612
 230111214, 0.296, 1.214, 1.612
 230311222, 0.325, 1.214, 1.612
 230511214, 0.35, 1.214, 1.612
 230711450, 0.334, 1.213, 1.612
 230911207, 0.345, 1.214, 1.611
 231111224, 0.331, 1.213, 1.607
 231311229, 0.331, 1.21, 1.593
 231511228, 0.356, 1.211, 1.592
 231711214, 0.327, 1.21, 1.589
 231911217, 0.308, 1.207, 1.587
 232091668, 0.309, 1.208, 1.59
 232311237, 0.249, 1.204, 1.581
 232511449, 0.226, 1.198, 1.58
 232711194, 0.247, 1.191, 1.573
 232911206, 0.268, 1.182, 1.565
 233111199, 0.301, 1.18, 1.563
 233311226, 0.271, 1.176, 1.563
 233511202, 0.334, 1.176, 1.568
 233711216, 0.28, 1.173, 1.558
 233911464, 0.281, 1.166, 1.562
 234111413, 0.339, 1.165, 1.569
 234311565, 0.312, 1.162, 1.571
 234511406, 0.288, 1.16, 1.577
 234692853, 0.322, 1.156, 1.577
 234915888, 0.288, 1.153, 1.578
 235115871, 0.328, 1.151, 1.581
 235295173, 0.269, 1.144, 1.574
 235515510, 0.3, 1.14, 1.566
 235695622, 0.376, 1.14, 1.57
 235896485, 0.36, 1.137, 1.57
 236096489, 0.375, 1.136, 1.569
 236296501, 0.37, 1.133, 1.566
 236496539, 0.384, 1.131, 1.568
 236717039, 0.38, 1.128, 1.57
 236897053, 0.386, 1.122, 1.573
 237097053, 0.405, 1.121, 1.578
 237297090, 0.339, 1.12, 1.58
 237520328, 0.356, 1.117, 1.579
 237700957, 0.301, 1.114, 1.575
 237901583, 0.276, 1.11, 1.571
 238101515, 0.333, 1.108, 1.57
 238301529, 0.305, 1.105, 1.567
 238501561, 0.303, 1.102, 1.57
 238701703, 0.254, 1.1, 1.57
 238901607, 0.24, 1.097, 1.569
