TimeUS,gpSA,gpHA,gpVA
 69736046, 0.342, 1.479, 1.695
 69936029, 0.397, 1.472, 1.693
 70136028, 0.322, 1.467, 1.692
 70336037, 0.294, 1.461, 1.69
 70536040, 0.206, 1.455, 1.689
 70736183, 0.321, 1.45, 1.687
 70936026, 0.271, 1.445, 1.686
 71136008, 0.315, 1.441, 1.684
 71336045, 0.299, 1.437, 1.682
 71536037, 0.221, 1.433, 1.68
 71736076, 0.351, 1.429, 1.678
 71936023, 0.363, 1.425, 1.676
 72136025, 0.39, 1.421, 1.675
 72336025, 0.307, 1.417, 1.672
 72536167, 0.319, 1.413, 1.671
 72736050, 0.364, 1.41, 1.669
 72936195, 0.313, 1.406, 1.667
 73136027, 0.364, 1.401, 1.665
 73336038, 0.326, 1.398, 1.664
 73536039, 0.235, 1.395, 1.662
 73736051, 0.316, 1.391, 1.66
 73936033, 0.312, 1.387, 1.657
 74136027, 0.36, 1.384, 1.656
 74336170, 0.388, 1.381, 1.654
 74536014, 0.375, 1.378, 1.652
 74756040, 0.304, 1.375, 1.651
 74956056, 0.365, 1.373, 1.65
 75156039, 0.283, 1.37, 1.648
 75336042, 0.322, 1.368, 1.647
 75536369, 0.335, 1.366, 1.645
 75756357, 0.306, 1.364, 1.644
 75936355, 0.3, 1.361, 1.643
 76136372, 0.354, 1.359, 1.641
 76356345, 0.281, 1.357, 1.64
 76556323, 0.33, 1.355, 1.639
 76756368, 0.345, 1.353, 1.638
 76936326, 0.307, 1.352, 1.637
 77136396, 0.342, 1.35, 1.636
 77336334, 0.375, 1.348, 1.635
 77536355, 0.326, 1.347, 1.634
 77736356, 0.228, 1.345, 1.633
 77937696, 0.267, 1.344, 1.632
 78137047, 0.378, 1.342, 1.632
 78337063, 0.33, 1.341, 1.63
 78537051, 0.362, 1.339, 1.629
 78737082, 0.377, 1.338, 1.629
 78939243, 0.322, 1.337, 1.628
 79139281, 0.323, 1.336, 1.627
 79339262, 0.339, 1.334, 1.627
 79539267, 0.278, 1.333, 1.626
 79739316, 0.392, 1.332, 1.625
 79939373, 0.284, 1.331, 1.624
 80139327, 0.389, 1.329, 1.623
 80339468, 0.376, 1.328, 1.623
 80539295, 0.393, 1.327, 1.622
 80759464, 0.25, 1.326, 1.621
 80939259, 0.364, 1.325, 1.621
 81139287, 0.347, 1.323, 1.62
 81339246, 0.347, 1.322, 1.619
 81539295, 0.387, 1.321, 1.618
 81739409, 0.364, 1.32, 1.618
 81939291, 0.35, 1.319, 1.617
 82139298, 0.36, 1.318, 1.617
 82339320, 0.322, 1.318, 1.616
 82539289, 0.393, 1.317, 1.616
 82759328, 0.314, 1.316, 1.615
 82939318, 0.327, 1.316, 1.615
 83139344, 0.3, 1.315, 1.614
 83339335, 0.319, 1.314, 1.613
 83539337, 0.353, 1.314, 1.615
 83739336, 0.295, 1.312, 1.615
 83939343, 0.325, 1.31, 1.613
 84139325, 0.275, 1.31, 1.611
 84359309, 0.291, 1.31, 1.614
 84559286, 0.293, 1.31, 1.621
 84759372, 0.271, 1.309, 1.626
 84959492, 0.315, 1.307, 1.631
 85159316, 0.324, 1.308, 1.635
 85359290, 0.293, 1.304, 1.636
 85559288, 0.345, 1.303, 1.638
 85759292, 0.273, 1.299, 1.633
 85939281, 0.335, 1.297, 1.635
 86159311, 0.353, 1.296, 1.636
 86359326, 0.325, 1.295, 1.639
 86539307, 0.35, 1.295, 1.643
 86759271, 0.341, 1.293, 1.641
 86959282, 0.336, 1.288, 1.65
 87139312, 0.356, 1.287, 1.66
 87339311, 0.375, 1.283, 1.669
 87539256, 0.273, 1.273, 1.666
 87739305, 0.295, 1.267, 1.657
 87939273, 0.294, 1.264, 1.657
 88159265, 0.278, 1.257, 1.649
 88339273, 0.325, 1.254, 1.653
 88539278, 0.322, 1.254, 1.658
 88759303, 0.287, 1.251, 1.661
 88939361, 0.32, 1.246, 1.668
 89139277, 0.297, 1.238, 1.671
 89339259, 0.312, 1.236, 1.665
 89539302, 0.272, 1.23, 1.668
 89759331, 0.265, 1.224, 1.669
 89939326, 0.343, 1.225, 1.67
 90159284, 0.266, 1.223, 1.665
 90339262, 0.206, 1.214, 1.66
 90559306, 0.239, 1.211, 1.662
 90759246, 0.236, 1.206, 1.663
 90959286, 0.276, 1.205, 1.666
 91159289, 0.277, 1.205, 1.67
 91359305, 0.264, 1.204, 1.672
 91539439, 0.324, 1.204, 1.678
 91739409, 0.281, 1.205, 1.677
 91959387, 0.281, 1.206, 1.679
 92159401, 0.274, 1.208, 1.679
 92360270, 0.263, 1.207, 1.677
 92539911, 0.299, 1.207, 1.68
 92760654, 0.309, 1.199, 1.679
 92960623, 0.316, 1.197, 1.682
 93160104, 0.332, 1.195, 1.684
 93360369, 0.308, 1.192, 1.686
 93560132, 0.282, 1.192, 1.688
 93760129, 0.272, 1.184, 1.684
 93960129, 0.271, 1.176, 1.683
 94139677, 0.24, 1.167, 1.678
 94339898, 0.263, 1.161, 1.675
 94560110, 0.321, 1.159, 1.673
 94759710, 0.278, 1.157, 1.669
 94959667, 0.298, 1.155, 1.664
 95179709, 0.291, 1.152, 1.658
 95359660, 0.296, 1.15, 1.649
 95559690, 0.294, 1.148, 1.641
 95759699, 0.297, 1.146, 1.633
 95959916, 0.275, 1.143, 1.625
 96159699, 0.262, 1.143, 1.618
 96359636, 0.265, 1.144, 1.612
 96559637, 0.261, 1.146, 1.613
 96759702, 0.227, 1.146, 1.606
 96940346, 0.231, 1.146, 1.603
 97160355, 0.248, 1.146, 1.605
 97360353, 0.255, 1.147, 1.609
 97560496, 0.289, 1.149, 1.614
 97760497, 0.265, 1.15, 1.617
 97960373, 0.241, 1.149, 1.618
 98160730, 0.237, 1.147, 1.619
 98360745, 0.235, 1.145, 1.619
 98560711, 0.229, 1.143, 1.62
 98780719, 0.246, 1.141, 1.622
 98960679, 0.255, 1.14, 1.626
 99160724, 0.272, 1.141, 1.63
 99361045, 0.253, 1.143, 1.633
 99541030, 0.252, 1.145, 1.635
 99761064, 0.25, 1.145, 1.635
 99963503, 0.243, 1.145, 1.634
 100163502, 0.255, 1.144, 1.633
 100363470, 0.266, 1.143, 1.632
 100563521, 0.29, 1.143, 1.631
 100763735, 0.28, 1.143, 1.63
 100963472, 0.298, 1.143, 1.63
 101163493, 0.261, 1.142, 1.629
 101363477, 0.241, 1.137, 1.626
 101563656, 0.276, 1.133, 1.626
 101763516, 0.256, 1.129, 1.624
 101963517, 0.298, 1.127, 1.622
 102144353, 0.314, 1.127, 1.62
 102363477, 0.309, 1.128, 1.62
 102563493, 0.302, 1.129, 1.622
 102763502, 0.408, 1.13, 1.624
 102943906, 0.27, 1.131, 1.625
 103163479, 0.313, 1.132, 1.626
 103344361, 0.295, 1.132, 1.626
 103544504, 0.292, 1.132, 1.627
 103743947, 0.286, 1.132, 1.628
 103943912, 0.271, 1.132, 1.629
 104164083, 0.27, 1.132, 1.628
 104364084, 0.283, 1.132, 1.627
 104564094, 0.303, 1.132, 1.626
 104764109, 0.298, 1.132, 1.624
 104964261, 0.307, 1.13, 1.622
 105164233, 0.312, 1.129, 1.62
 105364095, 0.3, 1.127, 1.618
 105544112, 0.313, 1.127, 1.616
 105764102, 0.309, 1.127, 1.614
 105964086, 0.306, 1.129, 1.616
 106144098, 0.397, 1.131, 1.619
 106344100, 0.318, 1.131, 1.616
 106544105, 0.365, 1.132, 1.616
 106764112, 0.354, 1.131, 1.616
 106944053, 0.285, 1.13, 1.615
 107164088, 0.337, 1.13, 1.618
 107344124, 0.276, 1.13, 1.62
 107564105, 0.351, 1.13, 1.624
 107765344, 0.333, 1.131, 1.628
 107964888, 0.351, 1.132, 1.633
 108164884, 0.396, 1.135, 1.641
 108364881, 0.301, 1.136, 1.646
 108564908, 0.293, 1.137, 1.652
 108765508, 0.299, 1.137, 1.656
 108944644, 0.368, 1.137, 1.66
 109144459, 0.343, 1.138, 1.663
 109344446, 0.389, 1.138, 1.666
 109544479, 0.288, 1.139, 1.669
 109744510, 0.411, 1.141, 1.672
 109944452, 0.409, 1.142, 1.674
 110165351, 0.298, 1.142, 1.677
 110364905, 0.299, 1.142, 1.68
 110564970, 0.325, 1.14, 1.682
 110784468, 0.386, 1.139, 1.687
 110984424, 0.319, 1.139, 1.691
 111165337, 0.316, 1.139, 1.695
 111365331, 0.294, 1.138, 1.698
 111564921, 0.297, 1.138, 1.702
 111764919, 0.287, 1.139, 1.706
 111944450, 0.317, 1.139, 1.71
 112164895, 0.317, 1.139, 1.712
 112365032, 0.317, 1.139, 1.713
 112544645, 0.351, 1.14, 1.713
 112764946, 0.351, 1.142, 1.714
 112964850, 0.35, 1.144, 1.716
 113164903, 0.332, 1.146, 1.713
 113365131, 0.335, 1.146, 1.71
 113565325, 0.285, 1.143, 1.691
 113765364, 0.309, 1.142, 1.688
 113964891, 0.315, 1.14, 1.671
 114165010, 0.311, 1.139, 1.669
 114364895, 0.296, 1.137, 1.667
 114564923, 0.338, 1.138, 1.671
 114764901, 0.324, 1.139, 1.674
 114965329, 0.317, 1.14, 1.678
 115144452, 0.363, 1.142, 1.682
 115364893, 0.371, 1.143, 1.689
 115564902, 0.374, 1.144, 1.696
 115764921, 0.378, 1.144, 1.7
 115965024, 0.411, 1.146, 1.706
 116165319, 0.384, 1.147, 1.709
 116364892, 0.342, 1.146, 1.711
 116564888, 0.354, 1.143, 1.713
 116784456, 0.356, 1.143, 1.716
 116964877, 0.334, 1.141, 1.719
 117164940, 0.374, 1.14, 1.721
 117365331, 0.332, 1.139, 1.725
 117565648, 0.355, 1.138, 1.726
 117744496, 0.335, 1.136, 1.721
 117964486, 0.333, 1.135, 1.718
 118164444, 0.343, 1.135, 1.716
 118344455, 0.372, 1.135, 1.719
 118544459, 0.363, 1.135, 1.722
 118751953, 0.359, 1.135, 1.724
 118953156, 0.357, 1.135, 1.727
 119153526, 0.364, 1.135, 1.731
 119353598, 0.327, 1.134, 1.731
 119553892, 0.404, 1.135, 1.736
 119756953, 0.25, 1.126, 1.727
 119956864, 0.318, 1.122, 1.726
 120156689, 0.339, 1.121, 1.727
 120337609, 0.332, 1.121, 1.728
 120557778, 0.498, 1.126, 1.738
 120757632, 0.287, 1.128, 1.733
 120958108, 0.273, 1.125, 1.729
 121160878, 0.275, 1.125, 1.73
 121360668, 0.265, 1.123, 1.73
 121561259, 0.266, 1.12, 1.73
 121761620, 0.241, 1.116, 1.729
 121961549, 0.223, 1.111, 1.727
 122161600, 0.246, 1.108, 1.728
 122361960, 0.216, 1.105, 1.725
 122562716, 0.279, 1.104, 1.726
 122783220, 0.236, 1.099, 1.725
 122963509, 0.256, 1.091, 1.724
 123163696, 0.226, 1.079, 1.717
 123364294, 0.186, 1.064, 1.711
 123564655, 0.202, 1.052, 1.707
 123764142, 0.196, 1.041, 1.703
 123964331, 0.192, 1.03, 1.697
 124164298, 0.203, 1.022, 1.693
 124344301, 0.185, 1.011, 1.688
 124564338, 0.205, 1.003, 1.685
 124764250, 0.209, 0.997, 1.684
 124944294, 0.267, 0.992, 1.685
 125165167, 0.249, 0.9900001, 1.686
 125348200, 0.233, 0.9860001, 1.684
 125548860, 0.243, 0.984, 1.684
 125748060, 0.253, 0.9820001, 1.686
 125948021, 0.285, 0.9820001, 1.69
 126148893, 0.255, 0.983, 1.693
 126350211, 0.24, 0.983, 1.693
 126551102, 0.272, 0.984, 1.699
 126754650, 0.301, 0.9860001, 1.703
 126954609, 0.294, 0.9900001, 1.707
 127153702, 0.314, 0.994, 1.714
 127353698, 0.288, 0.998, 1.714
 127554520, 0.315, 1.001, 1.722
 127754742, 0.279, 1.004, 1.727
 127955028, 0.261, 1.004, 1.728
 128135221, 0.268, 1.003, 1.729
 128354916, 0.27, 1.003, 1.727
 128555303, 0.278, 1.003, 1.726
 128776491, 0.302, 1.002, 1.728
 128956918, 0.278, 1.001, 1.732
 129156701, 0.276, 1.002, 1.735
 129356747, 0.282, 1.003, 1.736
 129557684, 0.289, 1.004, 1.739
 129758837, 0.278, 1.006, 1.737
 129961201, 0.272, 1.006, 1.739
 130162059, 0.273, 1.004, 1.741
 130342416, 0.26, 1, 1.743
 130542664, 0.285, 1, 1.746
 130742495, 0.291, 1, 1.741
 130942494, 0.287, 1, 1.738
 131162427, 0.312, 1, 1.737
 131363981, 0.312, 1.002, 1.737
 131564099, 0.29, 1.003, 1.741
