Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.9008264462809917,0.6033057851239669,0.29201101928374656
2,0.6850828729281768,0.47513812154696133,0.15469613259668508
3,0.4487534626038781,0.3739612188365651,0.09141274238227147
4,0.2722222222222222,0.29444444444444445,0.06388888888888888
5,0.18662952646239556,0.23119777158774374,0.04456824512534819
6,0.1340782122905028,0.18156424581005587,0.036312849162011177
7,0.08123249299719888,0.1484593837535014,0.03081232492997199
8,0.056179775280898875,0.1151685393258427,0.025280898876404494
9,0.04788732394366197,0.09577464788732394,0.01971830985915493
10,0.0423728813559322,0.07909604519774012,0.014124293785310734
11,0.0339943342776204,0.0679886685552408,0.0113314447592068
12,0.028409090909090908,0.056818181818181816,0.008522727272727272
13,0.022792022792022793,0.045584045584045586,0.005698005698005698
14,0.017142857142857144,0.03428571428571429,0.002857142857142857
15,0.014326647564469915,0.022922636103151862,0.0
16,0.011494252873563218,0.011494252873563218,0.0
17,0.011527377521613832,0.002881844380403458,0.0
18,0.005780346820809248,0.0,0.0
19,0.002898550724637681,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
