Threshold,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR)
1,0.0,0.0924092409240924,0.1,0.9966996699669967
2,0.0,0.04304635761589404,0.03333333333333333,0.9966887417218543
3,0.0,0.023255813953488372,0.0,0.9933554817275747
4,0.0,0.016666666666666666,0.0,0.99
5,0.0,0.013377926421404682,0.0,0.9866220735785953
6,0.0,0.010067114093959731,0.0,0.9832214765100671
7,0.0,0.006734006734006734,0.0,0.9797979797979798
8,0.0,0.0,0.0,0.9763513513513513
9,0.0,0.0,0.0,0.9728813559322034
10,0.0,0.0,0.0,0.9693877551020408
11,0.0,0.0,0.0,0.9658703071672355
12,0.0,0.0,0.0,0.9623287671232876
13,0.0,0.0,0.0,0.9587628865979382
14,0.0,0.0,0.0,0.9551724137931035
15,0.0,0.0,0.0,0.9515570934256056
16,0.0,0.0,0.0,0.9479166666666666
17,0.0,0.0,0.0,0.9442508710801394
18,0.0,0.0,0.0,0.9405594405594405
19,0.0,0.0,0.0,0.9368421052631579
20,0.0,0.0,0.0,0.9330985915492958
21,0.0,0.0,0.0,0.9293286219081273
22,0.0,0.0,0.0,0.925531914893617
23,0.0,0.0,0.0,0.9217081850533808
24,0.0,0.0,0.0,0.9178571428571428
25,0.0,0.0,0.0,0.9139784946236559
26,0.0,0.0,0.0,0.9100719424460432
27,0.0,0.0,0.0,0.9061371841155235
28,0.0,0.0,0.0,0.9021739130434783
29,0.0,0.0,0.0,0.8981818181818182
30,0.0,0.0,0.0,0.8941605839416058
