THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,535,0.9383177570093458,0.874766355140187,0.059813084112149535
2,534,0.9232209737827716,0.8520599250936329,0.035580524344569285
3,533,0.9099437148217636,0.8367729831144465,0.020637898686679174
4,532,0.8984962406015038,0.8233082706766918,0.009398496240601503
5,531,0.8870056497175142,0.8116760828625236,0.005649717514124294
6,530,0.8773584905660378,0.8,0.0018867924528301887
7,529,0.8657844990548205,0.7882797731568998,0.0
8,528,0.8560606060606061,0.7765151515151515,0.0
9,527,0.8481973434535104,0.7685009487666035,0.0
10,526,0.8422053231939164,0.7604562737642585,0.0
11,525,0.8361904761904762,0.7523809523809524,0.0
12,524,0.8301526717557252,0.7442748091603053,0.0
13,523,0.8240917782026769,0.7361376673040153,0.0
14,522,0.8180076628352491,0.7279693486590039,0.0
15,521,0.8119001919385797,0.7197696737044146,0.0
16,520,0.8057692307692308,0.7096153846153846,0.0
17,519,0.7957610789980732,0.6994219653179191,0.0
18,518,0.7837837837837838,0.6911196911196911,0.0
19,517,0.7717601547388782,0.6827852998065764,0.0
20,516,0.7596899224806202,0.6744186046511628,0.0
21,515,0.7475728155339806,0.6660194174757281,0.0
22,514,0.7354085603112841,0.6575875486381323,0.0
23,513,0.7251461988304093,0.6491228070175439,0.0
24,512,0.716796875,0.640625,0.0
25,511,0.7084148727984344,0.6320939334637965,0.0
26,510,0.7,0.6235294117647059,0.0
27,509,0.6915520628683693,0.6149312377210217,0.0
28,508,0.6830708661417323,0.6062992125984252,0.0
29,507,0.6745562130177515,0.5976331360946746,0.0
