Threshold,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR)
1,0.2631578947368421,0.17578125,0.08771929824561403,0.37109375
2,0.19298245614035087,0.11764705882352941,0.03508771929824561,0.3176470588235294
3,0.12280701754385964,0.07874015748031496,0.0,0.2755905511811024
4,0.08771929824561403,0.043478260869565216,0.0,0.24110671936758893
5,0.07017543859649122,0.031746031746031744,0.0,0.21825396825396826
6,0.05263157894736842,0.02390438247011952,0.0,0.20717131474103587
7,0.03508771929824561,0.02,0.0,0.196
8,0.017543859649122806,0.01606425702811245,0.0,0.18072289156626506
9,0.0,0.012096774193548387,0.0,0.16532258064516128
10,0.0,0.008097165991902834,0.0,0.14979757085020243
11,0.0,0.0040650406504065045,0.0,0.13414634146341464
12,0.0,0.0,0.0,0.11836734693877551
13,0.0,0.0,0.0,0.10245901639344263
14,0.0,0.0,0.0,0.08641975308641975
15,0.0,0.0,0.0,0.07024793388429752
16,0.0,0.0,0.0,0.058091286307053944
17,0.0,0.0,0.0,0.04583333333333333
18,0.0,0.0,0.0,0.03347280334728033
19,0.0,0.0,0.0,0.025210084033613446
20,0.0,0.0,0.0,0.02109704641350211
21,0.0,0.0,0.0,0.01694915254237288
22,0.0,0.0,0.0,0.01276595744680851
23,0.0,0.0,0.0,0.008547008547008548
24,0.0,0.0,0.0,0.004291845493562232
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
