THR,Frames,FPR,TPR,TTD
1,119,0.37142857142857144,1.0,147
2,118,0.2857142857142857,1.0,147
3,117,0.22857142857142856,1.0,147
4,116,0.17142857142857143,1.0,147
5,115,0.11428571428571428,1.0,147
6,114,0.08571428571428572,1.0,147
7,113,0.05714285714285714,1.0,147
8,112,0.02857142857142857,1.0,147
9,111,0.0,1.0,147
10,110,0.0,0.9866666666666667,347
11,109,0.0,0.972972972972973,547
12,108,0.0,0.958904109589041,747
13,107,0.0,0.9444444444444444,947
14,106,0.0,0.9295774647887324,1147
15,105,0.0,0.9142857142857143,1346
16,104,0.0,0.8985507246376812,1546
17,103,0.0,0.8823529411764706,1747
18,102,0.0,0.8656716417910447,1947
19,101,0.0,0.8484848484848485,2147
20,100,0.0,0.8307692307692308,2347
21,99,0.0,0.8125,2547
22,98,0.0,0.7936507936507936,2747
23,97,0.0,0.7741935483870968,2947
24,96,0.0,0.7540983606557377,3147
25,95,0.0,0.7333333333333333,3346
26,94,0.0,0.711864406779661,3546
27,93,0.0,0.6896551724137931,3747
28,92,0.0,0.6666666666666666,3947
29,91,0.0,0.6428571428571429,4147
