THR,Frames,FPR,TPR,TTD
1,369,0.030303030303030304,0.8877887788778878,147
2,368,0.0,0.8675496688741722,147
3,367,0.0,0.8538205980066446,347
4,366,0.0,0.8433333333333334,547
5,365,0.0,0.8327759197324415,747
6,364,0.0,0.8221476510067114,947
7,363,0.0,0.8148148148148148,1147
8,362,0.0,0.8074324324324325,1346
9,361,0.0,0.8,1546
10,360,0.0,0.7925170068027211,1747
11,359,0.0,0.7849829351535836,1947
12,358,0.0,0.7773972602739726,2147
13,357,0.0,0.7697594501718213,2347
14,356,0.0,0.7620689655172413,2547
15,355,0.0,0.754325259515571,2747
16,354,0.0,0.7465277777777778,2947
17,353,0.0,0.7386759581881533,3147
18,352,0.0,0.7307692307692307,3346
19,351,0.0,0.7228070175438597,3546
20,350,0.0,0.7147887323943662,3747
21,349,0.0,0.7067137809187279,3947
22,348,0.0,0.6985815602836879,4147
23,347,0.0,0.6903914590747331,4347
24,346,0.0,0.6821428571428572,4547
25,345,0.0,0.6738351254480287,4747
26,344,0.0,0.6654676258992805,4947
27,343,0.0,0.6570397111913358,5147
28,342,0.0,0.6485507246376812,5347
29,341,0.0,0.64,5546
30,340,0.0,0.6313868613138686,5746
