Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.03151862464183381,0.025787965616045846
2,0.02586206896551724,0.020114942528735632
3,0.020172910662824207,0.01440922190201729
4,0.014450867052023121,0.008670520231213872
5,0.008695652173913044,0.002898550724637681
6,0.0029069767441860465,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
