Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.0,0.7139689578713969,0.06208425720620843
2,0.0,0.6755555555555556,0.05333333333333334
3,0.0,0.6481069042316259,0.044543429844097995
4,0.0,0.6227678571428571,0.03571428571428571
5,0.0,0.6017897091722595,0.03131991051454139
6,0.0,0.5829596412556054,0.026905829596412557
7,0.0,0.5662921348314607,0.02247191011235955
8,0.0,0.5495495495495496,0.02027027027027027
9,0.0,0.5327313769751693,0.01805869074492099
10,0.0,0.5158371040723982,0.01583710407239819
11,0.0,0.4988662131519274,0.013605442176870748
12,0.0,0.47954545454545455,0.011363636363636364
13,0.0,0.4601366742596811,0.009111617312072893
14,0.0,0.4406392694063927,0.0045662100456621
15,0.0,0.4233409610983982,0.0
16,0.0,0.40825688073394495,0.0
17,0.0,0.3931034482758621,0.0
18,0.0,0.3778801843317972,0.0
19,0.0,0.3625866050808314,0.0
20,0.0,0.35185185185185186,0.0
21,0.0,0.34106728538283065,0.0
22,0.0,0.3302325581395349,0.0
23,0.0,0.31934731934731936,0.0
24,0.0,0.308411214953271,0.0
25,0.0,0.297423887587822,0.0
26,0.0,0.2863849765258216,0.0
27,0.0,0.28,0.0
28,0.0,0.27358490566037735,0.0
29,0.0,0.26713947990543735,0.0
30,0.0,0.26066350710900477,0.0
