Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.9075907590759076,0.4521452145214521,0.033003300330033
2,0.7947019867549668,0.33774834437086093,0.0
3,0.584717607973422,0.2591362126245847,0.0
4,0.3933333333333333,0.19,0.0
5,0.2909698996655518,0.15384615384615385,0.0
6,0.23154362416107382,0.13087248322147652,0.0
7,0.18518518518518517,0.1111111111111111,0.0
8,0.13513513513513514,0.08783783783783784,0.0
9,0.11864406779661017,0.06779661016949153,0.0
10,0.1054421768707483,0.047619047619047616,0.0
11,0.08532423208191127,0.03754266211604096,0.0
12,0.07191780821917808,0.030821917808219176,0.0
13,0.06529209621993128,0.024054982817869417,0.0
14,0.06551724137931035,0.017241379310344827,0.0
15,0.05190311418685121,0.010380622837370242,0.0
16,0.041666666666666664,0.003472222222222222,0.0
17,0.03832752613240418,0.0,0.0
18,0.038461538461538464,0.0,0.0
19,0.028070175438596492,0.0,0.0
20,0.028169014084507043,0.0,0.0
21,0.028268551236749116,0.0,0.0
22,0.028368794326241134,0.0,0.0
23,0.017793594306049824,0.0,0.0
24,0.014285714285714285,0.0,0.0
25,0.014336917562724014,0.0,0.0
26,0.01079136690647482,0.0,0.0
27,0.007220216606498195,0.0,0.0
28,0.0036231884057971015,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
