THR,Frames,FPR,TPR,TTD
1,428,0.0,0.013201320132013201,12744
2,427,0.0,0.0,0
3,426,0.0,0.0,0
4,425,0.0,0.0,0
5,424,0.0,0.0,0
6,423,0.0,0.0,0
7,422,0.0,0.0,0
8,421,0.0,0.0,0
9,420,0.0,0.0,0
10,419,0.0,0.0,0
11,418,0.0,0.0,0
12,417,0.0,0.0,0
13,416,0.0,0.0,0
14,415,0.0,0.0,0
15,414,0.0,0.0,0
16,413,0.0,0.0,0
17,412,0.0,0.0,0
18,411,0.0,0.0,0
19,410,0.0,0.0,0
20,409,0.0,0.0,0
21,408,0.0,0.0,0
22,407,0.0,0.0,0
23,406,0.0,0.0,0
24,405,0.0,0.0,0
25,404,0.0,0.0,0
26,403,0.0,0.0,0
27,402,0.0,0.0,0
28,401,0.0,0.0,0
29,400,0.0,0.0,0
30,399,0.0,0.0,0
