THR,Frames,FPR,TPR,TTD
1,314,0.0,0.0,0
2,313,0.0,0.0,0
3,312,0.0,0.0,0
4,311,0.0,0.0,0
5,310,0.0,0.0,0
6,309,0.0,0.0,0
7,308,0.0,0.0,0
8,307,0.0,0.0,0
9,306,0.0,0.0,0
10,305,0.0,0.0,0
11,304,0.0,0.0,0
12,303,0.0,0.0,0
13,302,0.0,0.0,0
14,301,0.0,0.0,0
15,300,0.0,0.0,0
16,299,0.0,0.0,0
17,298,0.0,0.0,0
18,297,0.0,0.0,0
19,296,0.0,0.0,0
20,295,0.0,0.0,0
21,294,0.0,0.0,0
22,293,0.0,0.0,0
23,292,0.0,0.0,0
24,291,0.0,0.0,0
25,290,0.0,0.0,0
26,289,0.0,0.0,0
27,288,0.0,0.0,0
28,287,0.0,0.0,0
29,286,0.0,0.0,0
30,285,0.0,0.0,0
