TimeUS,mX,mY,mZ,obX,obY,ofX,ofY,rfD,gpSA,gpHA,gpVA,gpT,aT,ofT
 177193261, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 176994, 177193261, 0
 177195760, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 176994, 177195760, 0
 177198259, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 176994, 177198259, 0
 177200758, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 176994, 177200758, 0
 177203257, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 176994, 177203257, 0
 177205756, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 176994, 177205756, 0
 177208255, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 176994, 177208255, 0
 177210754, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 176994, 177210754, 0
 177213253, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 176994, 177213253, 0
 177215752, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 176994, 177215752, 0
 177218251, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 176994, 177218251, 0
 177220750, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 176994, 177220750, 0
 177223249, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 176994, 177223249, 0
 177225748, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 176994, 177225748, 0
 177228247, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 176994, 177228247, 0
 177230746, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177230746, 0
 177233245, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177233245, 0
 177235744, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177235744, 0
 177238243, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177238243, 0
 177240742, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177240742, 0
 177243241, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177243241, 0
 177245740, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177245740, 0
 177248239, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177248239, 0
 177250738, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177250738, 0
 177253237, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177253237, 0
 177255736, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177255736, 0
 177258235, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177258235, 0
 177260734, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177260734, 0
 177263233, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177263233, 0
 177265732, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177265732, 0
 177268231, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177268231, 0
 177270730, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177270730, 0
 177273229, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177273229, 0
 177275728, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177275728, 0
 177278227, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177278227, 0
 177280726, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177280726, 0
 177283225, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177283225, 0
 177285724, 215.1523, 73.6485, -538.5611, 0, 0, 0, 0, 0, 0.04, 0.3, 0.3, 177194, 177285724, 0
