TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
PSCN, 160271044, -0.2322343, -0.2322343, 0.02158063, 0.02158063, 0.02158063, 0, 2.644502E-05, 2.648252E-05
PSCN, 160371048, -0.2301109, -0.2301109, 0.02170522, 0.02170522, 0.02170522, 0, 2.8276E-05, 2.833E-05
PSCN, 160471089, -0.2274648, -0.2274648, 0.02244536, 0.02244536, 0.02244536, 0, 3.071007E-05, 3.077753E-05
PSCN, 160571087, -0.2247367, -0.2247367, 0.0228255, 0.0228255, 0.0228255, 0, 3.36004E-05, 3.367677E-05
PSCN, 160671103, -0.2217866, -0.2217866, 0.02359113, 0.02359113, 0.02359113, 0, 3.479862E-05, 3.418968E-05
PSCN, 160771097, -0.218905, -0.218905, 0.02399352, 0.02399352, 0.02399352, 0, 3.498719E-05, 3.481943E-05
PSCN, 160871106, -0.2159594, -0.2159594, 0.02409398, 0.02409398, 0.02409398, 0, 3.488358E-05, 3.512265E-05
PSCN, 160971074, -0.2131216, -0.2131216, 0.02493533, 0.02493533, 0.02493533, 0, 3.545333E-05, 3.552176E-05
PSCN, 161071063, -0.2089458, -0.2089458, 0.02678869, 0.02678869, 0.02678869, 0, 3.526827E-05, 3.523529E-05
PSCN, 161170995, -0.204489, -0.204489, 0.02894037, 0.02894037, 0.02894037, 0, 3.564193E-05, 3.586978E-05
PSCN, 161271049, -0.2005842, -0.2005842, 0.02921632, 0.02921632, 0.02921632, 0, 3.530851E-05, 3.585974E-05
PSCN, 161371260, -0.1970269, -0.1970269, 0.02910205, 0.02910205, 0.02910205, 0, 3.559771E-05, 3.624511E-05
PSCN, 161471232, -0.1931683, -0.1931683, 0.02968842, 0.02968842, 0.02968842, 0, 3.551393E-05, 3.602485E-05
PSCN, 161571020, -0.1894029, -0.1894029, 0.0305565, 0.0305565, 0.0305565, 0, 3.624134E-05, 3.555237E-05
PSCN, 161671049, -0.1856625, -0.1856625, 0.03137509, 0.03137509, 0.03137509, 0, 3.598622E-05, 3.584591E-05
PSCN, 161771076, -0.1820724, -0.1820724, 0.0312967, 0.0312967, 0.0312967, 0, 3.595465E-05, 3.667688E-05
PSCN, 161871035, -0.1790145, -0.1790145, 0.03069786, 0.03069786, 0.03069786, 0, 3.676873E-05, 3.653429E-05
PSCN, 161971119, -0.1762636, -0.1762636, 0.02970359, 0.02970359, 0.02970359, 0, 3.669651E-05, 3.727849E-05
PSCN, 162071001, -0.1742821, -0.1742821, 0.02822414, 0.02822414, 0.02822414, 0, 3.680687E-05, 3.700156E-05
PSCN, 162171101, -0.1725813, -0.1725813, 0.02710244, 0.02710244, 0.02710244, 0, 3.710628E-05, 3.710628E-05
PSCN, 162271024, -0.1714896, -0.1714896, 0.02494402, 0.02494402, 0.02494402, 0, 3.710526E-05, 3.710525E-05
PSCN, 162371022, -0.1705689, -0.1705689, 0.02275432, 0.02275432, 0.02275432, 0, 3.710273E-05, 3.710273E-05
PSCN, 162471147, -0.1704055, -0.1704055, 0.02010945, 0.02010945, 0.02010945, 0, 3.71067E-05, 3.710669E-05
PSCN, 162571022, -0.1704554, -0.1704554, 0.01490985, 0.01490985, 0.01490985, 0, 3.710771E-05, 3.710771E-05
PSCN, 162671224, -0.1716581, -0.1716581, 0.008923213, 0.008923213, 0.008923213, 0, 3.710344E-05, 3.710344E-05
PSCN, 162771024, -0.1734067, -0.1734067, 0.006584522, 0.006584522, 0.006584522, 0, 3.710253E-05, 3.710253E-05
PSCN, 162871222, -0.1747277, -0.1747277, 0.01250897, 0.01250897, 0.01250897, 0, 3.710311E-05, 3.710311E-05
PSCN, 162971105, -0.1757805, -0.1757805, -0.001547818, -0.001547818, -0.001547818, 0, 3.711105E-05, 3.711105E-05
PSCN, 163071061, -0.1765247, -0.1765247, 0.00349132, 0.00349132, 0.00349132, 0, 3.710406E-05, 3.710406E-05
PSCN, 163171002, -0.1770668, -0.1770668, 0.004009807, 0.004009807, 0.004009807, 0, 3.709709E-05, 3.709708E-05
PSCN, 163271043, -0.1757901, -0.1757901, 0.004924767, 0.004924767, 0.004924767, 0, 3.709034E-05, 3.709034E-05
PSCN, 163371068, -0.1740954, -0.1740954, 0.009326679, 0.009326679, 0.009326679, 0, 3.711256E-05, 3.711256E-05
PSCN, 163471267, -0.1716427, -0.1716427, 0.01218877, 0.01218877, 0.01218877, 0, 3.711024E-05, 3.711024E-05
PSCN, 163571108, -0.1688938, -0.1688938, 0.01266931, 0.01266931, 0.01266931, 0, 3.711103E-05, 3.711104E-05
PSCN, 163671086, -0.1677333, -0.1677333, 0.005339954, 0.005339954, 0.005339954, 0, 3.710578E-05, 3.710578E-05
PSCN, 163771057, -0.1670082, -0.1670082, 0.01297637, 0.01297637, 0.01297637, 0, 3.709841E-05, 3.709841E-05
PSCN, 163971082, -0.1694267, -0.1694267, -0.002206656, -0.002206656, -0.002206656, 0, 3.710147E-05, 3.710147E-05
PSCN, 164170987, -0.1697427, -0.1697427, 0.00291072, 0.00291072, 0.00291072, 0, 3.710754E-05, 3.710754E-05
PSCN, 164271153, -0.1703681, -0.1703681, -0.003089245, -0.003089245, -0.003089245, 0, 3.710011E-05, 3.710011E-05
PSCN, 164371038, -0.1710143, -0.1710143, 0.006958931, 0.006958931, 0.006958931, 0, 3.709178E-05, 3.709177E-05
PSCN, 164471220, -0.1730779, -0.1730779, 0.005591128, 0.005591128, 0.005591128, 0, 3.71272E-05, 3.71272E-05
PSCN, 164571113, -0.1751334, -0.1751334, 0.001045122, 0.001045122, 0.001045122, 0, 3.709783E-05, 3.709783E-05
PSCN, 164671150, -0.1773704, -0.1773704, 0.005493539, 0.005493539, 0.005493539, 0, 3.712186E-05, 3.712186E-05
PSCN, 164771117, -0.1794932, -0.1794932, -0.009782879, -0.009782879, -0.009782879, 0, 3.710981E-05, 3.710981E-05
PSCN, 164871031, -0.1815576, -0.1815576, -0.01207315, -0.01207315, -0.01207315, 0, 3.711736E-05, 3.711736E-05
PSCN, 164971110, -0.1834377, -0.1834377, -0.01350799, -0.01350799, -0.01350799, 0, 3.713015E-05, 3.713016E-05
PSCN, 165071022, -0.1845753, -0.1845753, -0.007206526, -0.007206526, -0.007206526, 0, 3.710746E-05, 3.710746E-05
PSCN, 165171025, -0.1853871, -0.1853871, -0.01565738, -0.01565738, -0.01565738, 0, 3.712593E-05, 3.712593E-05
PSCN, 165271011, -0.187452, -0.187452, -0.01389201, -0.01389201, -0.01389201, 0, 3.71274E-05, 3.71274E-05
PSCN, 165371044, -0.1895931, -0.1895931, -0.002061967, -0.002061967, -0.002061967, 0, 3.712539E-05, 3.712539E-05
PSCN, 165471148, -0.1904214, -0.1904214, -0.009365721, -0.009365721, -0.009365721, 0, 3.711932E-05, 3.711932E-05
PSCN, 165571217, -0.1909511, -0.1909511, -0.01292965, -0.01292965, -0.01292965, 0, 3.713143E-05, 3.713142E-05
PSCN, 165671071, -0.1913742, -0.1913742, -0.001473011, -0.001473011, -0.001473011, 0, 3.712018E-05, 3.712018E-05
PSCN, 165771114, -0.1918666, -0.1918666, -0.009465243, -0.009465243, -0.009465243, 0, 3.712704E-05, 3.712704E-05
PSCN, 165870933, -0.1918757, -0.1918757, -0.004260933, -0.004260933, -0.004260933, 0, 3.712336E-05, 3.712336E-05
PSCN, 165971050, -0.1919229, -0.1919229, -0.005751325, -0.005751325, -0.005751325, 0, 3.712148E-05, 3.712147E-05
PSCN, 166071100, -0.1926, -0.1926, -0.008479876, -0.008479876, -0.008479876, 0, 3.712421E-05, 3.712421E-05
PSCN, 166171115, -0.1935185, -0.1935185, -0.006063629, -0.006063629, -0.006063629, 0, 3.712875E-05, 3.712875E-05
PSCN, 166271095, -0.1953792, -0.1953792, -0.006865353, -0.006865353, -0.006865353, 0, 3.713617E-05, 3.713617E-05
PSCN, 166371117, -0.1973648, -0.1973648, -0.01158479, -0.01158479, -0.01158479, 0, 3.713314E-05, 3.713313E-05
PSCN, 166471239, -0.198293, -0.198293, -0.01345678, -0.01345678, -0.01345678, 0, 3.712144E-05, 3.712144E-05
PSCN, 166571040, -0.1990272, -0.1990272, -0.01035744, -0.01035744, -0.01035744, 0, 3.713855E-05, 3.713855E-05
PSCN, 166671106, -0.1994915, -0.1994915, -0.006939584, -0.006939584, -0.006939584, 0, 3.712941E-05, 3.712941E-05
PSCN, 166771012, -0.1999322, -0.1999322, -0.02037019, -0.02037019, -0.02037019, 0, 3.712492E-05, 3.712492E-05
