TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
 176506770, -0.37, -0.31, 1.72, 1.73, 275.21, 275.29, 0, 0.01, 3
 176508757, -0.37, -0.26, 1.72, 1.73, 275.21, 275.31, 0, 0.01, 3
 176511685, -0.37, -0.26, 1.72, 1.78, 275.21, 275.3, 0, 0.01, 3
 176513828, -0.38, -0.29, 1.72, 1.77, 275.21, 275.3, 0, 0.01, 3
 176516252, -0.38, -0.27, 1.72, 1.73, 275.21, 275.32, 0, 0.01, 3
 176519027, -0.38, -0.28, 1.72, 1.75, 275.21, 275.29, 0, 0.01, 3
 176528838, -0.38, -0.25, 1.72, 1.79, 275.21, 275.31, 0, 0.01, 3
 176531662, -0.38, -0.29, 1.72, 1.76, 275.21, 275.29, 0, 0.01, 3
 176536649, -0.38, -0.36, 1.72, 1.79, 275.21, 275.3, 0, 0.01, 3
 176538619, -0.38, -0.32, 1.72, 1.75, 275.21, 275.35, 0, 0.01, 3
 176541257, -0.38, -0.23, 1.72, 1.78, 275.21, 275.32, 0, 0.01, 3
 176544141, -0.38, -0.33, 1.72, 1.74, 275.21, 275.29, 0, 0.01, 3
 176546203, -0.38, -0.34, 1.72, 1.75, 275.21, 275.32, 0, 0.01, 3
 176549270, -0.38, -0.41, 1.72, 1.79, 275.21, 275.33, 0, 0.01, 3
 176551217, -0.38, -0.29, 1.72, 1.76, 275.21, 275.34, 0, 0.01, 3
 176553862, -0.38, -0.25, 1.72, 1.77, 275.21, 275.31, 0, 0.01, 3
 176556621, -0.38, -0.35, 1.72, 1.75, 275.21, 275.29, 0, 0.01, 3
 176558734, -0.38, -0.38, 1.72, 1.73, 275.21, 275.32, 0, 0.01, 3
 176561521, -0.38, -0.41, 1.72, 1.82, 275.21, 275.35, 0, 0.01, 3
 176563762, -0.38, -0.3, 1.72, 1.77, 275.21, 275.34, 0, 0.01, 3
 176566249, -0.39, -0.28, 1.72, 1.76, 275.21, 275.32, 0, 0.01, 3
 176569077, -0.39, -0.37, 1.72, 1.78, 275.21, 275.28, 0, 0.01, 3
 176571245, -0.39, -0.42, 1.72, 1.71, 275.21, 275.34, 0, 0.01, 3
 176574038, -0.39, -0.39, 1.72, 1.84, 275.21, 275.35, 0, 0.01, 3
 176581529, -0.39, -0.44, 1.71, 1.72, 275.21, 275.32, 0, 0.01, 3
 176583693, -0.39, -0.43, 1.71, 1.71, 275.21, 275.36, 0, 0.01, 3
 176587299, -0.39, -0.36, 1.71, 1.84, 275.21, 275.35, 0, 0.01, 3
 176588699, -0.39, -0.3, 1.71, 1.73, 275.21, 275.36, 0, 0.01, 3
 176591348, -0.4, -0.32, 1.71, 1.81, 275.21, 275.32, 0, 0.01, 3
 176596460, -0.39, -0.36, 1.71, 1.8, 275.21, 275.38, 0, 0.01, 3
 176601286, -0.39, -0.29, 1.71, 1.77, 275.21, 275.36, 0, 0.01, 3
 176607555, -0.39, -0.46, 1.71, 1.76, 275.21, 275.35, 0, 0.01, 3
 176608749, -0.39, -0.35, 1.71, 1.79, 275.21, 275.39, 0, 0.01, 3
 176611691, -0.39, -0.36, 1.71, 1.8, 275.21, 275.35, 0, 0.01, 3
 176613777, -0.39, -0.31, 1.71, 1.78, 275.21, 275.36, 0, 0.01, 3
 176616309, -0.39, -0.43, 1.71, 1.76, 275.21, 275.36, 0, 0.01, 3
 176619051, -0.39, -0.38, 1.71, 1.78, 275.21, 275.37, 0, 0.01, 3
 176621186, -0.39, -0.34, 1.71, 1.75, 275.21, 275.39, 0, 0.01, 3
