TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
PSCN, 319737846, -0.7160006, -0.7160006, -0.005472546, -0.005472546, -0.005472546, 0, 2.892105E-15, 2.892106E-15
PSCN, 319837892, -0.7148367, -0.7148367, 0.003283876, 0.003283876, 0.003283876, 0, 2.892413E-15, 2.892413E-15
PSCN, 319937917, -0.7134092, -0.7134092, -0.00827383, -0.00827383, -0.00827383, 0, 2.896186E-15, 2.896186E-15
PSCN, 320037848, -0.7117851, -0.7117851, 0.008997866, 0.008997866, 0.008997866, 0, 2.894015E-15, 2.894015E-15
PSCN, 320137850, -0.7121782, -0.7121782, 0.0005286193, 0.0005286193, 0.0005286193, 0, 2.894215E-15, 2.894215E-15
PSCN, 320237936, -0.7128206, -0.7128206, 0.004516883, 0.004516883, 0.004516883, 0, 2.894617E-15, 2.894617E-15
PSCN, 320337906, -0.7146268, -0.7146268, 2.149865E-05, 2.149865E-05, 2.149865E-05, 0, 2.895955E-15, 2.895955E-15
PSCN, 320438099, -0.7163743, -0.7163743, -0.006445887, -0.006445887, -0.006445887, 0, 2.895103E-15, 2.895103E-15
PSCN, 320537893, -0.7171188, -0.7171188, 0.003620543, 0.003620543, 0.003620543, 0, 2.894591E-15, 2.894591E-15
PSCN, 320637871, -0.7173231, -0.7173231, 0.009360565, 0.009360565, 0.009360565, 0, 2.894996E-15, 2.894996E-15
PSCN, 320737883, -0.716606, -0.716606, 0.005350019, 0.005350019, 0.005350019, 0, 2.894277E-15, 2.894277E-15
PSCN, 320837877, -0.7154711, -0.7154711, 0.005773013, 0.005773013, 0.005773013, 0, 2.893038E-15, 2.893038E-15
PSCN, 320937936, -0.7150412, -0.7150412, 0.0114313, 0.0114313, 0.0114313, 0, 2.893348E-15, 2.893347E-15
PSCN, 321037883, -0.7145624, -0.7145624, 0.01020726, 0.01020726, 0.01020726, 0, 2.893188E-15, 2.893188E-15
PSCN, 321137986, -0.7144849, -0.7144849, 0.006527414, 0.006527414, 0.006527414, 0, 2.894844E-15, 2.894844E-15
PSCN, 321237989, -0.714236, -0.714236, 0.00686397, 0.00686397, 0.00686397, 0, 2.894022E-15, 2.894022E-15
PSCN, 321338037, -0.7149436, -0.7149436, 0.01017959, 0.01017959, 0.01017959, 0, 2.894475E-15, 2.894475E-15
PSCN, 321438011, -0.7155349, -0.7155349, 0.008946074, 0.008946074, 0.008946074, 0, 2.893836E-15, 2.893837E-15
PSCN, 321537823, -0.7171346, -0.7171346, 0.009624057, 0.009624057, 0.009624057, 0, 2.893772E-15, 2.893772E-15
PSCN, 321637851, -0.7185896, -0.7185896, 0.01013647, 0.01013647, 0.01013647, 0, 2.892527E-15, 2.892527E-15
PSCN, 321737888, -0.7189668, -0.7189668, 0.004472633, 0.004472633, 0.004472633, 0, 2.893108E-15, 2.893108E-15
PSCN, 321837915, -0.7186774, -0.7186774, 0.009609742, 0.009609742, 0.009609742, 0, 2.893862E-15, 2.893862E-15
PSCN, 321937889, -0.7183329, -0.7183329, 0.01069057, 0.01069057, 0.01069057, 0, 2.891856E-15, 2.891857E-15
PSCN, 322037959, -0.7175757, -0.7175757, 0.01758721, 0.01758721, 0.01758721, 0, 2.893038E-15, 2.893038E-15
PSCN, 322137888, -0.7182754, -0.7182754, 0.01545516, 0.01545516, 0.01545516, 0, 2.89215E-15, 2.89215E-15
PSCN, 322237892, -0.7188621, -0.7188621, 0.01197874, 0.01197874, 0.01197874, 0, 2.891927E-15, 2.891927E-15
PSCN, 322337894, -0.7190549, -0.7190549, 0.01864542, 0.01864542, 0.01864542, 0, 2.891222E-15, 2.891221E-15
PSCN, 322437953, -0.718707, -0.718707, 0.01816386, 0.01816386, 0.01816386, 0, 2.891001E-15, 2.891001E-15
PSCN, 322537932, -0.7191432, -0.7191432, 0.01410857, 0.01410857, 0.01410857, 0, 2.892026E-15, 2.892026E-15
PSCN, 322637832, -0.7192035, -0.7192035, 0.01445202, 0.01445202, 0.01445202, 0, 2.892164E-15, 2.892164E-15
PSCN, 322737863, -0.7203923, -0.7203923, 0.02163558, 0.02163558, 0.02163558, 0, 2.891689E-15, 2.891689E-15
PSCN, 322837866, -0.7211584, -0.7211584, 0.02194321, 0.02194321, 0.02194321, 0, 2.892834E-15, 2.892834E-15
PSCN, 322937918, -0.7226812, -0.7226812, 0.02292847, 0.02292847, 0.02292847, 0, 2.893354E-15, 2.893354E-15
PSCN, 323037853, -0.7236318, -0.7236318, 0.01762623, 0.01762623, 0.01762623, 0, 2.892165E-15, 2.892165E-15
PSCN, 323137976, -0.7249574, -0.7249574, 0.01844635, 0.01844635, 0.01844635, 0, 2.892433E-15, 2.892433E-15
PSCN, 323237890, -0.7257171, -0.7257171, 0.01064342, 0.01064342, 0.01064342, 0, 2.893071E-15, 2.893071E-15
PSCN, 323337922, -0.7259933, -0.7259933, 0.01384359, 0.01384359, 0.01384359, 0, 2.893505E-15, 2.893505E-15
PSCN, 323438059, -0.7256423, -0.7256423, 0.01824344, 0.01824344, 0.01824344, 0, 2.892816E-15, 2.892816E-15
PSCN, 323537892, -0.7261906, -0.7261906, 0.02810874, 0.02810874, 0.02810874, 0, 2.892771E-15, 2.892771E-15
PSCN, 323637874, -0.7264861, -0.7264861, 0.02300216, 0.02300216, 0.02300216, 0, 2.89221E-15, 2.89221E-15
PSCN, 323737881, -0.7277769, -0.7277769, 0.01397861, 0.01397861, 0.01397861, 0, 2.892843E-15, 2.892843E-15
PSCN, 323837969, -0.7286755, -0.7286755, 0.01239078, 0.01239078, 0.01239078, 0, 2.892729E-15, 2.892729E-15
PSCN, 323937922, -0.7299603, -0.7299603, 0.01987449, 0.01987449, 0.01987449, 0, 2.893247E-15, 2.893247E-15
PSCN, 324037954, -0.7305977, -0.7305977, 0.02461903, 0.02461903, 0.02461903, 0, 2.893459E-15, 2.893459E-15
PSCN, 324137773, -0.7330703, -0.7330703, 0.01453823, 0.01453823, 0.01453823, 0, 2.892965E-15, 2.892965E-15
PSCN, 324237853, -0.7351596, -0.7351596, 0.03038958, 0.03038958, 0.03038958, 0, 2.892956E-15, 2.892956E-15
PSCN, 324337964, -0.7365034, -0.7365034, 0.0217531, 0.0217531, 0.0217531, 0, 2.892227E-15, 2.892227E-15
PSCN, 324437989, -0.7369045, -0.7369045, 0.01377074, 0.01377074, 0.01377074, 0, 2.892845E-15, 2.892845E-15
PSCN, 324537908, -0.7381594, -0.7381594, 0.01910939, 0.01910939, 0.01910939, 0, 2.892957E-15, 2.892957E-15
PSCN, 324637842, -0.739853, -0.739853, 0.01052717, 0.01052717, 0.01052717, 0, 2.892936E-15, 2.892936E-15
PSCN, 324737878, -0.7429653, -0.7429653, 0.01487544, 0.01487544, 0.01487544, 0, 2.892299E-15, 2.892299E-15
PSCN, 324837843, -0.7454763, -0.7454763, 0.01751271, 0.01751271, 0.01751271, 0, 2.89282E-15, 2.89282E-15
PSCN, 324937976, -0.7493674, -0.7493674, 0.01194862, 0.01194862, 0.01194862, 0, 2.892508E-15, 2.892508E-15
PSCN, 325037892, -0.7526091, -0.7526091, 0.02269192, 0.02269192, 0.02269192, 0, 2.892467E-15, 2.892467E-15
PSCN, 325137900, -0.7562221, -0.7562221, 0.006334273, 0.006334273, 0.006334273, 0, 2.891289E-15, 2.891289E-15
PSCN, 325237939, -0.7561346, -0.7589291, 0.01799306, 0.02078752, 0.01861525, -0.01805346, -0.01888198, -0.004732672
PSCN, 325338212, -0.7544535, -0.7611943, 0.01573551, 0.0224763, 0.008027314, -0.01578834, 0.008433597, -0.003079722
PSCN, 325438307, -0.7529833, -0.7619864, 0.01376122, 0.02276434, 0.02637042, -0.01380742, -0.007052731, 0.0009408934
PSCN, 325538383, -0.7516976, -0.7644659, 0.01203463, 0.02480294, 0.02920838, -0.01207504, 0.004521793, 0.006409025
PSCN, 325638259, -0.7505733, -0.7658495, 0.01052468, 0.02580097, 0.006208165, -0.01056002, 0.01105714, 0.008510316
