TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
 151078030, 0.36, 0.37, 2.59, 2.63, 277.33, 277.41, 0.01, 0.01, 3
 151079818, 0.36, 0.52, 2.59, 2.78, 277.33, 277.36, 0.01, 0.01, 3
 151082508, 0.36, 0.31, 2.59, 2.74, 277.33, 277.39, 0.01, 0.01, 3
 151085173, 0.36, 0.41, 2.6, 2.76, 277.33, 277.51, 0.01, 0.01, 3
 151087299, 0.37, 0.35, 2.6, 2.7, 277.33, 277.44, 0.01, 0.01, 3
 151090128, 0.36, 0.45, 2.6, 2.71, 277.33, 277.36, 0.01, 0.01, 3
 151092273, 0.36, 0.43, 2.6, 2.7, 277.33, 277.36, 0.01, 0.01, 3
 151097776, 0.37, 0.41, 2.61, 2.71, 277.33, 277.5, 0.01, 0.01, 3
 151099845, 0.37, 0.38, 2.61, 2.68, 277.33, 277.36, 0.01, 0.01, 3
 151107386, 0.37, 0.35, 2.62, 2.85, 277.33, 277.46, 0.01, 0.01, 3
 151110939, 0.37, 0.41, 2.62, 2.61, 277.33, 277.49, 0.01, 0.01, 3
 151115880, 0.36, 0.41, 2.62, 2.65, 277.33, 277.32, 0.01, 0.01, 3
 151117404, 0.37, 0.36, 2.63, 2.67, 277.33, 277.41, 0.01, 0.01, 3
 151124822, 0.37, 0.5, 2.63, 2.79, 277.33, 277.3, 0.01, 0.01, 3
 151127750, 0.36, 0.36, 2.63, 2.59, 277.33, 277.35, 0.01, 0.01, 3
 151132255, 0.37, 0.37, 2.64, 2.69, 277.33, 277.47, 0.01, 0.01, 3
 151135140, 0.37, 0.57, 2.64, 2.64, 277.33, 277.4, 0.01, 0.01, 3
 151144985, 0.36, 0.48, 2.65, 2.65, 277.33, 277.42, 0.01, 0.01, 3
 151147771, 0.36, 0.58, 2.65, 2.6, 277.33, 277.37, 0.01, 0.01, 3
 151152696, 0.36, 0.41, 2.65, 2.56, 277.33, 277.48, 0.01, 0.01, 3
 151154869, 0.36, 0.45, 2.65, 2.81, 277.33, 277.47, 0.01, 0.01, 3
 151162501, 0.35, 0.42, 2.66, 2.78, 277.33, 277.38, 0.01, 0.01, 3
 151172956, 0.34, 0.56, 2.66, 2.82, 277.33, 277.38, 0.01, 0.01, 3
 151174908, 0.34, 0.44, 2.66, 2.79, 277.33, 277.43, 0.01, 0.01, 3
 151177931, 0.34, 0.46, 2.66, 2.69, 277.33, 277.5, 0.01, 0.01, 3
 151179903, 0.33, 0.5, 2.66, 2.7, 277.33, 277.39, 0.01, 0.01, 3
 151182253, 0.33, 0.55, 2.66, 2.76, 277.33, 277.4, 0.01, 0.01, 3
 151185169, 0.33, 0.54, 2.66, 2.85, 277.33, 277.43, 0.01, 0.01, 3
 151187363, 0.33, 0.44, 2.66, 2.79, 277.33, 277.5, 0.01, 0.01, 3
 151194916, 0.33, 0.55, 2.66, 2.85, 277.33, 277.37, 0.01, 0.01, 3
 151197760, 0.33, 0.5, 2.66, 2.84, 277.33, 277.45, 0.01, 0.01, 3
 151202655, 0.33, 0.45, 2.66, 2.6, 277.33, 277.42, 0.01, 0.01, 3
 151204796, 0.33, 0.57, 2.66, 2.8, 277.33, 277.37, 0.01, 0.01, 3
 151215300, 0.33, 0.47, 2.67, 2.63, 277.33, 277.4, 0.01, 0.01, 3
 151217452, 0.33, 0.52, 2.67, 2.81, 277.33, 277.36, 0.01, 0.01, 3
