TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
 142058406, -0.55, -0.79, 3.95, 3.91, 276.44, 275.83, 0.01, 0.01, 3
 142060946, -0.54, -0.71, 3.95, 3.81, 276.44, 275.9, 0.01, 0.01, 3
 142063076, -0.54, -0.87, 3.95, 3.87, 276.44, 275.94, 0.01, 0.01, 3
 142065562, -0.54, -0.8, 3.95, 3.77, 276.44, 275.91, 0.01, 0.01, 3
 142068072, -0.54, -0.75, 3.96, 3.72, 276.44, 275.86, 0.01, 0.01, 3
 142070940, -0.54, -0.77, 3.96, 3.96, 276.44, 275.86, 0.01, 0.01, 3
 142073423, -0.54, -0.79, 3.96, 3.75, 276.44, 275.91, 0.01, 0.01, 3
 142075479, -0.54, -0.82, 3.96, 3.95, 276.44, 275.95, 0.01, 0.01, 3
 142078150, -0.54, -0.83, 3.97, 3.71, 276.44, 275.91, 0.01, 0.01, 3
 142080545, -0.54, -0.78, 3.97, 3.73, 276.44, 275.9, 0.01, 0.01, 3
 142083536, -0.54, -0.77, 3.97, 3.96, 276.44, 275.88, 0.01, 0.01, 3
 142086009, -0.54, -0.85, 3.97, 3.75, 276.44, 275.92, 0.01, 0.01, 3
 142088268, -0.53, -0.77, 3.97, 3.99, 276.44, 275.93, 0.01, 0.01, 3
 142090586, -0.53, -0.85, 3.98, 3.71, 276.44, 275.92, 0.01, 0.01, 3
 142096532, -0.53, -0.76, 3.98, 3.97, 276.44, 275.87, 0.01, 0.01, 3
 142098977, -0.53, -0.8, 3.99, 3.83, 276.44, 275.95, 0.01, 0.01, 3
 142105533, -0.53, -0.65, 3.99, 3.99, 276.44, 275.92, 0.01, 0.01, 3
 142108520, -0.53, -0.86, 3.99, 3.88, 276.44, 275.89, 0.01, 0.01, 3
 142113029, -0.53, -0.76, 4, 3.89, 276.44, 275.9, 0.01, 0.01, 3
 142115450, -0.53, -0.77, 4, 3.84, 276.44, 275.9, 0.01, 0.01, 3
 142118081, -0.53, -0.64, 4, 3.94, 276.44, 275.94, 0.01, 0.01, 3
 142121047, -0.53, -0.85, 4, 3.92, 276.44, 275.91, 0.01, 0.01, 3
 142128184, -0.53, -0.71, 4.01, 3.89, 276.44, 275.9, 0.01, 0.01, 3
 142130588, -0.52, -0.65, 4.01, 3.92, 276.44, 275.94, 0.01, 0.01, 3
 142136056, -0.52, -0.63, 4.01, 3.85, 276.44, 275.99, 0.01, 0.01, 3
 142138123, -0.52, -0.7, 4.01, 3.95, 276.44, 275.87, 0.01, 0.01, 3
 142140634, -0.52, -0.67, 4.01, 3.86, 276.44, 275.95, 0.01, 0.01, 3
 142143027, -0.52, -0.6, 4.01, 3.99, 276.44, 275.97, 0.01, 0.01, 3
 142145818, -0.51, -0.82, 4.01, 3.97, 276.44, 275.96, 0.01, 0.01, 3
 142148434, -0.51, -0.57, 4.01, 3.89, 276.44, 276.01, 0.01, 0.01, 3
 142150483, -0.51, -0.69, 4.02, 3.95, 276.44, 275.91, 0.01, 0.01, 3
 142153291, -0.51, -0.6, 4.02, 3.91, 276.44, 275.98, 0.01, 0.01, 3
 142155658, -0.51, -0.61, 4.02, 4.03, 276.44, 276.01, 0.01, 0.01, 3
