TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
PSCN, 237736504, 1.372964, 1.372964, 0.01848731, 0.01848731, 0.01848731, 0, -8.572248E-06, -8.572247E-06
PSCN, 237836519, 1.372651, 1.372651, 0.01829602, 0.01829602, 0.01829602, 0, -8.574171E-06, -8.574174E-06
PSCN, 237936456, 1.372032, 1.372032, 0.01793529, 0.01793529, 0.01793529, 0, -8.571812E-06, -8.571812E-06
PSCN, 238036492, 1.370761, 1.370761, 0.01688338, 0.01688338, 0.01688338, 0, -8.565748E-06, -8.565751E-06
PSCN, 238136425, 1.369995, 1.369995, 0.01639419, 0.01639419, 0.01639419, 0, -8.563576E-06, -8.563579E-06
PSCN, 238236480, 1.369565, 1.369565, 0.01635924, 0.01635924, 0.01635924, 0, -8.562459E-06, -8.562461E-06
PSCN, 238336419, 1.368833, 1.368833, 0.01573058, 0.01573058, 0.01573058, 0, -8.559437E-06, -8.559436E-06
PSCN, 238436580, 1.367431, 1.367431, 0.01563942, 0.01563942, 0.01563942, 0, -8.55385E-06, -8.55385E-06
PSCN, 238536471, 1.36656, 1.36656, 0.01525657, 0.01525657, 0.01525657, 0, -8.557534E-06, -8.557536E-06
PSCN, 238636613, 1.365968, 1.365968, 0.01484315, 0.01484315, 0.01484315, 0, -8.555176E-06, -8.555176E-06
PSCN, 238736517, 1.366124, 1.366124, 0.01560962, 0.01560962, 0.01560962, 0, -8.552618E-06, -8.552621E-06
PSCN, 238836498, 1.367014, 1.367014, 0.01646299, 0.01646299, 0.01646299, 0, -8.54846E-06, -8.548457E-06
PSCN, 238936628, 1.367426, 1.367426, 0.01658069, 0.01658069, 0.01658069, 0, -8.549119E-06, -8.549118E-06
PSCN, 239036546, 1.366999, 1.366999, 0.01617968, 0.01617968, 0.01617968, 0, -8.55115E-06, -8.551148E-06
PSCN, 239136491, 1.36616, 1.36616, 0.01588907, 0.01588907, 0.01588907, 0, -8.548527E-06, -8.548526E-06
PSCN, 239236511, 1.364494, 1.364494, 0.01485861, 0.01485861, 0.01485861, 0, -8.546806E-06, -8.546806E-06
PSCN, 239336740, 1.363099, 1.363099, 0.01433159, 0.01433159, 0.01433159, 0, -8.546413E-06, -8.546411E-06
PSCN, 239436443, 1.361721, 1.361721, 0.01368529, 0.01368529, 0.01368529, 0, -8.547824E-06, -8.547828E-06
PSCN, 239536455, 1.361116, 1.361116, 0.01338736, 0.01338736, 0.01338736, 0, -8.547669E-06, -8.547669E-06
PSCN, 239636561, 1.361223, 1.361223, 0.01380644, 0.01380644, 0.01380644, 0, -8.548092E-06, -8.548091E-06
PSCN, 239736454, 1.361017, 1.361017, 0.01397364, 0.01397364, 0.01397364, 0, -8.550295E-06, -8.550298E-06
PSCN, 239836442, 1.360188, 1.360188, 0.01332, 0.01332, 0.01332, 0, -8.547747E-06, -8.547751E-06
PSCN, 239936456, 1.360049, 1.360049, 0.01377193, 0.01377193, 0.01377193, 0, -8.545699E-06, -8.545697E-06
PSCN, 240036473, 1.360507, 1.360507, 0.01443871, 0.01443871, 0.01443871, 0, -8.548005E-06, -8.548005E-06
PSCN, 240136540, 1.361105, 1.361105, 0.01539936, 0.01539936, 0.01539936, 0, -8.548214E-06, -8.548216E-06
PSCN, 240236654, 1.361273, 1.361273, 0.01575212, 0.01575212, 0.01575212, 0, -8.544306E-06, -8.544306E-06
PSCN, 240336590, 1.361855, 1.361855, 0.01658374, 0.01658374, 0.01658374, 0, -8.541866E-06, -8.541864E-06
PSCN, 240436522, 1.362755, 1.362755, 0.01786754, 0.01786754, 0.01786754, 0, -8.543924E-06, -8.543927E-06
PSCN, 240536559, 1.363431, 1.363431, 0.01818997, 0.01818997, 0.01818997, 0, -8.541001E-06, -8.541001E-06
PSCN, 240636591, 1.363633, 1.363633, 0.01825693, 0.01825693, 0.01825693, 0, -8.5385E-06, -8.538496E-06
PSCN, 240736471, 1.36354, 1.36354, 0.01811952, 0.01811952, 0.01811952, 0, -8.53737E-06, -8.537376E-06
PSCN, 240836495, 1.36285, 1.36285, 0.01773328, 0.01773328, 0.01773328, 0, -8.535844E-06, -8.535843E-06
PSCN, 240936580, 1.361999, 1.361999, 0.01686214, 0.01686214, 0.01686214, 0, -8.528219E-06, -8.527312E-06
PSCN, 241036427, 1.360658, 1.360658, 0.01634778, 0.01634778, 0.01634778, 0, -8.490094E-06, -8.489186E-06
PSCN, 241136559, 1.359208, 1.359208, 0.01556045, 0.01556045, 0.01556045, 0, -8.45345E-06, -8.45254E-06
PSCN, 241236473, 1.357208, 1.357208, 0.01473767, 0.01473767, 0.01473767, 0, -8.414813E-06, -8.413906E-06
PSCN, 241336422, 1.354963, 1.354963, 0.01334659, 0.01334659, 0.01334659, 0, -8.375774E-06, -8.374861E-06
PSCN, 241436547, 1.351944, 1.351944, 0.01170267, 0.01170267, 0.01170267, 0, -8.336828E-06, -8.335919E-06
PSCN, 241536463, 1.349673, 1.349673, 0.01088094, 0.01088094, 0.01088094, 0, -8.296941E-06, -8.296035E-06
PSCN, 241636602, 1.347902, 1.347902, 0.01023431, 0.01023431, 0.01023431, 0, -8.257976E-06, -8.257068E-06
PSCN, 241736534, 1.346677, 1.346677, 0.009841564, 0.009841564, 0.009841564, 0, -8.222862E-06, -8.221953E-06
PSCN, 241836579, 1.345832, 1.345832, 0.01018599, 0.01018599, 0.01018599, 0, -8.188454E-06, -8.187551E-06
PSCN, 241936570, 1.345243, 1.345243, 0.0100132, 0.0100132, 0.0100132, 0, -8.146108E-06, -8.145205E-06
