Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.349862258953168,0.0
2,0.2955801104972376,0.0
3,0.2548476454293629,0.0
4,0.225,0.0
5,0.20055710306406685,0.0
6,0.18435754189944134,0.0
7,0.17086834733893558,0.0
8,0.15730337078651685,0.0
9,0.14366197183098592,0.0
10,0.13559322033898305,0.0
11,0.1274787535410765,0.0
12,0.11931818181818182,0.0
13,0.1111111111111111,0.0
14,0.10285714285714286,0.0
15,0.09455587392550144,0.0
16,0.08908045977011494,0.0
17,0.08357348703170028,0.0
18,0.07803468208092486,0.0
19,0.07246376811594203,0.0
20,0.06976744186046512,0.0
21,0.06705539358600583,0.0
22,0.06432748538011696,0.0
23,0.06158357771260997,0.0
24,0.058823529411764705,0.0
25,0.05604719764011799,0.0
26,0.05029585798816568,0.0
27,0.04451038575667656,0.0
28,0.03869047619047619,0.0
29,0.03283582089552239,0.0
30,0.02694610778443114,0.0
