TimeUS,gpSA,gpHA,gpVA
 230310336, 0.471, 1.514, 1.572
 230500609, 0.466, 1.514, 1.573
 230700616, 0.359, 1.514, 1.573
 230900604, 0.5420001, 1.515, 1.574
 231100626, 0.544, 1.515, 1.574
 231320583, 0.368, 1.516, 1.575
 231520607, 0.5, 1.516, 1.575
 231720601, 0.439, 1.517, 1.575
 231900622, 0.386, 1.517, 1.576
 232120592, 0.429, 1.518, 1.577
 232320604, 0.528, 1.519, 1.578
 232520597, 0.396, 1.52, 1.579
 232720597, 0.489, 1.521, 1.58
 232920606, 0.5330001, 1.522, 1.582
 233120594, 0.459, 1.522, 1.581
 233320632, 0.443, 1.522, 1.582
 233520584, 0.365, 1.523, 1.583
 233700644, 0.392, 1.524, 1.583
 233920593, 0.539, 1.524, 1.585
 234120618, 0.431, 1.525, 1.586
 234320640, 0.378, 1.526, 1.588
 234520606, 0.544, 1.527, 1.589
 234720648, 0.487, 1.527, 1.59
 234920626, 0.492, 1.527, 1.59
 235100643, 0.426, 1.528, 1.591
 235320590, 0.507, 1.528, 1.59
 235500630, 0.429, 1.528, 1.591
 235720633, 0.442, 1.528, 1.591
 235920602, 0.403, 1.529, 1.591
 236120634, 0.443, 1.529, 1.592
 236320636, 0.385, 1.528, 1.592
 236500630, 0.385, 1.528, 1.593
 236720622, 0.493, 1.527, 1.592
 236920665, 0.486, 1.526, 1.593
 237120618, 0.44, 1.526, 1.594
 237320619, 0.34, 1.525, 1.594
 237520615, 0.443, 1.524, 1.594
 237720635, 0.449, 1.523, 1.593
 237900618, 0.317, 1.523, 1.593
 238120627, 0.445, 1.522, 1.593
 238320618, 0.417, 1.521, 1.592
 238520634, 0.38, 1.521, 1.592
 238720641, 0.53, 1.521, 1.591
 238900665, 0.522, 1.521, 1.591
 239100657, 0.383, 1.521, 1.59
 239300639, 0.387, 1.521, 1.59
 239520595, 0.431, 1.521, 1.589
 239720576, 0.403, 1.52, 1.588
 239920608, 0.518, 1.52, 1.589
