TimeUS,gpSA,gpHA,gpVA
 93157127, 0.342, 1.471, 1.684
 93357113, 0.379, 1.471, 1.683
 93557113, 0.338, 1.472, 1.684
 93737099, 0.371, 1.472, 1.683
 93937112, 0.337, 1.472, 1.682
 94137117, 0.339, 1.471, 1.682
 94337116, 0.3, 1.47, 1.681
 94537108, 0.397, 1.469, 1.679
 94757154, 0.279, 1.467, 1.678
 94937177, 0.388, 1.466, 1.677
 95157143, 0.41, 1.466, 1.676
 95357107, 0.376, 1.465, 1.675
 95557135, 0.407, 1.464, 1.674
 95757111, 0.382, 1.464, 1.672
 95957155, 0.368, 1.463, 1.671
 96157125, 0.419, 1.463, 1.671
 96357120, 0.376, 1.462, 1.672
 96537137, 0.373, 1.461, 1.674
 96757125, 0.35, 1.465, 1.678
 96937132, 0.406, 1.472, 1.683
 97157127, 0.477, 1.481, 1.693
 97357120, 0.478, 1.49, 1.703
 97557120, 0.472, 1.496, 1.712
 97757125, 0.462, 1.5, 1.722
 97957268, 0.354, 1.501, 1.727
 98157248, 0.414, 1.503, 1.738
 98357162, 0.396, 1.506, 1.746
 98557112, 0.4, 1.509, 1.756
 98757136, 0.413, 1.51, 1.766
 98957140, 0.365, 1.507, 1.768
 99157135, 0.417, 1.507, 1.776
 99357119, 0.43, 1.507, 1.778
 99537117, 0.419, 1.505, 1.783
 99757146, 0.427, 1.505, 1.788
 99957156, 0.43, 1.505, 1.794
 100157176, 0.404, 1.506, 1.798
 100357121, 0.376, 1.507, 1.801
 100557115, 0.384, 1.507, 1.806
 100757137, 0.327, 1.504, 1.807
 100957172, 0.284, 1.499, 1.807
 101157119, 0.412, 1.498, 1.813
 101357131, 0.379, 1.5, 1.819
 101557142, 0.324, 1.498, 1.815
 101757136, 0.307, 1.486, 1.812
 101957174, 0.251, 1.472, 1.81
 102137167, 0.328, 1.465, 1.813
 102357253, 0.357, 1.463, 1.818
 102557134, 0.281, 1.462, 1.817
 102757128, 0.327, 1.451, 1.816
 102957131, 0.29, 1.449, 1.815
 103157113, 0.386, 1.444, 1.818
 103357147, 0.355, 1.445, 1.824
 103557126, 0.262, 1.436, 1.819
 103757159, 0.392, 1.434, 1.823
 103957148, 0.284, 1.434, 1.822
 104157135, 0.383, 1.433, 1.824
 104357152, 0.309, 1.427, 1.821
 104557109, 0.303, 1.422, 1.818
 104757123, 0.383, 1.418, 1.816
 104957134, 0.362, 1.414, 1.815
 105157149, 0.407, 1.411, 1.812
 105357150, 0.33, 1.406, 1.806
 105557178, 0.385, 1.403, 1.804
 105757114, 0.31, 1.4, 1.804
 105957143, 0.322, 1.394, 1.801
 106157170, 0.396, 1.392, 1.805
 106357312, 0.366, 1.391, 1.808
 106557300, 0.356, 1.39, 1.807
 106757158, 0.396, 1.39, 1.811
 106957192, 0.388, 1.39, 1.814
 107157158, 0.467, 1.394, 1.823
 107357324, 0.42, 1.399, 1.832
 107557181, 0.303, 1.398, 1.828
 107757175, 0.251, 1.388, 1.819
 107957195, 0.269, 1.376, 1.81
 108157172, 0.4, 1.374, 1.814
 108357171, 0.396, 1.375, 1.818
 108557170, 0.427, 1.377, 1.821
 108757180, 0.331, 1.375, 1.818
 108957184, 0.371, 1.374, 1.823
 109157307, 0.294, 1.375, 1.827
 109357178, 0.382, 1.377, 1.833
 109557175, 0.434, 1.378, 1.837
 109757157, 0.339, 1.38, 1.843
 109957183, 0.408, 1.383, 1.851
 110157177, 0.43, 1.387, 1.858
 110357177, 0.395, 1.392, 1.864
 110557305, 0.405, 1.395, 1.87
 110757307, 0.39, 1.399, 1.875
 110957321, 0.448, 1.404, 1.883
 111157181, 0.357, 1.407, 1.89
 111357183, 0.46, 1.413, 1.902
 111557181, 0.449, 1.417, 1.905
 111757185, 0.466, 1.42, 1.913
 111957172, 0.399, 1.423, 1.917
 112157196, 0.391, 1.426, 1.918
 112357174, 0.444, 1.423, 1.919
 112557204, 0.38, 1.419, 1.918
 112757316, 0.417, 1.421, 1.924
 112957168, 0.426, 1.421, 1.929
 113157164, 0.384, 1.42, 1.932
 113357277, 0.39, 1.419, 1.932
 113557264, 0.433, 1.419, 1.935
 113757303, 0.421, 1.419, 1.936
 113957294, 0.322, 1.412, 1.931
 114157255, 0.362, 1.405, 1.93
 114357276, 0.304, 1.399, 1.921
 114557403, 0.424, 1.396, 1.921
 114757388, 0.25, 1.391, 1.914
 114957406, 0.333, 1.387, 1.91
 115137266, 0.599, 1.391, 1.918
 115357262, 0.335, 1.39, 1.916
 115557248, 0.376, 1.388, 1.92
 115757263, 0.299, 1.384, 1.913
 115957296, 0.325, 1.378, 1.904
 116157284, 0.366, 1.375, 1.904
 116357425, 0.257, 1.368, 1.899
 116557271, 0.262, 1.357, 1.891
 116757268, 0.306, 1.346, 1.884
 116957287, 0.248, 1.338, 1.88
 117157268, 0.266, 1.33, 1.879
 117357274, 0.36, 1.324, 1.88
 117557260, 0.299, 1.318, 1.88
 117737247, 0.405, 1.316, 1.882
 117957294, 0.276, 1.314, 1.877
 118157403, 0.285, 1.314, 1.878
 118357249, 0.234, 1.31, 1.879
 118557252, 0.363, 1.307, 1.88
 118757251, 0.238, 1.304, 1.88
 118957417, 0.311, 1.297, 1.875
 119157386, 0.354, 1.293, 1.874
 119357269, 0.241, 1.289, 1.872
 119557265, 0.346, 1.283, 1.866
 119757263, 0.324, 1.277, 1.864
 119957427, 0.22, 1.271, 1.863
 120157271, 0.264, 1.264, 1.859
 120377561, 0.275, 1.262, 1.857
 120557255, 0.255, 1.258, 1.853
 120757273, 0.331, 1.253, 1.85
 120957289, 0.325, 1.247, 1.846
 121157265, 0.3, 1.244, 1.846
 121357255, 0.254, 1.242, 1.845
 121557291, 0.315, 1.238, 1.844
 121757404, 0.35, 1.236, 1.846
 121957338, 0.341, 1.232, 1.843
 122157282, 0.238, 1.227, 1.84
 122377558, 0.265, 1.222, 1.838
 122557266, 0.302, 1.216, 1.83
 122757281, 0.356, 1.214, 1.828
 122957277, 0.216, 1.21, 1.821
 123157417, 0.269, 1.204, 1.811
 123357384, 0.318, 1.2, 1.801
 123557403, 0.358, 1.197, 1.795
 123757285, 0.341, 1.194, 1.789
 123957291, 0.294, 1.192, 1.783
 124157285, 0.276, 1.188, 1.778
 124357278, 0.325, 1.185, 1.776
 124557267, 0.342, 1.183, 1.774
 124757276, 0.316, 1.181, 1.773
 124957291, 0.315, 1.178, 1.772
 125157256, 0.337, 1.177, 1.77
 125357396, 0.308, 1.174, 1.765
 125557277, 0.289, 1.172, 1.759
 125757257, 0.32, 1.17, 1.754
 125957289, 0.262, 1.169, 1.748
 126157275, 0.252, 1.167, 1.743
 126357282, 0.26, 1.164, 1.738
 126557269, 0.238, 1.161, 1.733
 126757271, 0.315, 1.159, 1.73
 126957274, 0.276, 1.157, 1.728
 127157407, 0.372, 1.156, 1.724
 127357396, 0.3, 1.156, 1.722
 127557391, 0.353, 1.155, 1.721
 127757254, 0.354, 1.155, 1.721
 127957264, 0.39, 1.154, 1.717
 128157253, 0.389, 1.154, 1.718
 128357248, 0.326, 1.154, 1.715
 128557264, 0.308, 1.154, 1.712
 128757276, 0.353, 1.154, 1.71
 128957424, 0.28, 1.153, 1.706
 129157286, 0.239, 1.152, 1.703
 129357267, 0.315, 1.151, 1.701
 129557273, 0.283, 1.149, 1.695
 129757246, 0.285, 1.147, 1.689
 129957285, 0.31, 1.144, 1.682
 130157253, 0.352, 1.143, 1.675
 130357272, 0.361, 1.142, 1.668
