THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,349,0.4326647564469914,0.32664756446991405,0.034383954154727794
2,348,0.3879310344827586,0.3074712643678161,0.028735632183908046
3,347,0.3688760806916426,0.29394812680115273,0.023054755043227664
4,346,0.3554913294797688,0.2832369942196532,0.017341040462427744
5,345,0.34492753623188405,0.27246376811594203,0.011594202898550725
6,344,0.33430232558139533,0.2616279069767442,0.005813953488372093
7,343,0.3236151603498542,0.25072886297376096,0.0
8,342,0.3128654970760234,0.23976608187134502,0.0
9,341,0.3020527859237537,0.2287390029325513,0.0
10,340,0.2911764705882353,0.21764705882352942,0.0
11,339,0.2831858407079646,0.20943952802359883,0.0
12,338,0.2781065088757396,0.20414201183431951,0.0
13,337,0.27299703264094954,0.20178041543026706,0.0
14,336,0.26785714285714285,0.19940476190476192,0.0
15,335,0.2626865671641791,0.19701492537313434,0.0
16,334,0.25748502994011974,0.19461077844311378,0.0
17,333,0.25225225225225223,0.1921921921921922,0.0
18,332,0.2469879518072289,0.1897590361445783,0.0
19,331,0.24169184290030213,0.18731117824773413,0.0
20,330,0.23636363636363636,0.18484848484848485,0.0
21,329,0.22796352583586627,0.17933130699088146,0.0
22,328,0.21951219512195122,0.17378048780487804,0.0
23,327,0.21100917431192662,0.16819571865443425,0.0
24,326,0.20245398773006135,0.16257668711656442,0.0
25,325,0.19384615384615383,0.15692307692307692,0.0
26,324,0.18518518518518517,0.15123456790123457,0.0
27,323,0.17647058823529413,0.14551083591331268,0.0
28,322,0.16770186335403728,0.13975155279503104,0.0
29,321,0.1588785046728972,0.13395638629283488,0.0
30,320,0.15,0.128125,0.0
