THR,Frames,FPR,TPR,TTD
1,190,0.1,1.0,124
2,189,0.0,1.0,124
3,188,0.0,0.9936708860759493,324
4,187,0.0,0.9872611464968153,525
5,186,0.0,0.9807692307692307,725
6,185,0.0,0.9741935483870968,925
7,184,0.0,0.9675324675324676,1125
8,183,0.0,0.9607843137254902,1325
9,182,0.0,0.9539473684210527,1525
10,181,0.0,0.9470198675496688,1725
11,180,0.0,0.94,1925
12,179,0.0,0.9328859060402684,2124
13,178,0.0,0.9256756756756757,2324
14,177,0.0,0.9183673469387755,2525
15,176,0.0,0.910958904109589,2725
16,175,0.0,0.903448275862069,2925
17,174,0.0,0.8958333333333334,3125
18,173,0.0,0.8881118881118881,3325
19,172,0.0,0.8802816901408451,3525
20,171,0.0,0.8723404255319149,3725
21,170,0.0,0.8642857142857143,3925
22,169,0.0,0.8561151079136691,4125
23,168,0.0,0.8478260869565217,4324
24,167,0.0,0.8394160583941606,4524
25,166,0.0,0.8308823529411765,4725
26,165,0.0,0.8222222222222222,4925
27,164,0.0,0.8134328358208955,5125
28,163,0.0,0.8045112781954887,5325
29,162,0.0,0.7954545454545454,5525
30,161,0.0,0.7862595419847328,5725
