THR,Frames,FPR,TPR,TTD
1,369,0.803030303030303,0.7458745874587459,147
2,368,0.7727272727272727,0.6986754966887417,147
3,367,0.7575757575757576,0.6710963455149501,147
4,366,0.7424242424242424,0.65,147
5,365,0.7272727272727273,0.6421404682274248,147
6,364,0.7121212121212122,0.6342281879194631,147
7,363,0.696969696969697,0.6296296296296297,147
8,362,0.6818181818181818,0.625,147
9,361,0.6666666666666666,0.6203389830508474,147
10,360,0.6515151515151515,0.6156462585034014,147
11,359,0.6363636363636364,0.6109215017064846,147
12,358,0.6212121212121212,0.6061643835616438,147
13,357,0.6060606060606061,0.6013745704467354,147
14,356,0.5909090909090909,0.596551724137931,147
15,355,0.5757575757575758,0.5916955017301038,147
16,354,0.5606060606060606,0.5868055555555556,147
17,353,0.5454545454545454,0.5818815331010453,147
18,352,0.5303030303030303,0.5769230769230769,147
19,351,0.5151515151515151,0.5719298245614035,147
20,350,0.5,0.5669014084507042,147
21,349,0.48484848484848486,0.5618374558303887,147
22,348,0.4696969696969697,0.5567375886524822,147
23,347,0.45454545454545453,0.5516014234875445,147
24,346,0.4393939393939394,0.5428571428571428,147
25,345,0.42424242424242425,0.5340501792114696,147
26,344,0.4090909090909091,0.5251798561151079,147
27,343,0.3939393939393939,0.516245487364621,147
28,342,0.3787878787878788,0.5072463768115942,147
29,341,0.36363636363636365,0.49818181818181817,147
30,340,0.3484848484848485,0.48905109489051096,147
