THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,1200,0.8875,0.7016666666666667,0.76
2,1199,0.8515429524603837,0.6497080900750626,0.6972477064220184
3,1198,0.8397328881469115,0.6160267111853088,0.6769616026711185
4,1197,0.8320802005012531,0.5847953216374269,0.6641604010025063
5,1196,0.8269230769230769,0.5593645484949833,0.6546822742474916
6,1195,0.8225941422594142,0.5347280334728034,0.6460251046025105
7,1194,0.8190954773869347,0.5117252931323283,0.6373534338358459
8,1193,0.815590947191953,0.4911986588432523,0.6303436714165969
9,1192,0.8120805369127517,0.47231543624161076,0.6233221476510067
10,1191,0.8085642317380353,0.45591939546599497,0.6162888329135181
11,1190,0.8050420168067227,0.4403361344537815,0.6092436974789915
12,1189,0.8015138772077376,0.4255677039529016,0.6021867115222876
13,1188,0.797979797979798,0.4107744107744108,0.5951178451178452
14,1187,0.7944397641112048,0.3959561920808762,0.5880370682392586
15,1186,0.790893760539629,0.38195615514333897,0.5809443507588533
16,1185,0.7873417721518987,0.3687763713080169,0.5738396624472574
17,1184,0.7837837837837838,0.35557432432432434,0.566722972972973
18,1183,0.7802197802197802,0.3431952662721893,0.5595942519019442
19,1182,0.7766497461928934,0.3316412859560068,0.5524534686971235
20,1181,0.77307366638442,0.32006773920406434,0.5469940728196444
21,1180,0.7694915254237288,0.3093220338983051,0.5415254237288135
22,1179,0.7659033078880407,0.29940627650551316,0.536047497879559
23,1178,0.7623089983022071,0.2894736842105263,0.530560271646859
24,1177,0.7587085811384877,0.2803738317757009,0.5250637213254036
25,1176,0.7551020408163265,0.272108843537415,0.5195578231292517
26,1175,0.7514893617021277,0.26382978723404255,0.5140425531914894
27,1174,0.747870528109029,0.2555366269165247,0.5085178875638842
28,1173,0.7450980392156863,0.24722932651321397,0.5021312872975278
29,1172,0.742320819112628,0.23890784982935154,0.49573378839590443
30,1171,0.7395388556789069,0.2322801024765158,0.4893253629376601
