Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.016666666666666666,0.7444444444444445
2,0.00558659217877095,0.7262569832402235
3,0.0,0.7078651685393258
4,0.0,0.6892655367231638
5,0.0,0.6704545454545454
6,0.0,0.6571428571428571
7,0.0,0.6436781609195402
8,0.0,0.6416184971098265
9,0.0,0.6395348837209303
10,0.0,0.6374269005847953
11,0.0,0.6352941176470588
12,0.0,0.6331360946745562
13,0.0,0.6309523809523809
14,0.0,0.6287425149700598
15,0.0,0.6265060240963856
16,0.0,0.6242424242424243
17,0.0,0.6219512195121951
18,0.0,0.6134969325153374
19,0.0,0.6049382716049383
20,0.0,0.5962732919254659
21,0.0,0.5875
22,0.0,0.5786163522012578
23,0.0,0.569620253164557
24,0.0,0.5605095541401274
25,0.0,0.5512820512820513
26,0.0,0.5419354838709678
27,0.0,0.5324675324675324
28,0.0,0.5228758169934641
29,0.0,0.5131578947368421
30,0.0,0.5033112582781457
