Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.4214876033057851,0.0
2,0.3839779005524862,0.0
3,0.3601108033240997,0.0
4,0.3388888888888889,0.0
5,0.3231197771587744,0.0
6,0.30726256983240224,0.0
7,0.2913165266106443,0.0
8,0.2752808988764045,0.0
9,0.2619718309859155,0.0
10,0.24858757062146894,0.0
11,0.23512747875354106,0.0
12,0.2215909090909091,0.0
13,0.20797720797720798,0.0
14,0.19428571428571428,0.0
15,0.1833810888252149,0.0
16,0.1724137931034483,0.0
17,0.1642651296829971,0.0
18,0.15895953757225434,0.0
19,0.1536231884057971,0.0
20,0.14825581395348839,0.0
21,0.14285714285714285,0.0
22,0.13742690058479531,0.0
23,0.13196480938416422,0.0
24,0.1264705882352941,0.0
25,0.12094395280235988,0.0
26,0.11538461538461539,0.0
27,0.10979228486646884,0.0
28,0.10416666666666667,0.0
29,0.0955223880597015,0.0
30,0.08682634730538923,0.0
