Threshold,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR)
1,0.031746031746031744,0.9362745098039216,0.0,0.0
2,0.023809523809523808,0.9310344827586207,0.0,0.0
3,0.015873015873015872,0.9257425742574258,0.0,0.0
4,0.007936507936507936,0.9203980099502488,0.0,0.0
5,0.0,0.915,0.0,0.0
6,0.0,0.9095477386934674,0.0,0.0
7,0.0,0.9040404040404041,0.0,0.0
8,0.0,0.8984771573604061,0.0,0.0
9,0.0,0.8928571428571429,0.0,0.0
10,0.0,0.8871794871794871,0.0,0.0
11,0.0,0.8814432989690721,0.0,0.0
12,0.0,0.8756476683937824,0.0,0.0
13,0.0,0.8697916666666666,0.0,0.0
14,0.0,0.8638743455497382,0.0,0.0
15,0.0,0.8578947368421053,0.0,0.0
16,0.0,0.8518518518518519,0.0,0.0
17,0.0,0.8457446808510638,0.0,0.0
18,0.0,0.839572192513369,0.0,0.0
19,0.0,0.8333333333333334,0.0,0.0
20,0.0,0.827027027027027,0.0,0.0
21,0.0,0.8206521739130435,0.0,0.0
22,0.0,0.8142076502732241,0.0,0.0
23,0.0,0.8076923076923077,0.0,0.0
24,0.0,0.8011049723756906,0.0,0.0
25,0.0,0.7944444444444444,0.0,0.0
26,0.0,0.7877094972067039,0.0,0.0
27,0.0,0.7808988764044944,0.0,0.0
28,0.0,0.7740112994350282,0.0,0.0
29,0.0,0.7670454545454546,0.0,0.0
30,0.0,0.76,0.0,0.0
