Threshold,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR)
1,0.032,0.3927392739273927,0.0,0.0462046204620462
2,0.024,0.38079470198675497,0.0,0.039735099337748346
3,0.016,0.3687707641196013,0.0,0.03322259136212625
4,0.008,0.3566666666666667,0.0,0.02666666666666667
5,0.0,0.34448160535117056,0.0,0.020066889632107024
6,0.0,0.33221476510067116,0.0,0.013422818791946308
7,0.0,0.31986531986531985,0.0,0.006734006734006734
8,0.0,0.30743243243243246,0.0,0.0
9,0.0,0.29491525423728815,0.0,0.0
10,0.0,0.282312925170068,0.0,0.0
11,0.0,0.2696245733788396,0.0,0.0
12,0.0,0.2568493150684932,0.0,0.0
13,0.0,0.24398625429553264,0.0,0.0
14,0.0,0.23103448275862068,0.0,0.0
15,0.0,0.2179930795847751,0.0,0.0
16,0.0,0.2048611111111111,0.0,0.0
17,0.0,0.1916376306620209,0.0,0.0
18,0.0,0.17832167832167833,0.0,0.0
19,0.0,0.1649122807017544,0.0,0.0
20,0.0,0.15140845070422534,0.0,0.0
21,0.0,0.13780918727915195,0.0,0.0
22,0.0,0.12411347517730496,0.0,0.0
23,0.0,0.11387900355871886,0.0,0.0
24,0.0,0.10357142857142858,0.0,0.0
25,0.0,0.0967741935483871,0.0,0.0
26,0.0,0.09352517985611511,0.0,0.0
27,0.0,0.09025270758122744,0.0,0.0
28,0.0,0.08695652173913043,0.0,0.0
29,0.0,0.08363636363636363,0.0,0.0
30,0.0,0.08029197080291971,0.0,0.0
