Threshold,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR)
1,0.0,0.0392156862745098,1.0,0.12745098039215685
2,0.0,0.019801980198019802,0.9814814814814815,0.09900990099009901
3,0.0,0.0,0.9629629629629629,0.07
4,0.0,0.0,0.9444444444444444,0.04040404040404041
5,0.0,0.0,0.9259259259259259,0.030612244897959183
6,0.0,0.0,0.9074074074074074,0.020618556701030927
7,0.0,0.0,0.8888888888888888,0.010416666666666666
8,0.0,0.0,0.8703703703703703,0.0
9,0.0,0.0,0.8518518518518519,0.0
10,0.0,0.0,0.8333333333333334,0.0
11,0.0,0.0,0.8148148148148148,0.0
12,0.0,0.0,0.7962962962962963,0.0
13,0.0,0.0,0.7777777777777778,0.0
14,0.0,0.0,0.7592592592592593,0.0
15,0.0,0.0,0.7222222222222222,0.0
16,0.0,0.0,0.6851851851851852,0.0
17,0.0,0.0,0.6481481481481481,0.0
18,0.0,0.0,0.6111111111111112,0.0
19,0.0,0.0,0.5740740740740741,0.0
20,0.0,0.0,0.5370370370370371,0.0
21,0.0,0.0,0.5,0.0
22,0.0,0.0,0.46296296296296297,0.0
23,0.0,0.0,0.42592592592592593,0.0
24,0.0,0.0,0.3888888888888889,0.0
25,0.0,0.0,0.35185185185185186,0.0
26,0.0,0.0,0.3148148148148148,0.0
27,0.0,0.0,0.2777777777777778,0.0
28,0.0,0.0,0.24074074074074073,0.0
29,0.0,0.0,0.2037037037037037,0.0
30,0.0,0.0,0.16666666666666666,0.0
