Threshold,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR)
1,0.009009009009009009,0.0,0.23423423423423423,0.6847290640394089
2,0.0,0.0,0.1981981981981982,0.6782178217821783
3,0.0,0.0,0.16216216216216217,0.6716417910447762
4,0.0,0.0,0.12612612612612611,0.665
5,0.0,0.0,0.0990990990990991,0.6582914572864321
6,0.0,0.0,0.08108108108108109,0.6515151515151515
7,0.0,0.0,0.06306306306306306,0.6446700507614214
8,0.0,0.0,0.05405405405405406,0.6326530612244898
9,0.0,0.0,0.04504504504504504,0.6205128205128205
10,0.0,0.0,0.036036036036036036,0.6082474226804123
11,0.0,0.0,0.02702702702702703,0.5958549222797928
12,0.0,0.0,0.018018018018018018,0.5833333333333334
13,0.0,0.0,0.009009009009009009,0.5759162303664922
14,0.0,0.0,0.0,0.5684210526315789
15,0.0,0.0,0.0,0.5608465608465608
16,0.0,0.0,0.0,0.5531914893617021
17,0.0,0.0,0.0,0.5454545454545454
18,0.0,0.0,0.0,0.5376344086021505
19,0.0,0.0,0.0,0.5297297297297298
20,0.0,0.0,0.0,0.5217391304347826
21,0.0,0.0,0.0,0.5136612021857924
22,0.0,0.0,0.0,0.5054945054945055
23,0.0,0.0,0.0,0.4972375690607735
24,0.0,0.0,0.0,0.4888888888888889
25,0.0,0.0,0.0,0.48044692737430167
26,0.0,0.0,0.0,0.47191011235955055
27,0.0,0.0,0.0,0.4632768361581921
28,0.0,0.0,0.0,0.45454545454545453
29,0.0,0.0,0.0,0.44571428571428573
30,0.0,0.0,0.0,0.4367816091954023
