Threshold,GPSOF(FPR),GPSOF(TPR),GPSMAG(FPR),GPSMAG(TPR)
1,0.009009009009009009,0.18151815181518152,0.23423423423423423,0.264026402640264
2,0.0,0.17218543046357615,0.1981981981981982,0.25165562913907286
3,0.0,0.16279069767441862,0.16216216216216217,0.23920265780730898
4,0.0,0.15333333333333332,0.12612612612612611,0.22666666666666666
5,0.0,0.14381270903010032,0.0990990990990991,0.2140468227424749
6,0.0,0.1342281879194631,0.08108108108108109,0.20134228187919462
7,0.0,0.12457912457912458,0.06306306306306306,0.18855218855218855
8,0.0,0.11486486486486487,0.05405405405405406,0.17229729729729729
9,0.0,0.10508474576271186,0.04504504504504504,0.15593220338983052
10,0.0,0.09523809523809523,0.036036036036036036,0.13945578231292516
11,0.0,0.08532423208191127,0.02702702702702703,0.12286689419795221
12,0.0,0.07534246575342465,0.018018018018018018,0.10616438356164383
13,0.0,0.06529209621993128,0.009009009009009009,0.08934707903780069
14,0.0,0.05517241379310345,0.0,0.07241379310344828
15,0.0,0.04498269896193772,0.0,0.05536332179930796
16,0.0,0.034722222222222224,0.0,0.041666666666666664
17,0.0,0.027874564459930314,0.0,0.0313588850174216
18,0.0,0.024475524475524476,0.0,0.024475524475524476
19,0.0,0.021052631578947368,0.0,0.021052631578947368
20,0.0,0.017605633802816902,0.0,0.017605633802816902
21,0.0,0.014134275618374558,0.0,0.014134275618374558
22,0.0,0.010638297872340425,0.0,0.010638297872340425
23,0.0,0.0071174377224199285,0.0,0.0071174377224199285
24,0.0,0.0035714285714285713,0.0,0.0035714285714285713
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
