Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.0,0.0,0.17824074074074073
2,0.0,0.0,0.10904872389791183
3,0.0,0.0,0.06976744186046512
4,0.0,0.0,0.046620046620046623
5,0.0,0.0,0.028037383177570093
6,0.0,0.0,0.01873536299765808
7,0.0,0.0,0.011737089201877934
8,0.0,0.0,0.007058823529411765
9,0.0,0.0,0.0023584905660377358
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
