Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.0,0.1525,0.6725
2,0.0,0.058381984987489574,0.6321934945788157
3,0.0,0.038397328881469114,0.6010016694490818
4,0.0,0.031746031746031744,0.5714285714285714
5,0.0,0.027591973244147156,0.5476588628762542
6,0.0,0.023430962343096235,0.5246861924686193
7,0.0,0.020100502512562814,0.5033500837520938
8,0.0,0.01760268231349539,0.4844928751047779
9,0.0,0.015100671140939598,0.4672818791946309
10,0.0,0.012594458438287154,0.45256087321578503
11,0.0,0.010924369747899159,0.43781512605042017
12,0.0,0.009251471825063078,0.4238856181665265
13,0.0,0.007575757575757576,0.4099326599326599
14,0.0,0.005897219882055603,0.3959561920808762
15,0.0,0.00505902192242833,0.38195615514333897
16,0.0,0.004219409282700422,0.3687763713080169
17,0.0,0.0033783783783783786,0.35557432432432434
18,0.0,0.00253592561284869,0.3431952662721893
19,0.0,0.001692047377326565,0.3316412859560068
20,0.0,0.000846740050804403,0.32006773920406434
21,0.0,0.0,0.3093220338983051
22,0.0,0.0,0.29940627650551316
23,0.0,0.0,0.2894736842105263
24,0.0,0.0,0.2803738317757009
25,0.0,0.0,0.272108843537415
26,0.0,0.0,0.26382978723404255
27,0.0,0.0,0.2555366269165247
28,0.0,0.0,0.24722932651321397
29,0.0,0.0,0.23890784982935154
30,0.0,0.0,0.2322801024765158
