Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.0,0.023148148148148147,0.31712962962962965
2,0.0,0.0069605568445475635,0.2459396751740139
3,0.0,0.0,0.2069767441860465
4,0.0,0.0,0.17715617715617715
5,0.0,0.0,0.14953271028037382
6,0.0,0.0,0.12646370023419204
7,0.0,0.0,0.107981220657277
8,0.0,0.0,0.09647058823529411
9,0.0,0.0,0.08490566037735849
10,0.0,0.0,0.07328605200945626
11,0.0,0.0,0.06398104265402843
12,0.0,0.0,0.057007125890736345
13,0.0,0.0,0.05
14,0.0,0.0,0.045346062052505964
15,0.0,0.0,0.04066985645933014
16,0.0,0.0,0.03597122302158273
17,0.0,0.0,0.03125
18,0.0,0.0,0.02891566265060241
19,0.0,0.0,0.026570048309178744
20,0.0,0.0,0.024213075060532687
21,0.0,0.0,0.021844660194174758
22,0.0,0.0,0.019464720194647202
23,0.0,0.0,0.01707317073170732
24,0.0,0.0,0.014669926650366748
25,0.0,0.0,0.012254901960784314
26,0.0,0.0,0.009828009828009828
27,0.0,0.0,0.007389162561576354
28,0.0,0.0,0.0049382716049382715
29,0.0,0.0,0.0024752475247524753
30,0.0,0.0,0.0
