Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.05530642750373692,0.0014947683109118087,0.0
2,0.02694610778443114,0.0,0.0
3,0.022488755622188907,0.0,0.0
4,0.01951951951951952,0.0,0.0
5,0.016541353383458645,0.0,0.0
6,0.01355421686746988,0.0,0.0
7,0.010558069381598794,0.0,0.0
8,0.006042296072507553,0.0,0.0
9,0.0030257186081694403,0.0,0.0
10,0.0030303030303030303,0.0,0.0
11,0.0015174506828528073,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
