Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.35276532137518685,0.3602391629297459
2,0.20508982035928144,0.35179640718562877
3,0.1469265367316342,0.34332833583208394
4,0.11561561561561562,0.33483483483483484
5,0.09924812030075188,0.3263157894736842
6,0.08885542168674698,0.3177710843373494
7,0.07993966817496229,0.3092006033182504
8,0.07250755287009064,0.30060422960725075
9,0.06505295007564296,0.291981845688351
10,0.05909090909090909,0.2833333333333333
11,0.054628224582701064,0.2746585735963581
12,0.05015197568389058,0.26595744680851063
13,0.045662100456621,0.2572298325722983
14,0.042682926829268296,0.24847560975609756
15,0.03969465648854962,0.24122137404580152
16,0.0382262996941896,0.23394495412844038
17,0.036753445635528334,0.22664624808575803
18,0.0352760736196319,0.21932515337423314
19,0.03379416282642089,0.2119815668202765
20,0.03230769230769231,0.20461538461538462
21,0.030816640986132512,0.19722650231124808
22,0.029320987654320986,0.18981481481481483
23,0.027820710973724884,0.18238021638330756
24,0.02631578947368421,0.1780185758513932
25,0.024806201550387597,0.17364341085271318
26,0.023291925465838508,0.17080745341614906
27,0.02177293934681182,0.16796267496111975
28,0.020249221183800622,0.16510903426791276
29,0.0187207488299532,0.1622464898595944
30,0.0171875,0.159375
