Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.145,0.0008333333333333334,0.0
2,0.09674728940783987,0.0,0.0
3,0.07429048414023372,0.0,0.0
4,0.059314954051796154,0.0,0.0
5,0.051839464882943144,0.0,0.0
6,0.045188284518828455,0.0,0.0
7,0.03936348408710218,0.0,0.0
8,0.03436714165968147,0.0,0.0
9,0.03104026845637584,0.0,0.0
10,0.028547439126784216,0.0,0.0
11,0.02689075630252101,0.0,0.0
12,0.025231286795626577,0.0,0.0
13,0.02356902356902357,0.0,0.0
14,0.02190395956192081,0.0,0.0
15,0.02023608768971332,0.0,0.0
16,0.018565400843881856,0.0,0.0
17,0.016891891891891893,0.0,0.0
18,0.015215553677092139,0.0,0.0
19,0.01353637901861252,0.0,0.0
20,0.011854360711261643,0.0,0.0
21,0.010169491525423728,0.0,0.0
22,0.008481764206955046,0.0,0.0
23,0.005942275042444821,0.0,0.0
24,0.004248088360237893,0.0,0.0
25,0.004251700680272109,0.0,0.0
26,0.003404255319148936,0.0,0.0
27,0.0034071550255536627,0.0,0.0
28,0.0025575447570332483,0.0,0.0
29,0.002559726962457338,0.0,0.0
30,0.0017079419299743809,0.0,0.0
