Threshold,ACCOF,GPSOF,ACCGPS
1,0.0,0.3514018691588785,0.2803738317757009
2,0.0,0.32397003745318353,0.2696629213483146
3,0.0,0.31144465290806755,0.2589118198874296
4,0.0,0.3026315789473684,0.24812030075187969
5,0.0,0.2937853107344633,0.23728813559322035
6,0.0,0.2849056603773585,0.22641509433962265
7,0.0,0.277882797731569,0.21550094517958412
8,0.0,0.2708333333333333,0.20454545454545456
9,0.0,0.2675521821631879,0.1935483870967742
10,0.0,0.26425855513307983,0.18250950570342206
11,0.0,0.26095238095238094,0.17142857142857143
12,0.0,0.25763358778625955,0.16030534351145037
13,0.0,0.25430210325047803,0.15296367112810708
14,0.0,0.2509578544061303,0.14559386973180077
15,0.0,0.2476007677543186,0.1381957773512476
16,0.0,0.24423076923076922,0.13076923076923078
17,0.0,0.24084778420038536,0.1233140655105973
18,0.0,0.23745173745173745,0.11583011583011583
19,0.0,0.23404255319148937,0.10831721470019343
20,0.0,0.23062015503875968,0.10077519379844961
21,0.0,0.229126213592233,0.09320388349514563
22,0.0,0.22762645914396887,0.08560311284046693
23,0.0,0.22612085769980506,0.07797270955165692
24,0.0,0.224609375,0.068359375
25,0.0,0.22309197651663404,0.05870841487279843
26,0.0,0.22156862745098038,0.049019607843137254
27,0.0,0.2200392927308448,0.03929273084479371
28,0.0,0.21850393700787402,0.031496062992125984
29,0.0,0.21696252465483234,0.023668639053254437
