Threshold,ACCOF,GPSOF,ACCGPS
1,0.022429906542056073,0.9233644859813084,0.2822429906542056
2,0.0056179775280898875,0.9044943820224719,0.27153558052434457
3,0.001876172607879925,0.8874296435272045,0.2607879924953096
4,0.0,0.8721804511278195,0.25
5,0.0,0.8587570621468926,0.2391713747645951
6,0.0,0.8471698113207548,0.22830188679245284
7,0.0,0.8355387523629489,0.21739130434782608
8,0.0,0.8238636363636364,0.20643939393939395
9,0.0,0.8178368121442126,0.1954459203036053
10,0.0,0.811787072243346,0.1844106463878327
11,0.0,0.8057142857142857,0.17333333333333334
12,0.0,0.799618320610687,0.16221374045801526
13,0.0,0.7934990439770554,0.15296367112810708
14,0.0,0.7873563218390804,0.14559386973180077
15,0.0,0.781190019193858,0.1381957773512476
16,0.0,0.7730769230769231,0.13076923076923078
17,0.0,0.7649325626204239,0.1233140655105973
18,0.0,0.7567567567567568,0.11583011583011583
19,0.0,0.7485493230174082,0.10831721470019343
20,0.0,0.7403100775193798,0.10077519379844961
21,0.0,0.7320388349514563,0.09320388349514563
22,0.0,0.7237354085603113,0.08560311284046693
23,0.0,0.7153996101364523,0.07797270955165692
24,0.0,0.70703125,0.0703125
25,0.0,0.6986301369863014,0.060665362035225046
26,0.0,0.6901960784313725,0.050980392156862744
27,0.0,0.6817288801571709,0.0412573673870334
28,0.0,0.6732283464566929,0.03346456692913386
29,0.0,0.6646942800788954,0.02564102564102564
