TimeUS,gpSA,gpHA,gpVA
 21338593, 0.25, 1.018, 1.484
 21518693, 0.28, 1.015, 1.48
 21738559, 0.282, 1.013, 1.476
 21938646, 0.28, 1.011, 1.472
 22138577, 0.25, 1.008, 1.469
 22338607, 0.254, 1.006, 1.465
 22538604, 0.27, 1.004, 1.461
 22738588, 0.283, 1.001, 1.458
 22938596, 0.253, 0.9990001, 1.454
 23138811, 0.228, 0.997, 1.451
 23338701, 0.192, 0.9950001, 1.448
 23538615, 0.262, 0.993, 1.444
 23738615, 0.271, 0.9910001, 1.441
 23938593, 0.259, 0.989, 1.438
 24118608, 0.251, 0.987, 1.435
 24338598, 0.259, 0.9850001, 1.432
 24538621, 0.23, 0.983, 1.429
 24738592, 0.264, 0.9820001, 1.427
 24938621, 0.213, 0.9810001, 1.425
 25138703, 0.237, 0.979, 1.422
 25338614, 0.241, 0.9770001, 1.42
 25538520, 0.219, 0.9760001, 1.417
 25738503, 0.266, 0.974, 1.415
 25938524, 0.281, 0.973, 1.413
 26138505, 0.289, 0.9720001, 1.412
 26338516, 0.27, 0.9710001, 1.41
 26538538, 0.24, 0.969, 1.407
 26738537, 0.225, 0.9680001, 1.406
 26938562, 0.233, 0.9670001, 1.403
 27138521, 0.268, 0.965, 1.401
 27338537, 0.258, 0.9630001, 1.398
 27538542, 0.197, 0.961, 1.396
 27738526, 0.258, 0.96, 1.394
 27938527, 0.265, 0.9590001, 1.392
 28138501, 0.217, 0.957, 1.389
 28338546, 0.295, 0.956, 1.388
 28538540, 0.227, 0.955, 1.386
 28738540, 0.243, 0.9540001, 1.385
 28938492, 0.196, 0.9530001, 1.383
 29198506, 0.239, 0.952, 1.382
 29318529, 0.255, 0.951, 1.381
 29538499, 0.26, 0.95, 1.38
 29738513, 0.235, 0.9490001, 1.378
 29938517, 0.274, 0.9490001, 1.377
 30138486, 0.267, 0.9480001, 1.375
 30338475, 0.29, 0.947, 1.374
 30538491, 0.26, 0.946, 1.373
 30738449, 0.239, 0.9450001, 1.372
 30938431, 0.258, 0.9450001, 1.37
 31138437, 0.228, 0.9440001, 1.369
 31338463, 0.26, 0.943, 1.368
 31538509, 0.2, 0.942, 1.367
 31738468, 0.298, 0.942, 1.366
 31938458, 0.271, 0.941, 1.365
 32138490, 0.252, 0.9400001, 1.364
 32338518, 0.239, 0.9390001, 1.363
 32538490, 0.28, 0.938, 1.361
 32738462, 0.238, 0.937, 1.36
 32938469, 0.255, 0.936, 1.358
 33138469, 0.24, 0.9350001, 1.356
 33338470, 0.291, 0.9350001, 1.356
 33538509, 0.246, 0.934, 1.355
 33738467, 0.302, 0.934, 1.354
 33938481, 0.268, 0.933, 1.353
 34138491, 0.26, 0.932, 1.352
 34338470, 0.252, 0.932, 1.351
 34518505, 0.213, 0.9310001, 1.35
 34738451, 0.264, 0.9310001, 1.349
 34938517, 0.245, 0.9300001, 1.349
 35138541, 0.248, 0.929, 1.348
 35338547, 0.225, 0.929, 1.347
 35538535, 0.248, 0.928, 1.346
 35738559, 0.273, 0.928, 1.346
 35938542, 0.235, 0.928, 1.345
 36138511, 0.302, 0.927, 1.345
 36338515, 0.253, 0.927, 1.344
 36538523, 0.246, 0.927, 1.344
 36738529, 0.296, 0.9260001, 1.343
 36938544, 0.296, 0.9260001, 1.343
 37138508, 0.233, 0.9250001, 1.341
 37338547, 0.21, 0.924, 1.34
 37558574, 0.291, 0.924, 1.339
 37738571, 0.253, 0.923, 1.339
 37938530, 0.263, 0.923, 1.338
 38138523, 0.29, 0.9220001, 1.338
 38338549, 0.295, 0.9220001, 1.337
 38538561, 0.247, 0.9210001, 1.337
 38738566, 0.309, 0.9220001, 1.338
 38938554, 0.276, 0.923, 1.341
 39138559, 0.32, 0.923, 1.343
 39338541, 0.334, 0.9250001, 1.348
 39558573, 0.329, 0.928, 1.353
 39738523, 0.33, 0.9300001, 1.359
 39938571, 0.34, 0.933, 1.364
 40138546, 0.304, 0.9350001, 1.368
 40338545, 0.317, 0.937, 1.373
 40538554, 0.265, 0.9390001, 1.38
 40738531, 0.246, 0.942, 1.388
 40938561, 0.266, 0.9440001, 1.393
 41138560, 0.364, 0.9450001, 1.399
 41338580, 0.365, 0.9480001, 1.406
 41538562, 0.38, 0.951, 1.412
 41738562, 0.421, 0.955, 1.421
 41938532, 0.343, 0.96, 1.429
 42138549, 0.317, 0.9630001, 1.436
 42338555, 0.375, 0.965, 1.441
 42538564, 0.414, 0.9670001, 1.448
 42738551, 0.382, 0.97, 1.453
 42938547, 0.387, 0.9720001, 1.457
 43138570, 0.38, 0.973, 1.463
 43338589, 0.38, 0.975, 1.469
 43538600, 0.372, 0.978, 1.474
 43738597, 0.396, 0.98, 1.482
 43938603, 0.399, 0.983, 1.491
 44138696, 0.397, 0.9850001, 1.499
 44338584, 0.39, 0.987, 1.507
 44538604, 0.371, 0.988, 1.513
 44738607, 0.364, 0.989, 1.518
 44938683, 0.358, 0.9910001, 1.524
 45138605, 0.331, 0.993, 1.53
 45338589, 0.291, 0.994, 1.532
 45538614, 0.261, 0.9960001, 1.536
 45738576, 0.243, 0.998, 1.539
 45938591, 0.208, 1, 1.542
 46138574, 0.187, 1.001, 1.544
 46338613, 0.23, 1.003, 1.547
 46538708, 0.185, 1.004, 1.547
 46738702, 0.291, 1.006, 1.553
 46938600, 0.3, 1.012, 1.563
 47138599, 0.22, 1.017, 1.568
 47338583, 0.211, 1.016, 1.567
 47538602, 0.199, 1.016, 1.572
 47738587, 0.294, 1.017, 1.575
 47938572, 0.217, 1.017, 1.576
 48138597, 0.187, 1.017, 1.577
 48338803, 0.245, 1.017, 1.58
 48538705, 0.231, 1.018, 1.58
 48738570, 0.265, 1.019, 1.583
 48938595, 0.208, 1.019, 1.583
 49138600, 0.201, 1.018, 1.583
 49338593, 0.259, 1.018, 1.586
 49538701, 0.214, 1.019, 1.588
 49738570, 0.267, 1.018, 1.591
 49938590, 0.195, 1.018, 1.589
 50138589, 0.203, 1.017, 1.586
 50338617, 0.198, 1.016, 1.584
 50538587, 0.199, 1.015, 1.583
 50738597, 0.291, 1.015, 1.587
 50938610, 0.219, 1.018, 1.592
 51138602, 0.308, 1.02, 1.599
 51338583, 0.212, 1.023, 1.605
 51538595, 0.199, 1.024, 1.607
 51738603, 0.204, 1.024, 1.612
 51938604, 0.275, 1.025, 1.617
 52138701, 0.276, 1.028, 1.622
 52338574, 0.224, 1.03, 1.629
 52538685, 0.213, 1.03, 1.628
 52738592, 0.352, 1.032, 1.635
 52938607, 0.259, 1.036, 1.642
 53138576, 0.233, 1.038, 1.647
 53338605, 0.383, 1.042, 1.657
 53538614, 0.227, 1.047, 1.658
 53738591, 0.209, 1.046, 1.655
 53938619, 0.184, 1.044, 1.65
 54138607, 0.174, 1.042, 1.645
 54338603, 0.223, 1.041, 1.645
 54558618, 0.206, 1.04, 1.642
 54738589, 0.234, 1.04, 1.641
 54938590, 0.258, 1.041, 1.642
 55138613, 0.221, 1.042, 1.643
 55338587, 0.224, 1.043, 1.645
