TimeUS,gpSA,gpHA,gpVA
 88975569, 0.284, 1.072, 1.431
 89175587, 0.296, 1.072, 1.431
 89375584, 0.289, 1.072, 1.432
 89575595, 0.345, 1.072, 1.436
 89775640, 0.353, 1.074, 1.44
 89975585, 0.333, 1.075, 1.442
 90175622, 0.297, 1.076, 1.443
 90375607, 0.291, 1.077, 1.448
 90575590, 0.323, 1.079, 1.455
 90795988, 0.329, 1.083, 1.457
 90975593, 0.341, 1.086, 1.462
 91175579, 0.365, 1.089, 1.467
 91375592, 0.366, 1.092, 1.471
 91575584, 0.379, 1.096, 1.478
 91775591, 0.396, 1.101, 1.486
 91975632, 0.422, 1.107, 1.494
 92175591, 0.4, 1.113, 1.503
 92375593, 0.413, 1.119, 1.514
 92575582, 0.441, 1.126, 1.525
 92775596, 0.36, 1.131, 1.537
 92975587, 0.37, 1.135, 1.541
 93195834, 0.425, 1.138, 1.545
 93396023, 0.421, 1.139, 1.55
 93575583, 0.396, 1.142, 1.555
 93775635, 0.408, 1.145, 1.56
 93975617, 0.39, 1.149, 1.567
 94175605, 0.395, 1.152, 1.575
 94375587, 0.355, 1.153, 1.577
 94575585, 0.401, 1.155, 1.583
 94795971, 0.384, 1.157, 1.588
 94975628, 0.393, 1.159, 1.592
 95196012, 0.394, 1.159, 1.596
 95396153, 0.365, 1.159, 1.598
 95575625, 0.414, 1.16, 1.6
 95775586, 0.401, 1.162, 1.601
 95975598, 0.408, 1.163, 1.603
 96175613, 0.401, 1.164, 1.604
 96396032, 0.385, 1.164, 1.606
 96575596, 0.38, 1.165, 1.61
 96775586, 0.379, 1.165, 1.612
 96975579, 0.386, 1.167, 1.616
 97175597, 0.35, 1.169, 1.62
 97375640, 0.324, 1.17, 1.622
 97596061, 0.377, 1.172, 1.627
 97796001, 0.346, 1.175, 1.628
 97995995, 0.339, 1.176, 1.629
 98175630, 0.349, 1.177, 1.63
 98395886, 0.336, 1.177, 1.631
 98596120, 0.367, 1.177, 1.634
 98775591, 0.369, 1.179, 1.636
 98975796, 0.384, 1.18, 1.639
 99196044, 0.377, 1.181, 1.641
 99396112, 0.401, 1.181, 1.644
 99575777, 0.384, 1.182, 1.647
 99775804, 0.395, 1.183, 1.651
 99975768, 0.403, 1.186, 1.656
 100175794, 0.386, 1.189, 1.661
 100375830, 0.38, 1.19, 1.664
 100575795, 0.406, 1.193, 1.67
 100775805, 0.38, 1.196, 1.674
 100996108, 0.367, 1.198, 1.678
 101196140, 0.415, 1.201, 1.686
 101375782, 0.388, 1.203, 1.691
 101575793, 0.444, 1.206, 1.698
 101796158, 0.368, 1.208, 1.701
 101975784, 0.401, 1.21, 1.704
 102175775, 0.352, 1.211, 1.704
 102396116, 0.411, 1.212, 1.708
 102575786, 0.407, 1.214, 1.713
 102796252, 0.404, 1.217, 1.717
 102996105, 0.409, 1.221, 1.722
 103196148, 0.351, 1.224, 1.724
 103376010, 0.347, 1.225, 1.726
 103596138, 0.426, 1.228, 1.731
 103796292, 0.45, 1.232, 1.737
 103996117, 0.365, 1.234, 1.742
 104175791, 0.403, 1.236, 1.743
 104396293, 0.376, 1.237, 1.745
 104596128, 0.388, 1.238, 1.748
 104775819, 0.379, 1.24, 1.751
 104975763, 0.424, 1.243, 1.758
 105196110, 0.398, 1.246, 1.765
 105396117, 0.386, 1.248, 1.769
 105596117, 0.435, 1.251, 1.773
 105796123, 0.359, 1.253, 1.774
 105975785, 0.334, 1.255, 1.772
 106196278, 0.302, 1.255, 1.766
 106396146, 0.378, 1.255, 1.764
 106575915, 0.42, 1.257, 1.763
 106796125, 0.341, 1.257, 1.762
 106996276, 0.454, 1.258, 1.764
 107196109, 0.338, 1.257, 1.76
 107375729, 0.318, 1.253, 1.753
 107596163, 0.342, 1.251, 1.749
 107796149, 0.265, 1.249, 1.742
 107996391, 0.319, 1.249, 1.741
 108196114, 0.283, 1.249, 1.739
 108396113, 0.353, 1.247, 1.738
 108575773, 0.5100001, 1.251, 1.744
 108775811, 0.324, 1.253, 1.747
 108975783, 0.404, 1.253, 1.749
 109175769, 0.318, 1.252, 1.747
 109375787, 0.274, 1.25, 1.742
 109575785, 0.383, 1.25, 1.741
 109775808, 0.267, 1.251, 1.74
 109976006, 0.356, 1.251, 1.742
 110196154, 0.23, 1.25, 1.738
 110396121, 0.336, 1.249, 1.736
 110596120, 0.396, 1.248, 1.736
 110796200, 0.314, 1.248, 1.738
 110975787, 0.462, 1.251, 1.744
 111175794, 0.343, 1.252, 1.747
 111396141, 0.383, 1.252, 1.749
 111575793, 0.37, 1.255, 1.75
 111776062, 0.277, 1.254, 1.749
 111975798, 0.38, 1.253, 1.75
 112175773, 0.331, 1.253, 1.75
 112375825, 0.304, 1.252, 1.747
 112575791, 0.324, 1.252, 1.75
 112775818, 0.326, 1.252, 1.751
 112975772, 0.32, 1.25, 1.749
 113175800, 0.374, 1.25, 1.754
 113375827, 0.34, 1.25, 1.754
 113596113, 0.373, 1.25, 1.754
 113775799, 0.282, 1.248, 1.751
 113996128, 0.385, 1.247, 1.75
 114196104, 0.356, 1.249, 1.752
 114396123, 0.431, 1.251, 1.756
 114596119, 0.396, 1.253, 1.761
 114775794, 0.464, 1.256, 1.768
 114975909, 0.41, 1.259, 1.776
 115175798, 0.465, 1.263, 1.782
 115396265, 0.423, 1.266, 1.785
 115596125, 0.443, 1.268, 1.79
 115796130, 0.456, 1.269, 1.793
 115996110, 0.409, 1.27, 1.793
 116175783, 0.404, 1.27, 1.795
 116375813, 0.456, 1.272, 1.799
 116575792, 0.444, 1.276, 1.806
 116775807, 0.464, 1.281, 1.813
 116975782, 0.435, 1.285, 1.819
 117175997, 0.336, 1.284, 1.809
 117396166, 0.383, 1.283, 1.809
 117575772, 0.394, 1.284, 1.81
 117775825, 0.379, 1.286, 1.813
