TimeUS,gpSA,gpHA,gpVA
 60271857, 0.578, 1.943, 2.095
 60471884, 0.359, 1.943, 2.094
 60671865, 0.435, 1.943, 2.094
 60871907, 0.599, 1.942, 2.094
 61072132, 0.434, 1.942, 2.093
 61271876, 0.538, 1.942, 2.093
 61471848, 0.399, 1.942, 2.093
 61671917, 0.512, 1.942, 2.092
 61871929, 0.54, 1.941, 2.092
 62091598, 0.498, 1.941, 2.091
 62291593, 0.329, 1.94, 2.091
 62511686, 0.348, 1.94, 2.091
 62691659, 0.545, 1.939, 2.09
 62891664, 0.411, 1.938, 2.089
 63071876, 0.573, 1.937, 2.089
 63271899, 0.338, 1.937, 2.088
 63491600, 0.548, 1.936, 2.087
 63691594, 0.385, 1.935, 2.087
 63871908, 0.496, 1.934, 2.085
 64091619, 0.387, 1.932, 2.085
 64291607, 0.399, 1.927, 2.078
 64511640, 0.389, 1.921, 2.074
 64691604, 0.402, 1.917, 2.07
 64891631, 0.404, 1.914, 2.068
 65091600, 0.44, 1.911, 2.066
 65291614, 0.44, 1.908, 2.064
 65491687, 0.448, 1.905, 2.063
 65671883, 0.451, 1.901, 2.062
 65891673, 0.459, 1.896, 2.057
 66091713, 0.45, 1.892, 2.052
 66291697, 0.448, 1.886, 2.046
 66491677, 0.423, 1.88, 2.039
 66691681, 0.439, 1.873, 2.034
 66891719, 0.434, 1.868, 2.029
 67071983, 0.494, 1.865, 2.026
 67271970, 0.5100001, 1.866, 2.027
 67491663, 0.44, 1.864, 2.023
 67691661, 0.444, 1.864, 2.025
 67891720, 0.387, 1.862, 2.025
 68091692, 0.414, 1.86, 2.026
 68291641, 0.302, 1.849, 2.007
 68491675, 0.311, 1.843, 1.998
 68691664, 0.294, 1.841, 1.997
 68891678, 0.243, 1.834, 1.991
 69091659, 0.295, 1.829, 1.986
 69291637, 0.25, 1.821, 1.975
 69491646, 0.276, 1.813, 1.972
 69691643, 0.263, 1.808, 1.968
 69891698, 0.248, 1.799, 1.954
 70091663, 0.312, 1.794, 1.95
 70291646, 0.355, 1.796, 1.953
 70491653, 0.339, 1.797, 1.955
 70691631, 0.419, 1.799, 1.961
 70871997, 0.384, 1.802, 1.965
 71091671, 0.396, 1.805, 1.971
 71291677, 0.334, 1.807, 1.971
 71491648, 0.289, 1.806, 1.969
 71691719, 0.357, 1.806, 1.973
 71891653, 0.288, 1.799, 1.971
 72072018, 0.236, 1.794, 1.97
 72271923, 0.32, 1.782, 1.967
 72491628, 0.325, 1.778, 1.968
 72671957, 0.355, 1.778, 1.972
 72871970, 0.408, 1.779, 1.976
 73071970, 0.402, 1.78, 1.982
 73291724, 0.408, 1.783, 1.987
 73471946, 0.382, 1.784, 1.992
 73691626, 0.357, 1.786, 1.995
 73891663, 0.188, 1.767, 1.957
 74091642, 0.258, 1.757, 1.947
 74291651, 0.241, 1.749, 1.938
 74491681, 0.334, 1.744, 1.935
 74691668, 0.349, 1.742, 1.935
 74891677, 0.264, 1.735, 1.933
 75091647, 0.304, 1.73, 1.93
 75291707, 0.336, 1.727, 1.929
 75491747, 0.321, 1.725, 1.928
 75691802, 0.301, 1.723, 1.926
 75891786, 0.317, 1.721, 1.925
 76291776, 0.297, 1.718, 1.924
 76491918, 0.315, 1.716, 1.923
 76691775, 0.379, 1.713, 1.922
 76891820, 0.387, 1.712, 1.923
 77091807, 0.373, 1.708, 1.92
 77291743, 0.328, 1.698, 1.914
 77491798, 0.221, 1.687, 1.904
 77691746, 0.341, 1.678, 1.895
 77891779, 0.367, 1.671, 1.888
