THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,669,1.0,1.0,0.7309417040358744
2,668,0.9985029940119761,0.9985029940119761,0.657185628742515
3,667,0.9970014992503748,0.9970014992503748,0.6011994002998501
4,666,0.9954954954954955,0.993993993993994,0.56006006006006
5,665,0.9939849624060151,0.9894736842105263,0.524812030075188
6,664,0.9924698795180723,0.983433734939759,0.4954819277108434
7,663,0.9909502262443439,0.9773755656108597,0.47058823529411764
8,662,0.9894259818731118,0.9712990936555891,0.44561933534743203
9,661,0.9878971255673222,0.9652042360060514,0.4205748865355522
10,660,0.9863636363636363,0.9590909090909091,0.4
11,659,0.9848254931714719,0.952959028831563,0.37936267071320184
12,658,0.9832826747720365,0.9468085106382979,0.3586626139817629
13,657,0.9817351598173516,0.9406392694063926,0.3439878234398782
14,656,0.9801829268292683,0.9344512195121951,0.32926829268292684
15,655,0.9786259541984733,0.9282442748091603,0.3145038167938931
16,654,0.9770642201834863,0.9220183486238532,0.2996941896024465
17,653,0.9754977029096478,0.9157733537519143,0.28483920367534454
18,652,0.9739263803680982,0.9095092024539877,0.26993865030674846
19,651,0.9723502304147466,0.9032258064516129,0.25499231950844853
20,650,0.9707692307692307,0.8969230769230769,0.24
21,649,0.9691833590138675,0.8906009244992296,0.22650231124807396
22,648,0.9675925925925926,0.8842592592592593,0.21296296296296297
23,647,0.9659969088098919,0.8778979907264297,0.19938176197836166
24,646,0.9643962848297214,0.871517027863777,0.1873065015479876
25,645,0.9627906976744186,0.8651162790697674,0.17519379844961241
26,644,0.9611801242236024,0.8586956521739131,0.16614906832298137
27,643,0.9595645412130638,0.8522550544323484,0.15863141524105753
28,642,0.9579439252336449,0.8457943925233645,0.1526479750778816
29,641,0.9563182527301092,0.8393135725429017,0.14664586583463338
