THR,Frames,FPR,TPR,TTD
1,342,0.358974358974359,0.3795379537953795,119
2,341,0.28205128205128205,0.32450331125827814,119
3,340,0.23076923076923078,0.27906976744186046,119
4,339,0.1794871794871795,0.23666666666666666,119
5,338,0.1282051282051282,0.20066889632107024,119
6,337,0.10256410256410256,0.16778523489932887,119
7,336,0.07692307692307693,0.13804713804713806,119
8,335,0.05128205128205128,0.10810810810810811,119
9,334,0.02564102564102564,0.0847457627118644,119
10,333,0.0,0.06462585034013606,119
11,332,0.0,0.04436860068259386,33120
12,331,0.0,0.03767123287671233,33320
13,330,0.0,0.030927835051546393,33519
14,329,0.0,0.02413793103448276,33719
15,328,0.0,0.01730103806228374,33919
16,327,0.0,0.010416666666666666,34119
17,326,0.0,0.003484320557491289,34319
18,325,0.0,0.0,0
