TimeUS,mX,mY,mZ,obX,obY,ofX,ofY,rfD,gpSA,gpHA,gpVA,gpT,aT,ofT
 54693947, 215.1523, 73.6485, -538.5611, 0, 0, -0.03434945, 0.043775, 0.0019, 0.05, 2.5, 2.5, 54594, 54693947, 54653
 54713939, 215.1523, 73.6485, -538.5611, 0, 0, -0.03434945, 0.043775, 0.0019, 0.05, 2.5, 2.5, 54594, 54713939, 54653
 54733931, 215.1523, 73.6485, -538.5611, 0, 0, -0.03434945, 0.043775, 0.0019, 0.05, 2.5, 2.5, 54594, 54733931, 54653
 54753923, 215.1523, 73.6485, -538.5611, 0, 0, -0.03434945, 0.043775, 0.0019, 0.05, 2.5, 2.5, 54594, 54753923, 54653
 54773915, 215.1523, 73.6485, -538.5611, 0, 0, -0.03970255, 0.0047968, 0.0019, 0.05, 2.5, 2.5, 54594, 54773915, 54753
 54793907, 215.1523, 73.6485, -538.5611, 0, 0, -0.03970255, 0.0047968, 0.0019, 0.05, 2.5, 2.5, 54594, 54793907, 54753
 54813899, 215.1523, 73.6485, -538.5611, 0, 0, -0.03970255, 0.0047968, 0.0019, 0.05, 2.5, 2.5, 54594, 54813899, 54753
 54833891, 215.1523, 73.6485, -538.5611, 0, 0, -0.03970255, 0.0047968, 0.0019, 0.05, 2.5, 2.5, 54794, 54833891, 54753
 54853883, 215.1523, 73.6485, -538.5611, 0, 0, -0.03970255, 0.0047968, 0.0019, 0.05, 2.5, 2.5, 54794, 54853883, 54753
 54873875, 215.1523, 73.6485, -538.5611, 0, 0, -0.0181428, -0.01420365, 0.0019, 0.05, 2.5, 2.5, 54794, 54873875, 54853
 54893867, 215.1523, 73.6485, -538.5611, 0, 0, -0.0181428, -0.01420365, 0.0019, 0.05, 2.5, 2.5, 54794, 54893867, 54853
 54913859, 215.1523, 73.6485, -538.5611, 0, 0, -0.0181428, -0.01420365, 0.0019, 0.05, 2.5, 2.5, 54794, 54913859, 54853
 54933851, 215.1523, 73.6485, -538.5611, 0, 0, -0.0181428, -0.01420365, 0.0019, 0.05, 2.5, 2.5, 54794, 54933851, 54853
 54953843, 215.1523, 73.6485, -538.5611, 0, 0, -0.0181428, -0.01420365, 0.0019, 0.05, 2.5, 2.5, 54794, 54953843, 54853
 54973835, 215.1523, 73.6485, -538.5611, 0, 0, -0.03665857, -0.03777362, 0.0019, 0.05, 2.5, 2.5, 54794, 54973835, 54953
 54993827, 215.1523, 73.6485, -538.5611, 0, 0, -0.03665857, -0.03777362, 0.0019, 0.05, 2.5, 2.5, 54794, 54993827, 54953
 55013819, 215.1523, 73.6485, -538.5611, 0, 0, -0.03665857, -0.03777362, 0.0019, 0.05, 2.5, 2.5, 54794, 55013819, 54953
 55033811, 215.1523, 73.64851, -538.5611, 0, 0, -0.03665857, -0.03777362, 0.0019, 0.05, 2.5, 2.5, 54994, 55033811, 54953
 55053803, 215.1523, 73.64851, -538.5611, 0, 0, -0.03665857, -0.03777362, 0.0019, 0.05, 2.5, 2.5, 54994, 55053803, 54953
 55073795, 215.1523, 73.64851, -538.5611, 0, 0, -0.03602102, 0.1776728, 0.0019, 0.05, 2.5, 2.5, 54994, 55073795, 55053
 55093787, 215.1523, 73.64851, -538.5611, 0, 0, -0.03602102, 0.1776728, 0.0019, 0.05, 2.5, 2.5, 54994, 55093787, 55053
 55113779, 215.1523, 73.64851, -538.5611, 0, 0, -0.03602102, 0.1776728, 0.0019, 0.05, 2.5, 2.5, 54994, 55113779, 55053
 55133771, 215.1523, 73.64848, -538.5611, 0, 0, -0.03602102, 0.1776728, 0.0019, 0.05, 2.5, 2.5, 54994, 55133771, 55053
 55153763, 215.1523, 73.64848, -538.5611, 0, 0, -0.03602102, 0.1776728, 0.0019, 0.05, 2.5, 2.5, 54994, 55153763, 55053
 55173755, 215.1523, 73.64848, -538.5611, 0, 0, 0.04434711, 0.6339683, 0.0019, 0.05, 2.5, 2.5, 54994, 55173755, 55153
 55193747, 215.1523, 73.64848, -538.5611, 0, 0, 0.04434711, 0.6339683, 0.0019, 0.05, 2.5, 2.5, 54994, 55193747, 55153
 55213739, 215.1523, 73.64848, -538.5611, 0, 0, 0.04434711, 0.6339683, 0.0019, 0.05, 2.5, 2.5, 54994, 55213739, 55153
 55233731, 215.1524, 73.64839, -538.5611, 0, 0, 0.04434711, 0.6339683, 0.0019, 0.05, 2.5, 2.5, 55194, 55233731, 55153
 55253723, 215.1524, 73.64839, -538.5611, 0, 0, 0.04434711, 0.6339683, 0.0019, 0.05, 2.5, 2.5, 55194, 55253723, 55153
 55273715, 215.1524, 73.64839, -538.5611, 0, 0, 0.03309977, 1.653693, 0.0019, 0.05, 2.5, 2.5, 55194, 55273715, 55253
 55293707, 215.1524, 73.64839, -538.5611, 0, 0, 0.03309977, 1.653693, 0.0019, 0.05, 2.5, 2.5, 55194, 55293707, 55253
 55313699, 215.1524, 73.64839, -538.5611, 0, 0, 0.03309977, 1.653693, 0.0019, 0.05, 2.5, 2.5, 55194, 55313699, 55253
 55333691, 215.1523, 73.64864, -538.5611, 0, 0, 0.03309977, 1.653693, 0.0019, 0.05, 2.5, 2.5, 55194, 55333691, 55253
 55353683, 215.1523, 73.64864, -538.5611, 0, 0, 0.03309977, 1.653693, 0.0019, 0.05, 2.5, 2.5, 55194, 55353683, 55253
 55373675, 215.1523, 73.64864, -538.5611, 0, 0, 0.0353291, 3.204824, 0.0019, 0.05, 2.5, 2.5, 55194, 55373675, 55353
 55393667, 215.1523, 73.64864, -538.5611, 0, 0, 0.0353291, 3.204824, 0.0019, 0.05, 2.5, 2.5, 55194, 55393667, 55353
 55413659, 215.1523, 73.64864, -538.5611, 0, 0, 0.0353291, 3.204824, 0.0019, 0.05, 2.5, 2.5, 55194, 55413659, 55353
 55433651, 215.1523, 73.64861, -538.5611, 0, 0, 0.0353291, 3.204824, 0.0019, 0.05, 2.5, 2.5, 55394, 55433651, 55353
