TimeUS,aF,aR,aD,gyR,gyP,gyY,bAlt,gpLat,gpLng,gpAlt,gpN,gpE,gpD
 55373675, 4.085395, 0.02161821, -9.839866, 0.0008041096, 0.0008080009, 0.0008044529, 0.3145861, -353633298, 1491652299, 0, 0.009000001, -0.001, 0
 55393667, 4.313731, -0.03933615, -9.838161, 0.0008043278, 0.0008045647, 0.0008179384, 0.3145861, -353633298, 1491652299, 0, 0.009000001, -0.001, 0
 55413659, 4.56537, -0.0244012, -9.839947, 0.0008058474, 0.0008097453, 0.0007891071, 0.3145861, -353633298, 1491652299, 0, 0.009000001, -0.001, 0
 55433651, 4.78231, -0.004583977, -9.838854, 0.0008059283, 0.0008092409, 0.0007676816, 0.005617609, -353632937, 1491652395, 0, 0.248, -0.03, 0
 55453643, 5.008572, 0.01234296, -9.844673, 0.000802586, 0.0008079179, 0.0007770749, 0.005617609, -353632937, 1491652395, 0, 0.248, -0.03, 0
 55473635, 5.300951, 0.01881898, -9.844524, 0.0008040231, 0.0008087099, 0.0007605552, 0.005617609, -353632937, 1491652395, 0, 0.248, -0.03, 0
 55493627, 5.542229, -0.01874997, -9.845411, 0.0008038177, 0.0008081518, 0.0008012495, 0.005617609, -353632937, 1491652395, 0, 0.248, -0.03, 0
 55513619, 5.748096, 0.0242462, -9.85031, 0.0008070656, 0.0008113403, 0.0008223876, 0.005617609, -353632937, 1491652395, 0, 0.248, -0.03, 0
 55533611, 6.00143, 0.01269474, -9.853915, 0.0008058867, 0.0008103617, 0.0008307165, 0.1235874, -353632937, 1491652395, 0, 0.248, -0.03, 0
 55553603, 6.237129, 0.008060239, -9.854053, 0.0008112136, 0.0008083348, 0.0008171617, 0.1235874, -353632937, 1491652395, 0, 0.248, -0.03, 0
 55573595, 6.447228, -0.00602734, -9.852274, 0.000808005, 0.0008041626, 0.0007979712, 0.1235874, -353632937, 1491652395, 0, 0.248, -0.03, 0
 55593587, 6.665614, 0.004456941, -9.851856, 0.0008067996, 0.0008072254, 0.0008098228, 0.1235874, -353632937, 1491652395, 0, 0.248, -0.03, 0
 55613579, 6.882504, -0.004374261, -9.85906, 0.0008067263, 0.00080576, 0.0008657436, 0.1235874, -353632937, 1491652395, 0, 0.248, -0.03, 0
 55633571, 7.111379, -0.01790006, -9.857676, 0.000810792, 0.0008101002, 0.0008069414, 0.25841, -353632213, 1491652960, 1, 0.932, -0.114, -0.002
 55653563, 7.39371, -0.0007182524, -9.851683, 0.0008049072, 0.0008066704, 0.000809746, 0.25841, -353632213, 1491652960, 1, 0.932, -0.114, -0.002
 55673555, 7.621894, 0.01962553, -9.861322, 0.0008116647, 0.0008092249, 0.0008019548, 0.25841, -353632213, 1491652960, 1, 0.932, -0.114, -0.002
 55693547, 7.839485, 0.009997126, -9.860602, 0.000809944, 0.0008133994, 0.0008272495, 0.25841, -353632213, 1491652960, 1, 0.932, -0.114, -0.002
 55713539, 7.98526, 0.02281232, -9.864539, 0.0008121473, 0.0008145141, 0.0007804371, 0.25841, -353632213, 1491652960, 1, 0.932, -0.114, -0.002
 55733531, 8.176868, 0.03972406, -9.865145, 0.0008097645, 0.0008115105, 0.0007196991, 0.05898489, -353632213, 1491652960, 1, 0.932, -0.114, -0.002
 55753523, 8.429626, 0.02426546, -9.862941, 0.0008067751, 0.0008076352, 0.0006910472, 0.05898489, -353632213, 1491652960, 1, 0.932, -0.114, -0.002
 55773515, 8.672427, 0.004165313, -9.864219, 0.0008094247, 0.0008156835, 0.0006368083, 0.05898489, -353632213, 1491652960, 1, 0.932, -0.114, -0.002
 55793507, 8.858088, -0.09052576, -9.869308, 0.0008098558, 0.0008108324, 0.0006363306, 0.05898489, -353632213, 1491652960, 1, 0.932, -0.114, -0.002
