Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.48484848484848486,0.0
2,0.3674033149171271,0.0
3,0.27977839335180055,0.0
4,0.2111111111111111,0.0
5,0.1532033426183844,0.0
6,0.10893854748603352,0.0
7,0.0784313725490196,0.0
8,0.056179775280898875,0.0
9,0.03943661971830986,0.0
10,0.025423728813559324,0.0
11,0.014164305949008499,0.0
12,0.008522727272727272,0.0
13,0.005698005698005698,0.0
14,0.002857142857142857,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
